ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
993,Шаболовская 3,md,1417189485171,2G,EDGE,1,250,1,770,543,-1,-77
,ServiceLog,md,1417189485405,2G,EDGE,1,250,1,770,543,-1,-77
,ServiceLog,md,1417189486422,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417189487444,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417189488474,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417189489493,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417189490508,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417189491524,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417189492550,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189493577,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189494645,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189495689,2G,EDGE,1,250,1,770,543,-1,-71
994,Шаболовская 4,md,1417189496124,2G,EDGE,1,250,1,770,543,-1,-71
,ServiceLog,md,1417189496717,2G,EDGE,1,250,1,770,543,-1,-71
,ServiceLog,md,1417189497739,2G,EDGE,1,250,1,770,543,-1,-63
,ServiceLog,md,1417189498794,2G,EDGE,1,250,1,770,543,-1,-63
,ServiceLog,md,1417189499834,2G,EDGE,1,250,1,770,543,-1,-63
,ServiceLog,md,1417189501266,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417189502312,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417189503336,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417189504358,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189505394,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189506413,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417189507459,2G,EDGE,1,250,1,770,543,-1,-75
,ServiceLog,md,1417189508476,2G,EDGE,1,250,1,770,543,-1,-75
,ServiceLog,md,1417189509535,2G,EDGE,1,250,1,770,543,-1,-75
,ServiceLog,md,1417189510585,2G,EDGE,1,250,1,770,543,-1,-79
,ServiceLog,md,1417189511630,2G,EDGE,1,250,1,770,543,-1,-79
,ServiceLog,md,1417189512674,2G,EDGE,1,250,1,770,543,-1,-79
,ServiceLog,md,1417189513689,2G,EDGE,1,250,1,770,543,-1,-81
,ServiceLog,md,1417189514728,2G,EDGE,1,250,1,770,543,-1,-81
,ServiceLog,md,1417189515774,2G,EDGE,1,250,1,770,543,-1,-85
,ServiceLog,md,1417189516799,2G,EDGE,1,250,1,770,543,-1,-85
,ServiceLog,md,1417189517856,2G,EDGE,1,250,1,770,543,-1,-85
,ServiceLog,md,1417189518867,2G,EDGE,1,250,1,770,543,-1,-89
,ServiceLog,md,1417189519899,2G,EDGE,1,250,1,770,543,-1,-89
,ServiceLog,md,1417189520945,2G,EDGE,1,250,1,770,543,-1,-89
,ServiceLog,md,1417189521978,2G,EDGE,250-1-770-543,250,1,0,543,-1,0
,ServiceLog,md,1417189521978,2G,EDGE,1,250,1,770,543,-1,-91
,ServiceLog,md,1417189522994,2G,EDGE,1,250,1,770,543,-1,-91
,ServiceLog,md,1417189524011,2G,EDGE,1,250,1,770,543,-1,-91
,ServiceLog,md,1417189525054,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189526095,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189527135,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189528164,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189529194,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189530237,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189531285,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189532334,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189533372,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189534388,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189535441,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189536496,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189537558,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189538605,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189539623,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189540669,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189541713,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189542766,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189543818,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189544863,2G,EDGE,1,250,1,770,543,-1,-93
,ServiceLog,md,1417189545937,2G,EDGE,1,250,1,770,543,-1,0
,ServiceLog,md,1417189546985,2G,EDGE,1,250,1,770,543,-1,0
,ServiceLog,md,1417189548035,2G,EDGE,1,250,1,770,543,-1,0
,ServiceLog,md,1417189549096,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189550134,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189551152,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189552173,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189553189,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189554214,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189555230,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189556269,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189557315,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189558356,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189559389,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189560422,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189561460,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189562473,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189563487,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,md,1417189564532,unknown,unknown,1,-1,-1,-1,-1,-1,-1
