ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
2103,Кунцевская (АПК) 3,md,1418057068599,2G,EDGE,1,250,1,821,54662,-1,-81
2103,Кунцевская (АПК) 3,md,1418057068599,2G,EDGE,250-1-821-54662,250,1,802,17581,-1,-103
2103,Кунцевская (АПК) 3,md,1418057068599,2G,EDGE,250-1-821-54662,250,1,821,3103,-1,-97
2103,Кунцевская (АПК) 3,md,1418057068599,2G,EDGE,250-1-821-54662,250,1,821,42601,-1,-93
2103,Кунцевская (АПК) 3,md,1418057068599,2G,EDGE,250-1-821-54662,250,1,821,54665,-1,-97
,ServiceLog,md,1418057068720,2G,EDGE,250-1-821-54662,250,1,802,17581,-1,-103
,ServiceLog,md,1418057068720,2G,EDGE,250-1-821-54662,250,1,821,54665,-1,-97
,ServiceLog,md,1418057068720,2G,EDGE,250-1-821-54662,250,1,821,3103,-1,-97
,ServiceLog,md,1418057068720,2G,EDGE,1,250,1,821,54662,-1,-81
,ServiceLog,md,1418057068720,2G,EDGE,250-1-821-54662,250,1,821,42601,-1,-93
,ServiceLog,md,1418057069794,2G,EDGE,1,250,1,821,54662,-1,-81
,ServiceLog,md,1418057069794,2G,EDGE,250-1-821-54662,250,1,802,17581,-1,-103
,ServiceLog,md,1418057069794,2G,EDGE,250-1-821-54662,250,1,821,42601,-1,-95
,ServiceLog,md,1418057069794,2G,EDGE,250-1-821-54662,250,1,821,54665,-1,-97
,ServiceLog,md,1418057069794,2G,EDGE,250-1-821-54662,250,1,821,3103,-1,-97
,ServiceLog,md,1418057071173,2G,EDGE,1,250,1,821,54662,-1,-83
,ServiceLog,md,1418057071173,2G,EDGE,250-1-821-54662,250,1,821,3103,-1,-95
,ServiceLog,md,1418057071173,2G,EDGE,250-1-821-54662,250,1,821,42601,-1,-93
,ServiceLog,md,1418057071173,2G,EDGE,250-1-821-54662,250,1,821,54665,-1,-97
,ServiceLog,md,1418057071173,2G,EDGE,250-1-821-54662,250,1,802,17581,-1,-103
,ServiceLog,md,1418057072728,2G,EDGE,1,250,1,821,54662,-1,-83
