ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z
243,Кантемировская 3,md,1424162185631,Raw,-0.61291564,3.6774938,8.648921,302.0,-22.0,-3.0,74.625,0.0,0.0,0.0
,ServiceLog,md,1424162186419,Raw,-1.0623871,1.3756552,11.522814,288.0,-6.0,-5.0,92.9375,0.0,0.0,0.0
,ServiceLog,md,1424162187452,Raw,-0.9125633,3.405087,7.6137743,291.0,-23.0,-6.0,97.8125,0.0,0.0,0.0
,ServiceLog,md,1424162188481,Raw,-0.53119355,3.8681788,8.989429,292.0,-23.0,-3.0,89.3125,0.0,0.0,0.0
,ServiceLog,md,1424162189504,Raw,-0.8036005,3.6774938,8.771504,293.0,-22.0,-4.0,92.4375,0.0,0.0,0.0
,ServiceLog,md,1424162190530,Raw,-0.06810174,3.445948,8.730643,299.0,-21.0,-0.0,88.25,0.0,0.0,0.0
,ServiceLog,md,1424162191560,Raw,-2.0975335,2.8602731,8.921328,305.0,-17.0,-12.0,78.9375,0.0,0.0,0.0
,ServiceLog,md,1424162192594,Raw,-0.5720546,3.5957718,9.261836,308.0,-21.0,-3.0,71.9375,0.0,0.0,0.0
,ServiceLog,md,1424162193624,Raw,-1.253072,3.4731886,8.989429,309.0,-20.0,-7.0,73.9375,0.0,0.0,0.0
,ServiceLog,md,1424162194659,Raw,-1.334794,3.405087,8.267551,308.0,-22.0,-8.0,75.625,0.0,0.0,0.0
,ServiceLog,md,1424162195688,Raw,-1.0215261,3.7455957,8.839605,297.0,-22.0,-6.0,77.375,0.0,0.0,0.0
244,Кантемировская 4,md,1424162196004,Raw,-1.1441092,3.7455957,7.995144,297.0,-24.0,-7.0,79.0625,0.0,0.0,0.0
,ServiceLog,md,1424162196724,Raw,-0.8308412,3.0237172,8.036005,292.0,-20.0,-5.0,80.6875,0.0,0.0,0.0
,ServiceLog,md,1424162197756,Raw,-0.06810174,2.982856,7.4230895,291.0,-21.0,-0.0,70.375,0.0,0.0,0.0
,ServiceLog,md,1424162198785,Raw,0.25878662,3.8273177,10.61025,290.0,-19.0,1.0,76.0625,0.0,0.0,0.0
,ServiceLog,md,1424162199814,Raw,-2.8330324,6.347082,4.862464,311.0,-48.0,-19.0,100.9375,0.0,0.0,0.0
,ServiceLog,md,1424162200828,Raw,-1.6344417,3.5957718,7.6546354,273.0,-24.0,-10.0,103.1875,0.0,0.0,0.0
,ServiceLog,md,1424162201860,Raw,-0.7627395,4.0861044,8.798744,274.0,-24.0,-4.0,106.6875,0.0,0.0,0.0
,ServiceLog,md,1424162202889,Raw,-1.484618,3.214402,8.798744,273.0,-19.0,-9.0,90.0,0.0,0.0,0.0
,ServiceLog,md,1424162203904,Raw,-1.4165162,2.669588,8.798744,267.0,-16.0,-8.0,87.75,0.0,0.0,0.0
,ServiceLog,md,1424162204932,Raw,-0.4903325,3.9362805,7.9679036,278.0,-26.0,-3.0,83.125,0.0,0.0,0.0
,ServiceLog,md,1424162205946,Raw,-0.19068487,3.0645783,9.874752,285.0,-17.0,-1.0,68.625,0.0,0.0,0.0
,ServiceLog,md,1424162206979,Raw,-2.3290794,2.5606253,9.384419,290.0,-14.0,-13.0,70.0625,0.0,0.0,0.0
,ServiceLog,md,1424162208012,Raw,0.3405087,2.0975335,9.384419,287.0,-18.0,1.0,72.8125,0.0,0.0,0.0
,ServiceLog,md,1424162209059,Raw,-1.8659877,5.5162406,6.742072,292.0,-38.0,-12.0,76.3125,0.0,0.0,0.0
,ServiceLog,md,1424162210111,Raw,0.38136974,4.862464,7.2324047,281.0,-33.0,2.0,56.25,0.0,0.0,0.0
,ServiceLog,md,1424162211132,Raw,10.869038,-2.7104492,1.1032481,249.0,13.0,74.0,-7.625,0.0,0.0,0.0
,ServiceLog,md,1424162212161,Raw,10.800936,-4.630918,-0.0,341.0,23.0,66.0,-49.8125,0.0,0.0,0.0
,ServiceLog,md,1424162213193,Raw,8.458236,-1.56634,0.027240695,2.0,10.0,79.0,-26.125,0.0,0.0,0.0
,ServiceLog,md,1424162214222,Raw,8.539958,-4.5900574,0.7218784,309.0,28.0,61.0,-12.5,0.0,0.0,0.0
,ServiceLog,md,1424162215249,Raw,9.261836,-4.5900574,-0.61291564,294.0,153.0,63.0,17.0,0.0,0.0,0.0
,ServiceLog,md,1424162216276,Raw,8.3765135,-4.2495484,-0.3405087,305.0,153.0,63.0,28.125,0.0,0.0,0.0
,ServiceLog,md,1424162217306,Raw,8.989429,-4.2086873,0.87170225,305.0,24.0,64.0,32.6875,0.0,0.0,0.0
,ServiceLog,md,1424162218337,Raw,10.678352,-5.6252036,1.2258313,304.0,27.0,61.0,19.1875,0.0,0.0,0.0
,ServiceLog,md,1424162219366,Raw,9.874752,-5.09401,1.2258313,299.0,27.0,62.0,23.375,0.0,0.0,0.0
