ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
503,Партизанская 3,taimyr,1424253206897,Raw,0.18555063,6.017826,7.483676,109.1462,-39.394863,0.13105953,-170.6,0.14354439,0.023435818,-0.05832323,1424253206
,ServiceLog,taimyr,1424253207368,Raw,-0.023343466,6.2303114,7.08983,110.78294,-39.983578,-0.18639947,-166.7,-0.034621093,-0.08655274,0.025033714,1424253206
,ServiceLog,taimyr,1424253208447,Raw,0.7505822,6.143522,7.668628,111.91976,-38.65081,-0.42827976,-176.4,-0.012250541,-0.051931642,0.010120012,1424253206
,ServiceLog,taimyr,1424253209504,Raw,0.6919243,5.9477954,7.4896617,111.07465,-38.267735,0.67115927,-169.1,-0.038083203,-0.09853696,0.017576864,1424253206
,ServiceLog,taimyr,1424253210528,Raw,0.557849,5.659294,7.235876,113.37213,-37.62944,1.0848106,-171.4,0.15180019,-0.009321064,-0.0037284256,1424253206
,ServiceLog,taimyr,1424253211584,Raw,1.1061212,5.6000376,7.750031,113.014694,-35.38019,4.397281,-181.8,-0.06870956,-0.13608754,0.029827405,1424253206
,ServiceLog,taimyr,1424253212604,Raw,0.8475474,5.4300494,7.545925,112.97294,-34.866287,2.7068791,-172.9,0.070041135,-0.11345066,0.045540057,1424253206
,ServiceLog,taimyr,1424253213656,Raw,0.81402856,6.0148335,8.234259,5.8602834,-34.958427,4.42976,-11.1,0.025033714,-0.070307456,-0.01438107,1424253206
,ServiceLog,taimyr,1424253214689,Raw,0.19093758,5.4085016,7.884106,7.574182,-34.89986,4.957579,-9.8,0.04474111,-0.054328486,-0.028229509,1424253206
,ServiceLog,taimyr,1424253215735,Raw,0.35075054,5.681441,8.109161,356.33685,-34.612675,5.1801386,1.9,0.004261058,-0.0777643,-0.004527374,1424253206
,ServiceLog,taimyr,1424253216766,Raw,0.27593175,5.7879825,7.724293,359.57828,-35.343876,4.9166083,-3.8,0.007190535,-0.014913702,-0.07456851,1424253206
,ServiceLog,taimyr,1424253217812,Raw,0.207697,5.889736,7.756615,19.747585,-35.46539,5.0303574,-16.9,0.040213734,-0.08468852,-0.048469532,1424253206
