ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
712,Курская (КЛЦ) 2,sasfeat,1433357440417,Raw,-0.8714894,0.59376204,9.232041,169.40625,-3.671875,-5.375,-18.48,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357440680,Raw,-0.5363012,0.6512229,9.998186,169.20313,-3.75,-3.328125,-17.039999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357441812,Raw,-0.4309563,0.8523358,9.452309,169.15625,-5.1875,-2.0625,-13.799999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357443063,Raw,-0.6703765,0.842759,9.615114,169.40625,-4.671875,-3.046875,-14.099999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357444290,Raw,-0.35434186,0.33518824,9.883265,170.09375,-1.9375,-2.046875,-13.98,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357445541,Raw,-0.31603462,0.18195933,9.557653,171.15625,-1.09375,-1.90625,-13.679999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357446777,Raw,0.1340753,0.6991069,9.691729,170.26563,-4.109375,0.78125,-23.46,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357448003,Raw,0.2681506,0.45010993,9.844957,170.04688,-2.828125,2.21875,-19.439999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357449266,Raw,0.4309563,0.93852705,9.212888,170.70313,-5.375,3.328125,-20.58,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357450507,Raw,0.6799533,1.2354081,9.337387,169.90625,-5.15625,3.328125,-27.18,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357451897,Raw,0.40222588,0.89064306,9.634268,168.79688,-5.265625,2.375,-27.9,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357453199,Raw,1.0534488,1.1204864,9.356541,168.28125,-5.125,3.328125,-27.24,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357454462,Raw,0.33518824,1.1013328,9.682152,168.64063,-6.25,2.9375,-23.039999,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357455700,Raw,0.641646,1.1971009,9.548077,168.48438,-7.125,3.8125,-24.06,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433357456958,Raw,0.46926352,0.90979666,9.682152,168.53125,-5.34375,2.765625,-24.18,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
