ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
713,Курская (КЛЦ) 3,md,1424761328644,Raw,1.253072,6.347082,6.238119,157.0,-44.0,8.0,-15.9375,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761329322,Raw,1.4165162,6.66035,7.04172,148.0,-42.0,8.0,-21.5625,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761330369,Raw,1.8659877,5.7750273,7.000859,143.0,-38.0,11.0,-29.375,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761331430,Raw,2.7513103,5.284695,6.851035,134.0,-35.0,17.0,-44.125,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761332446,Raw,2.0294318,5.706926,7.082581,129.0,-37.0,12.0,-50.75,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761333520,Raw,1.525479,5.8976107,6.9599977,98.0,-39.0,9.0,-26.4375,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761334542,Raw,1.484618,5.8976107,7.1915436,44.0,-40.0,8.0,-10.0625,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761335602,Raw,1.6344417,5.5843425,7.1506824,66.0,-37.0,10.0,-14.625,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761336676,Raw,1.7978859,5.5434813,7.1915436,61.0,-37.0,10.0,-12.8125,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761337697,Raw,1.9885708,5.5162406,7.5456724,54.0,-35.0,12.0,-8.375,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761338751,Raw,1.6344417,5.5843425,7.3549876,351.0,-36.0,10.0,10.125,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761339766,Raw,1.484618,5.6660647,7.04172,318.0,-38.0,9.0,16.125,0.0,0.0,0.0,1424761328
714,Курская (КЛЦ) 4,md,1424761340472,Raw,1.525479,5.5162406,7.273266,308.0,-36.0,9.0,21.4375,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761340802,Raw,1.6753027,5.284695,7.3549876,309.0,-35.0,10.0,18.5,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761341839,Raw,1.7161638,4.930566,7.572913,327.0,-32.0,10.0,12.125,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761342885,Raw,3.6774938,6.932757,5.47538,288.0,-44.0,20.0,53.1875,0.0,0.0,0.0,1424761328
,ServiceLog,md,1424761343917,Raw,5.5162406,7.4230895,2.9419951,105.0,-51.0,34.0,-60.5,0.0,0.0,0.0,1424761328
