ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
713,Курская (КЛЦ) 3,Kolka,1433355106361,Raw,0.134,2.423,9.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355107084,Raw,-0.421,2.662,9.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355108119,Raw,-0.89,2.7,10.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355109162,Raw,-0.756,2.633,9.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355110202,Raw,-0.612,2.528,10.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355111248,Raw,-0.335,2.48,10.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355112295,Raw,-0.402,2.509,9.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355113332,Raw,-0.411,2.47,9.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355114363,Raw,-0.268,2.346,9.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355115394,Raw,-0.162,2.26,10.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355116435,Raw,-0.287,2.451,9.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355117477,Raw,-0.287,2.154,9.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355118524,Raw,0.028,2.154,9.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355119588,Raw,0.0,1.963,8.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
714,Курская (КЛЦ) 4,Kolka,1433355119721,Raw,0.0,1.963,8.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355120626,Raw,-0.296,2.154,11.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355121683,Raw,-3.131,4.223,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355122721,Raw,-0.134,2.662,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Kolka,1433355123754,Raw,-0.268,3.553,10.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
