ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
723,Таганская (КЛЦ) 3,User1,1433354080907,Raw,-1.3075534,1.8659877,10.392325,166.5663,-11.886158,-3.7416553,-23.699999,-0.16462818,-0.017104227,-0.12858713,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354081211,Raw,-1.1849703,2.1792557,9.765789,167.13881,-12.029294,-3.7961364,-23.82,0.002443461,0.04428773,0.03481932,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354082229,Raw,-1.525479,1.7570249,9.80665,170.48753,-10.651702,-7.193211,-24.06,-0.038789943,-0.022602014,0.0061086523,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354083348,Raw,-1.525479,1.6480621,9.861132,169.69263,-8.118587,-8.856247,-26.34,-0.067500606,-0.057726767,-0.013439035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354084405,Raw,-1.4573772,1.3075534,10.038197,169.13672,-6.6570883,-9.313462,-27.779999,-0.0018325958,0.012217305,0.080634214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354085469,Raw,-1.4573772,1.0896279,9.956474,167.01779,-6.3752866,-9.659993,-30.599998,0.016798794,-0.0067195175,-0.039095376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354086511,Raw,-1.5390993,1.1168685,9.970095,166.09996,-6.0964055,-9.647693,-33.48,-0.0067195175,0.002443461,0.020463986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354087562,Raw,-1.5118586,1.0896279,10.051817,167.23389,-6.133486,-9.4465,-33.12,0.043676864,0.0061086523,-0.002443461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354088631,Raw,-1.6753027,1.5118586,9.861132,165.04117,-7.948962,-10.877901,-39.48,-0.11362094,-0.009468411,0.09040806,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354089749,Raw,-1.7706453,1.607201,9.833891,159.14542,-8.853914,-10.406027,-44.34,-0.008246681,-0.0070249503,-0.013744468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354090773,Raw,-1.6480621,1.5118586,9.80665,157.14133,-9.116896,-10.28422,-48.18,0.0018325958,0.004581489,0.03970624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354091838,Raw,-1.6753027,1.7570249,9.847511,35.387394,-9.310825,-10.239082,-21.06,0.034513887,-3.0543262E-4,0.007941248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354092950,Raw,-1.8659877,1.7570249,10.514909,30.804092,-8.408466,-10.035455,-19.5,-0.1966986,0.03268129,-0.027488936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
724,Таганская (КЛЦ) 4,User1,1433354093860,Raw,-1.6344417,1.6753027,10.283362,292.44803,-11.070919,-8.8301,50.879997,0.121256754,0.09132435,-0.11362094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354093988,Raw,-1.3756552,1.7570249,9.79303,264.4547,-10.774804,-9.123879,59.219997,-0.052534413,0.004886922,0.04428773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354095032,Raw,-1.5935807,1.293933,9.874752,306.5374,-7.478592,-10.651997,33.78,-0.057421334,0.118202426,0.10354166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,User1,1433354096116,Raw,-1.2803127,1.6480621,9.833891,209.34435,-8.965625,-7.152877,27.96,-0.06688975,-0.2938262,0.06719518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
