ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
743,Добрынинская 3,Andrey,1433354325505,Raw,-1.1849703,1.0487667,9.765789,256.6757,-7.1459785,-6.347542,37.32,-0.00580322,0.065973446,-0.18478674,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354326105,Raw,-1.4301366,1.0896279,9.861132,253.65196,-7.1102023,-7.398518,39.719997,-0.017715093,-0.0070249503,-0.07452556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354327285,Raw,-1.3756552,0.040861044,10.106298,255.39359,0.27434412,-9.315936,37.38,-0.5552765,-0.0012217305,-0.002443461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354328303,Raw,-1.1168685,0.313268,10.18802,244.5806,-1.520329,-6.4967875,44.28,0.094989546,0.5852089,0.0067195175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354329332,Raw,-1.3756552,0.47671217,9.983715,255.77615,-2.0532439,-7.494976,33.78,-0.086132,0.07238753,-0.0061086523,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354330372,Raw,-1.2258313,0.17706452,10.079058,314.7475,-0.7628426,-7.673281,21.3,0.015271631,0.047036625,-0.046120327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354331397,Raw,-1.2122109,0.313268,9.970095,295.92407,-0.2121325,-7.833362,30.84,-0.012217305,0.015271631,0.048258353,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354332437,Raw,-1.3211738,-0.05448139,10.18802,304.18817,0.39790335,-7.7108073,29.34,-0.051923547,0.03481932,-0.030543262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354333475,Raw,-1.2394516,-0.19068487,10.092678,348.6718,0.8203533,-7.306841,11.639999,-0.014966198,-0.0125227375,-0.00580322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354334505,Raw,-1.8523673,0.54481393,9.833891,355.9458,-3.334536,-10.513428,7.9199996,0.105374254,0.18295415,0.06780604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354335549,Raw,-1.5799603,0.35412905,10.010956,354.17316,-1.671531,-8.910217,8.94,-0.003970624,0.0067195175,-0.04184427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354336659,Raw,-1.4709976,0.35412905,10.160779,352.08823,-2.1959229,-9.105257,12.179999,-0.064751714,0.048258353,-0.028405234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
744,Добрынинская 4,Andrey,1433354337469,Raw,-1.2394516,0.7218784,9.80665,349.75778,-3.9077652,-8.759272,13.74,-0.025045475,-0.057421334,-0.06261369,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354337793,Raw,-1.3620348,0.7354988,9.656827,343.5528,-3.269654,-9.257166,19.38,-0.071776666,0.030848695,-0.06291912,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354338808,Raw,-1.7706453,0.35412905,9.929234,284.24405,-2.4050705,-9.989508,103.979996,-0.13164146,0.048563786,-0.081855945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354339838,Raw,-1.4982382,0.6810174,9.493382,240.24365,-2.5277324,-10.87893,46.379997,0.32711834,0.11056661,3.0543262E-4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354340854,Raw,-1.334794,0.55843425,10.119919,241.35304,-3.2069428,-9.697571,37.8,0.0870483,-0.012217305,0.0021380284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354341898,Raw,-1.9477097,0.25878662,9.547864,228.82231,-0.71400076,-10.233509,47.039997,0.7467828,-0.16279559,-0.122783914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354342929,Raw,-0.667397,0.92618364,9.724928,258.36203,-3.420941,-6.363612,33.48,0.057421334,0.29016098,0.07544186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354343987,Raw,-1.253072,0.5992953,9.248216,263.46875,-4.235627,-7.120107,27.96,0.13469578,-0.0070249503,-0.050396383,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354345016,Raw,-1.5799603,0.7082581,10.119919,264.99664,-4.872495,-8.786659,28.92,-0.050396383,-0.04642576,-0.050701816,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354346107,Raw,-1.4709976,1.0896279,9.765789,271.05002,-5.395706,-6.150178,32.94,0.02443461,-0.10354166,-0.020463986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354347157,Raw,-1.253072,0.8308412,10.024576,278.61096,-5.491621,-5.290393,30.48,-0.025961773,0.043066,-0.02443461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354348244,Raw,-0.7899802,0.5720546,10.065437,293.79498,-4.8277717,-5.4915023,27.48,-0.06414085,0.028099801,0.023518313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354349274,Raw,-1.1168685,0.7899802,10.065437,306.65085,-4.0440245,-6.3153095,24.119999,0.14630222,0.030543262,-0.0027488936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354350322,Raw,-1.0896279,0.44947147,10.2152605,319.511,-4.2870374,-6.7167583,20.52,0.0842994,-0.016493361,0.03023783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354351411,Raw,-1.2803127,0.6537767,9.929234,317.98383,-4.2973647,-7.8734956,18.779999,0.01985312,-0.042760566,0.06291912,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354352514,Raw,-1.5390993,0.84446156,9.738548,338.467,-3.9392438,-7.5713077,9.9,0.027183503,0.032375857,0.053145275,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,Andrey,1433354353551,Raw,-1.5799603,0.47671217,10.18802,339.34116,-2.7184563,-8.657163,9.48,-0.18661933,0.1994475,0.12583824,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
