ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
753,Октябрьская (КЛЦ) 3,sasfeat,1433358011879,Raw,0.05746084,0.61291564,9.471462,242.57813,-3.6875,0.328125,70.32,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358012113,Raw,0.19153613,0.7565677,9.873688,246.53125,-3.859375,0.453125,71.4,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358013272,Raw,-0.21068975,0.45968673,9.548077,267.4375,-2.75,-1.265625,37.079998,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358014472,Raw,-0.22026655,0.545878,9.701305,239.78125,-3.71875,-1.453125,31.8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358015706,Raw,-0.22026655,0.50757074,9.701305,243.32813,-2.09375,-1.8125,85.68,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358016972,Raw,-0.23942018,0.60333884,9.730036,228.34375,-3.546875,-1.40625,51.539997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358018240,Raw,-0.05746084,0.5650316,9.816227,226.25,-2.890625,-0.890625,63.48,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358019514,Raw,-0.019153614,0.9768343,9.461885,221.25,-4.703125,-0.953125,60.42,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358020772,Raw,-0.22026655,0.8331822,9.461885,216.75,-4.984375,-0.953125,53.699997,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358021967,Raw,0.16280572,0.90021986,9.3182335,216.125,-5.515625,1.015625,71.52,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358023232,Raw,0.076614454,0.81402856,9.528923,215.39063,-4.875,0.453125,93.72,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
754,Октябрьская (КЛЦ) 4,sasfeat,1433358024327,Raw,0.0,0.6607997,9.787497,225.0625,-5.578125,0.734375,132.42,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,ServiceLog,sasfeat,1433358024480,Raw,0.02873042,0.9864111,9.394848,233.21875,-3.859375,0.0,238.2,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
