ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
803,Перово 3,Denis,1423648605886,Raw,-3.0400615,6.4135494,7.3353744,208.93906,-40.604984,-16.024359,-5.7999954,0.034208454,-0.6756169,0.012217305,1423648605
,ServiceLog,Denis,1423648606086,Raw,-2.9027684,6.08993,7.688414,209.2356,-39.880272,-15.47477,-6.2999954,-0.014660766,-0.7134906,-0.1282817,1423648605
,ServiceLog,Denis,1423648607112,Raw,-3.1283214,5.785924,7.521701,209.93787,-36.634514,-18.593847,-11.900002,0.0012217305,-0.6756169,-0.05497787,1423648605
,ServiceLog,Denis,1423648608134,Raw,-3.589234,5.6584373,8.208166,206.16469,-35.53775,-18.00808,-18.900002,-0.05131268,-0.6902777,-0.042760566,1423648605
,ServiceLog,Denis,1423648609165,Raw,-3.255808,5.6878576,7.864934,198.4294,-35.29598,-17.203627,-27.099998,0.019547688,-0.6084218,-0.02076942,1423648605
,ServiceLog,Denis,1423648610187,Raw,-3.5009744,5.609404,7.776674,194.05356,-35.05107,-17.887535,-34.1,0.009773844,-0.63041294,0.04886922,1423648605
,ServiceLog,Denis,1423648611212,Raw,-3.3931012,5.256365,8.237586,187.93977,-34.51799,-17.806396,-39.699997,-0.010995574,-0.6401868,-0.05742133,1423648605
,ServiceLog,Denis,1423648612235,Raw,-3.2067747,5.256365,7.84532,179.9229,-34.82205,-17.367008,-51.9,0.02321288,-0.64385194,-0.02565634,1423648605
,ServiceLog,Denis,1423648613286,Raw,-3.2950346,5.256365,7.923774,173.4062,-34.701847,-17.61057,-61.899998,0.010995574,-0.65240407,-0.059864793,1423648605
,ServiceLog,Denis,1423648614324,Raw,-3.4617476,5.5211444,8.100293,170.60124,-34.798866,-17.166441,-77.6,-0.02443461,-0.66950834,-0.05253441,1423648605
,ServiceLog,Denis,1423648615370,Raw,-3.3931012,5.3936577,8.13952,159.74205,-34.72242,-17.727072,-104.5,-0.02687807,-0.66950834,-0.015882496,1423648605
804,Перово 4,Denis,1423648616153,Raw,-3.3931012,5.040618,7.7570605,157.2613,-34.329563,-17.473253,-102.8,0.030543262,-0.6743952,-0.05131268,1423648605
,ServiceLog,Denis,1423648616418,Raw,-3.2754214,5.138685,7.9041605,158.15196,-33.740055,-18.473505,-108.0,0.0036651916,-0.66706485,0.05253441,1423648605
,ServiceLog,Denis,1423648617448,Raw,-3.147935,6.6587157,7.8355136,159.97359,-42.308327,-14.219115,15.900009,0.19058995,-0.99815375,0.089186326,1423648605
,ServiceLog,Denis,1423648618506,Raw,-3.6578808,8.070873,4.7856455,176.56384,-55.88777,-20.235037,45.5,-0.46792278,-0.7611381,-0.045204025,1423648605
,ServiceLog,Denis,1423648619555,Raw,-3.6873007,8.168941,5.050425,209.30257,-55.106888,-18.057257,41.600006,0.3115413,-0.43982297,-0.02321288,1423648605
