ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
973,Третьяковская (КРЛ) 3,yellow,1424850976260,Linear,0.0,0.0,0.0,345.80283,-29.760563,-18.309858,13.25,-0.2739872,-0.0010660981,0.59168446,1424850976
,ServiceLog,yellow,1424850976564,Linear,0.0,0.0,0.0,344.12677,-27.380281,-18.619719,13.5,-0.1673774,0.07995736,-0.13646056,1424850976
,ServiceLog,yellow,1424850977603,Linear,0.0,0.0,0.0,348.77466,-28.042253,-16.549295,14.5,-0.8336887,1.4605544,2.4434967,1424850976
,ServiceLog,yellow,1424850978644,Linear,0.0,0.0,0.0,315.0,-29.915493,-14.633802,25.75,0.02771855,0.0031982942,0.0074626864,1424850976
,ServiceLog,yellow,1424850979711,Linear,0.0,0.0,0.0,313.67606,-28.394365,-14.9577465,28.5,-0.20255864,0.07249467,-0.043710023,1424850976
,ServiceLog,yellow,1424850980748,Linear,0.0,0.0,0.0,274.30984,-28.507042,-16.422535,70.5,-0.65884864,1.1897655,2.021322,1424850976
,ServiceLog,yellow,1424850981782,Linear,0.0,0.0,0.0,275.95773,-26.760563,-17.140844,74.75,0.3763326,-0.3272921,-0.5351812,1424850976
,ServiceLog,yellow,1424850982817,Linear,0.0,0.0,0.0,271.19717,-28.647888,-15.295774,62.5,0.13752665,-0.24413647,-0.4392324,1424850976
,ServiceLog,yellow,1424850983857,Linear,0.0,0.0,0.0,278.87323,-27.985916,-16.985916,64.0,0.14925373,-0.10341151,-0.2238806,1424850976
,ServiceLog,yellow,1424850984889,Linear,0.0,0.0,0.0,291.4507,-29.267605,-16.239437,60.25,0.014925373,-0.023454158,-0.18550107,1424850976
,ServiceLog,yellow,1424850985923,Linear,0.0,0.0,0.0,291.70422,-26.12676,-15.394366,43.25,0.30063966,-0.30916846,-0.39019188,1424850976
,ServiceLog,yellow,1424850986956,Linear,0.0,0.0,0.0,298.32394,-28.830986,-13.661972,36.25,0.031982943,-0.12153518,-0.31236672,1424850976
,ServiceLog,yellow,1424850987992,Linear,0.0,0.0,0.0,300.94366,-28.197184,-16.15493,32.0,-0.19509594,0.10127932,0.07675906,1424850976
974,Третьяковская (КРЛ) 4,yellow,1424850988907,Linear,0.0,0.0,0.0,271.7324,-28.380281,-10.774648,45.5,-0.3496802,0.52132195,1.5671642,1424850976
,ServiceLog,yellow,1424850989029,Linear,0.0,0.0,0.0,253.22536,-30.380281,-15.788733,40.5,-0.9413646,-0.04477612,2.1460555,1424850976
,ServiceLog,yellow,1424850990075,Linear,0.0,0.0,0.0,208.4507,-29.070423,-10.366198,-144.5,-0.59275055,2.7100213,4.34435,1424850976
,ServiceLog,yellow,1424850991105,Linear,0.0,0.0,0.0,170.84508,-36.070423,-17.521128,-20.25,-0.40191898,-0.717484,-0.64712155,1424850976
,ServiceLog,yellow,1424850992127,Linear,0.0,0.0,0.0,166.60564,-24.15493,-20.323944,-24.25,0.021321962,0.21748401,1.0447761,1424850976
,ServiceLog,yellow,1424850993148,Linear,0.0,0.0,0.0,102.746475,-4.183099,-26.070423,-71.25,0.9434968,-2.6385927,-0.79317695,1424850976
,ServiceLog,yellow,1424850994184,Linear,0.0,0.0,0.0,115.04225,-19.478872,-15.140845,-6.75,0.2217484,-0.35714287,-1.3539445,1424850976
,ServiceLog,yellow,1424850995199,Linear,0.0,0.0,0.0,178.94366,-20.591549,-17.87324,33.0,-0.14605543,-0.031982943,0.3251599,1424850976
,ServiceLog,yellow,1424850996232,Linear,0.0,0.0,0.0,178.94366,-20.591549,-17.87324,-6.75,-0.14605543,-0.031982943,0.3251599,1424850976
,ServiceLog,yellow,1424850997262,Linear,0.0,0.0,0.0,302.0,-27.90141,-28.380281,48.25,-1.6343284,1.1886994,3.2036247,1424850976
,ServiceLog,yellow,1424850998280,Linear,0.0,0.0,0.0,143.47887,-19.591549,-7.1408453,43.5,-0.2228145,-2.2345417,-2.5447762,1424850976
,ServiceLog,yellow,1424850999309,Linear,0.0,0.0,0.0,160.38028,-25.830986,-27.690142,182.75,2.086354,-1.9392325,-5.6471214,1424850976
,ServiceLog,yellow,1424851000326,Linear,0.0,0.0,0.0,241.25352,-23.380281,-21.02817,147.5,1.1172708,-0.65884864,-1.7675906,1424850976
,ServiceLog,yellow,1424851001354,Linear,0.0,0.0,0.0,247.70422,-22.788733,-21.014084,47.5,-2.8336887,2.6098082,4.853945,1424850976
,ServiceLog,yellow,1424851002370,Linear,0.0,0.0,0.0,306.28168,-32.338028,-20.070423,31.75,0.11513859,-0.5501066,0.5490405,1424850976
,ServiceLog,yellow,1424851003399,Linear,0.0,0.0,0.0,310.40845,-30.774649,-21.042253,28.75,-0.17803837,0.35394457,0.20895523,1424850976
,ServiceLog,yellow,1424851004432,Linear,0.0,0.0,0.0,307.69016,-29.619719,-20.366198,26.25,0.14712153,-0.46481878,-0.19829424,1424850976
,ServiceLog,yellow,1424851005467,Linear,0.0,0.0,0.0,312.9859,-31.704226,-12.070422,25.5,-0.17910448,2.163113,0.047974415,1424850976
,ServiceLog,yellow,1424851006499,Linear,0.0,0.0,0.0,346.30984,-12.281691,-10.323944,3.25,-0.65884864,0.42643923,-0.5660981,1424850976
