ID,Name,User,TimeStamp,Type,X,Y,Z
983,Октябрьская (КРЛ) 3,md,1417172752450,Raw,-0.6810174,5.965712,7.7363577
,ServiceLog,md,1417172753374,Raw,-0.0,1.9885708,9.452521
,ServiceLog,md,1417172754395,Raw,-0.5720546,2.8602731,8.880466
,ServiceLog,md,1417172755417,Raw,0.10896278,-0.29964766,10.419566
,ServiceLog,md,1417172756434,Raw,1.484618,5.3119354,7.2324047
,ServiceLog,md,1417172757465,Raw,0.06810174,2.7921712,8.839605
,ServiceLog,md,1417172758516,Raw,-0.38136974,3.9771416,8.839605
,ServiceLog,md,1417172759546,Raw,-0.38136974,4.3176503,8.989429
,ServiceLog,md,1417172760564,Raw,0.4903325,5.012288,7.995144
,ServiceLog,md,1417172761582,Raw,-0.95342433,7.273266,6.0882955
,ServiceLog,md,1417172762601,Raw,-0.8036005,6.510526,6.197258
,ServiceLog,md,1417172763616,Raw,-1.1032481,7.1234417,5.6660647
984,Октябрьская (КРЛ) 4,md,1417172763801,Raw,-0.7218784,6.891896,5.8158884
,ServiceLog,md,1417172764636,Raw,0.7218784,4.971427,8.267551
,ServiceLog,md,1417172765653,Raw,0.5720546,5.202973,7.763598
,ServiceLog,md,1417172766670,Raw,-0.40861043,5.09401,8.117727
,ServiceLog,md,1417172767706,Raw,-0.38136974,4.5491962,6.578628
,ServiceLog,md,1417172768727,Raw,1.7978859,4.903325,8.036005
,ServiceLog,md,1417172769767,Raw,-1.8659877,1.4437568,9.152874
,ServiceLog,md,1417172770786,Raw,-2.2882185,2.7513103,9.534244
,ServiceLog,md,1417172772001,Raw,-5.5843425,-6.3198414,0.027240695
,ServiceLog,md,1417172773052,Raw,-7.572913,-7.2324047,-0.44947147
,ServiceLog,md,1417172774082,Raw,-6.769313,-6.810174,-0.25878662
,ServiceLog,md,1417172775113,Raw,-6.742072,-7.2324047,-0.10896278
,ServiceLog,md,1417172776156,Raw,-7.9679036,-7.273266,-0.53119355
,ServiceLog,md,1417172777196,Raw,-7.000859,-7.3549876,-0.6401563
,ServiceLog,md,1417172778211,Raw,-6.851035,-7.273266,-0.44947147
,ServiceLog,md,1417172779238,Raw,-6.537767,-6.9599977,-0.25878662
,ServiceLog,md,1417172780255,Raw,-6.510526,-7.273266,-0.10896278
,ServiceLog,md,1417172781288,Raw,-7.04172,-6.9599977,-0.53119355
,ServiceLog,md,1417172782323,Raw,-6.701211,-7.7363577,-0.10896278
,ServiceLog,md,1417172783361,Raw,-6.9599977,-7.2324047,-0.19068487
,ServiceLog,md,1417172784408,Raw,-6.810174,-7.504812,-0.14982383
,ServiceLog,md,1417172785426,Raw,-6.810174,-7.2324047,-0.21792556
,ServiceLog,md,1417172786464,Raw,-6.851035,-7.1915436,-0.4903325
,ServiceLog,md,1417172787500,Raw,-6.197258,-6.742072,-0.06810174
,ServiceLog,md,1417172788536,Raw,-6.810174,-7.3141265,-0.25878662
,ServiceLog,md,1417172789552,Raw,-6.2789803,-6.537767,-0.0
,ServiceLog,md,1417172790566,Raw,-8.308413,-8.921328,-0.06810174
,ServiceLog,md,1417172791647,Raw,-6.66035,-7.3822284,-0.3405087
,ServiceLog,md,1417172792698,Raw,-6.428804,-7.2324047,-0.027240695
,ServiceLog,md,1417172793748,Raw,-6.006573,-7.3141265,-0.25878662
,ServiceLog,md,1417172794773,Raw,-7.6546354,-7.3822284,-1.334794
,ServiceLog,md,1417172795808,Raw,-5.9248514,-7.082581,-0.06810174
,ServiceLog,md,1417172796843,Raw,-6.3879433,-6.810174,-0.38136974
,ServiceLog,md,1417172797886,Raw,-6.891896,-7.1234417,-0.19068487
,ServiceLog,md,1417172798903,Raw,-7.082581,-6.810174,-0.6401563
,ServiceLog,md,1417172799922,Raw,-6.428804,-7.1234417,-0.61291564
,ServiceLog,md,1417172800943,Raw,-6.428804,-6.469665,-0.21792556
,ServiceLog,md,1417172801979,Raw,-6.851035,-6.578628,-0.7218784
,ServiceLog,md,1417172803012,Raw,-6.9599977,-7.1915436,-0.4903325
,ServiceLog,md,1417172804067,Raw,-6.537767,-7.3549876,-0.38136974
,ServiceLog,md,1417172805079,Raw,-6.578628,-7.3549876,-0.10896278
,ServiceLog,md,1417172806100,Raw,-7.2324047,-7.9270425,-0.29964766
,ServiceLog,md,1417172807137,Raw,-7.082581,-7.6546354,-0.29964766
,ServiceLog,md,1417172808176,Raw,-5.7341666,-7.082581,-0.14982383
,ServiceLog,md,1417172809212,Raw,-6.66035,-7.4230895,-0.21792556
,ServiceLog,md,1417172810246,Raw,-6.3198414,-7.04172,-0.10896278
,ServiceLog,md,1417172811266,Raw,-6.810174,-7.3822284,-0.10896278
,ServiceLog,md,1417172812299,Raw,-7.3549876,-7.6137743,-0.19068487
,ServiceLog,md,1417172813336,Raw,-7.04172,-7.082581,-0.5720546
,ServiceLog,md,1417172814377,Raw,-6.428804,-7.2324047,-0.06810174
,ServiceLog,md,1417172815417,Raw,-6.510526,-7.1234417,-0.21792556
,ServiceLog,md,1417172816436,Raw,-6.701211,-6.851035,-0.25878662
,ServiceLog,md,1417172817496,Raw,-6.742072,-7.4639506,-0.14982383
,ServiceLog,md,1417172818514,Raw,-6.66035,-7.2324047,-0.25878662
,ServiceLog,md,1417172819573,Raw,-6.537767,-6.9599977,-0.19068487
,ServiceLog,md,1417172820609,Raw,-6.428804,-7.1915436,-0.53119355
,ServiceLog,md,1417172821653,Raw,-6.006573,-7.3822284,-0.87170225
,ServiceLog,md,1417172822690,Raw,-6.0882955,-7.4230895,-0.87170225
,ServiceLog,md,1417172823726,Raw,-6.0474343,-7.6137743,-0.6810174
,ServiceLog,md,1417172824848,Raw,-5.7341666,-7.6546354,-0.87170225
,ServiceLog,md,1417172825877,Raw,-6.469665,-7.763598,-0.8036005
,ServiceLog,md,1417172826897,Raw,-6.197258,-7.572913,-0.7218784
,ServiceLog,md,1417172827941,Raw,-5.706926,-7.5456724,-0.8036005
,ServiceLog,md,1417172828987,Raw,-5.8976107,-7.6546354,-0.9125633
,ServiceLog,md,1417172830026,Raw,-6.1563973,-7.3141265,-0.7627395
,ServiceLog,md,1417172831065,Raw,-5.7750273,-7.7363577,-1.2258313
,ServiceLog,md,1417172832085,Raw,-6.769313,-2.6423476,5.3119354
,ServiceLog,md,1417172833131,Raw,-1.293933,2.8330324,9.643207
,ServiceLog,md,1417172834156,Raw,-1.3756552,5.7750273,7.04172
,ServiceLog,md,1417172835562,Raw,-1.253072,5.7750273,6.891896
,ServiceLog,md,1417172836597,Raw,-6.347082,5.965712,2.9419951
991,Шаболовская 1,md,1417172836843,Raw,-6.510526,6.238119,2.8330324
,ServiceLog,md,1417172837618,Raw,-0.25878662,2.1383946,9.343558
,ServiceLog,md,1417172838657,Raw,-1.2258313,1.8659877,9.343558
,ServiceLog,md,1417172839684,Raw,-1.7978859,3.0645783,8.267551
,ServiceLog,md,1417172840703,Raw,-1.0623871,3.636633,9.030291
,ServiceLog,md,1417172841716,Raw,-1.1032481,3.2825038,8.580819
,ServiceLog,md,1417172842737,Raw,-0.8036005,5.243834,7.7363577
,ServiceLog,md,1417172843786,Raw,-1.1849703,5.3936577,8.036005
,ServiceLog,md,1417172844814,Raw,-1.8387469,5.47538,7.3141265
,ServiceLog,md,1417172845857,Raw,-5.202973,2.8330324,7.1234417
,ServiceLog,md,1417172846906,Raw,-1.607201,2.901134,8.839605
,ServiceLog,md,1417172847918,Raw,-0.29964766,3.6774938,8.580819
,ServiceLog,md,1417172848963,Raw,-2.1383946,8.417375,2.7104492
,ServiceLog,md,1417172849984,Raw,-2.1792557,8.689782,2.669588
,ServiceLog,md,1417172851015,Raw,-2.4789033,4.971427,7.7363577
,ServiceLog,md,1417172852031,Raw,-2.4108016,5.7341666,7.1506824
992,Шаболовская 2,md,1417172852995,Raw,-1.0215261,5.5434813,7.2324047
