ID,Name,User,TimeStamp,Type,X,Y,Z,race_id
992,Шаболовская 2,md,1417510692770,Raw,0.8036005,5.3119354,7.504812,1417510589
,ServiceLog,md,1417510693576,Raw,1.253072,5.012288,7.7363577,1417510589
,ServiceLog,md,1417510694600,Raw,0.9125633,5.284695,7.6137743,1417510589
,ServiceLog,md,1417510695615,Raw,0.38136974,6.0474343,6.932757,1417510589
,ServiceLog,md,1417510696634,Raw,1.2258313,6.2789803,7.04172,1417510589
,ServiceLog,md,1417510697678,Raw,0.6810174,6.428804,6.66035,1417510589
,ServiceLog,md,1417510698705,Raw,0.5720546,6.197258,6.769313,1417510589
,ServiceLog,md,1417510699736,Raw,1.525479,4.903325,7.9270425,1417510589
,ServiceLog,md,1417510700756,Raw,1.484618,4.739881,7.9679036,1417510589
,ServiceLog,md,1417510701776,Raw,0.7218784,5.5162406,7.4639506,1417510589
,ServiceLog,md,1417510702797,Raw,0.8308412,5.3119354,7.6546354,1417510589
,ServiceLog,md,1417510703818,Raw,-1.3756552,5.243834,7.804459,1417510589
,ServiceLog,md,1417510704833,Raw,-1.525479,5.3936577,7.4230895,1417510589
,ServiceLog,md,1417510705853,Raw,-0.4903325,4.971427,7.8861814,1417510589
,ServiceLog,md,1417510706909,Raw,0.61291564,4.69902,7.9270425,1417510589
,ServiceLog,md,1417510707947,Raw,0.6810174,4.69902,7.995144,1417510589
,ServiceLog,md,1417510708970,Raw,0.6810174,4.69902,8.076866,1417510589
,ServiceLog,md,1417510709995,Raw,0.6401563,4.780742,8.076866,1417510589
,ServiceLog,md,1417510711015,Raw,0.7218784,4.508335,8.036005,1417510589
,ServiceLog,md,1417510712028,Raw,0.38136974,4.2086873,8.158588,1417510589
,ServiceLog,md,1417510713070,Raw,0.6401563,4.630918,7.9679036,1417510589
,ServiceLog,md,1417510714126,Raw,0.40861043,4.3176503,8.349273,1417510589
,ServiceLog,md,1417510715160,Raw,0.4903325,4.440233,8.267551,1417510589
,ServiceLog,md,1417510716208,Raw,0.53119355,4.4810944,8.185829,1417510589
,ServiceLog,md,1417510717243,Raw,0.5720546,5.5434813,7.6954966,1417510589
993,Шаболовская 3,md,1417510717365,Raw,0.5720546,5.5434813,7.6954966,1417510589
