ID,Name,TimeStamp,Type,User,X,Y,Z,race_id
1073,Теплый стан 3,1417190082949,Raw,bishop,"-1,07237","3,7943096","8,161628",1417190082
,bishop,1417190083111,Raw,,-1.6088544,3.1428645,9.579479,1417190082
,bishop,1417190084123,Raw,,-0.22932312,2.60638,9.387877,1417190082
,bishop,1417190085159,Raw,,-1.187331,3.7559893,8.583151,1417190082
,bishop,1417190086178,Raw,,0.15388,3.6793487,8.851394,1417190082
,bishop,1417190087191,Raw,,-1.1106904,3.334466,9.119636,1417190082
,bishop,1417190088208,Raw,,-0.03772156,3.219505,9.73276,1417190082
,bishop,1417190089232,Raw,,-1.4172528,3.9475908,9.311237,1417190082
,bishop,1417190090259,Raw,,-1.4938934,3.83263,8.736432,1417190082
,bishop,1417190091287,Raw,,-0.68916684,3.717669,8.813073,1417190082
,bishop,1417190092309,Raw,,-1.4555731,3.5643878,8.966354,1417190082
,bishop,1417190093341,Raw,,-1.1490107,4.215833,9.272917,1417190082
,bishop,1417190094370,Raw,,-1.8387762,4.1775126,9.924362,1417190082
1074,Теплый стан 4,1417190094433,Raw,bishop,"-1,8387762","4,1775126","9,924362",1417190082
,bishop,1417190095387,Raw,,0.03891907,1.2268487,10.192604,1417190082
,bishop,1417190096404,Raw,,-0.34428406,3.334466,8.813073,1417190082
,bishop,1417190097418,Raw,,-1.2256513,3.717669,9.349558,1417190082
,bishop,1417190098432,Raw,,-0.8807684,4.1391926,8.621471,1417190082
,bishop,1417190099456,Raw,,-0.8041278,2.7979815,8.736432,1417190082
,bishop,1417190100471,Raw,,-1.7238153,2.491419,8.199948,1417190082
,bishop,1417190101488,Raw,,-1.4938934,2.3764582,8.199948,1417190082
,bishop,1417190102580,Raw,,-1.685495,2.9129424,6.973698,1417190082
,bishop,1417190103598,Raw,,-1.2256513,4.6373568,6.8970575,1417190082
,bishop,1417190104626,Raw,,-1.07237,3.8709502,8.659792,1417190082
,bishop,1417190105649,Raw,,-2.29862,4.1775126,9.8094015,1417190082
,bishop,1417190106665,Raw,,-0.459245,1.8016534,10.1542845,1417190082
,bishop,1417190107691,Raw,,-1.685495,2.7596612,8.889713,1417190082
,bishop,1417190108721,Raw,,-0.8807684,1.6100519,9.6178,1417190082
,bishop,1417190109751,Raw,,-0.65084654,1.0352472,9.387877,1417190082
,bishop,1417190110766,Raw,,-1.07237,1.3418097,11.035651,1417190082
,bishop,1417190111804,Raw,,-1.2639716,2.108216,10.077643,1417190082
,bishop,1417190112831,Raw,,-1.3789325,2.5297394,9.579479,1417190082
,bishop,1417190113854,Raw,,-1.2639716,2.0698957,9.502839,1417190082
,bishop,1417190114895,Raw,,-2.9883857,3.0279036,7.586823,1417190082
,bishop,1417190115920,Raw,,-4.7127995,3.9859114,7.356901,1417190082
,bishop,1417190116940,Raw,,-3.7931123,6.2468095,7.3952217,1417190082
,bishop,1417190117962,Raw,,-3.294948,4.790638,7.2419405,1417190082
,bishop,1417190118976,Raw,,0.03891907,-1.1106904,10.997331,1417190082
,bishop,1417190120006,Raw,,-0.9574091,4.330794,8.966354,1417190082
,bishop,1417190121033,Raw,,-0.26764342,4.062552,9.962683,1417190082
,bishop,1417190122059,Raw,,-0.30596375,3.4877472,8.506511,1417190082
,bishop,1417190123090,Raw,,-0.38260436,2.721341,8.42987,1417190082
,bishop,1417190124106,Raw,,-1.7238153,4.1391926,9.464519,1417190082
,bishop,1417190125137,Raw,,-0.8424481,3.1811848,7.4718623,1417190082
,bishop,1417190126163,Raw,,-0.8041278,3.4877472,10.001003,1417190082
,bishop,1417190127190,Raw,,0.23052064,3.9859114,8.199948,1417190082
,bishop,1417190128216,Raw,,0.61372375,4.5223956,10.88237,1417190082
,bishop,1417190129246,Raw,,-0.26764342,3.1045442,9.771081,1417190082
,bishop,1417190130280,Raw,,-0.4209247,2.6830206,8.659792,1417190082
