ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
1193,Пушкинская 3,Anna,1419262919610,Raw,-0.038905777,6.2063694,7.6225395,59.473034,-38.84646,-0.042744555,27.074837,-0.039405994,-0.02497113,-0.024491495,1419262919
,ServiceLog,Anna,1419262920580,Raw,-0.11552023,6.091448,7.9673047,58.557323,-37.851505,0.25320497,27.540556,-0.035137482,0.018700184,0.09485833,1419262919
,ServiceLog,Anna,1419262921617,Raw,0.30585927,5.976526,7.9673047,57.673843,-36.919025,2.0807068,24.681261,-0.038333274,-0.013257748,0.0011150655,1419262919
,ServiceLog,Anna,1419262922724,Raw,0.11432313,6.091448,7.814076,54.385155,-37.806877,0.9260919,24.554317,-0.0010128001,0.009089635,0.04392618,1419262919
,ServiceLog,Anna,1419262923752,Raw,0.99538934,6.129755,7.699154,55.167213,-37.630177,3.4681396,25.525137,-0.014886538,-0.010068879,0.059764795,1419262919
,ServiceLog,Anna,1419262924862,Raw,1.4550761,6.0148335,7.7374616,53.622097,-36.482204,6.3701673,27.363512,0.053326603,0.050628025,0.06316086,1419262919
,ServiceLog,Anna,1419262925894,Raw,1.5699978,5.976526,7.6608467,54.4989,-37.346363,8.849423,27.399443,-0.04148193,0.033583794,0.037594512,1419262919
,ServiceLog,Anna,1419262926994,Raw,1.0720038,6.129755,7.3926964,54.6311,-38.648445,7.714079,27.85832,-0.010563961,0.062329687,-0.05707367,1419262919
,ServiceLog,Anna,1419262928021,Raw,1.608305,6.359598,7.6225395,53.014744,-39.334316,9.163266,29.413485,0.08213961,0.060182914,-0.017518539,1419262919
,ServiceLog,Anna,1419262929100,Raw,1.4550761,6.3979053,7.7374616,53.032253,-39.970978,8.302343,29.709984,0.009730658,-0.13797465,-0.055707738,1419262919
,ServiceLog,Anna,1419262930130,Raw,1.0720038,6.359598,7.699154,55.173313,-40.13064,7.12112,25.37128,0.014002634,-0.01973722,-0.032211997,1419262919
,ServiceLog,Anna,1419262931243,Raw,1.3784616,6.2063694,7.6608467,55.42414,-39.384464,8.327307,19.657595,-0.0019981698,-0.023984428,-0.05470266,1419262919
,ServiceLog,Anna,1419262932269,Raw,1.2635399,6.129755,7.6608467,53.714073,-38.52409,6.475549,16.946512,-0.004139351,0.016502544,0.044306744,1419262919
,ServiceLog,Anna,1419262933384,Raw,1.1486182,5.9382186,7.6608467,54.94258,-38.964085,7.03347,18.77211,0.016125973,0.0058339206,-0.0013592774,1419262919
1194,Пушкинская 4,Anna,1419262933777,Raw,0.76554596,6.359598,8.31207,55.75782,-38.980186,6.5444603,13.654338,-0.04247076,-0.057012152,-0.06318483,1419262919
,ServiceLog,Anna,1419262934419,Raw,0.9187749,6.4745197,8.04392,54.106853,-38.631603,5.306434,17.796844,-0.027582625,0.018637866,0.05598444,1419262919
,ServiceLog,Anna,1419262935514,Raw,0.57400984,6.2063694,7.8906903,53.11889,-38.854736,4.168571,9.871054,0.04268861,0.016530506,0.03447888,1419262919
,ServiceLog,Anna,1419262936545,Raw,-1.1881226,6.4745197,7.3926964,48.456493,-39.407677,-3.3748298,1.3919715,0.079922,-0.110203736,0.1087667,1419262919
,ServiceLog,Anna,1419262937643,Raw,0.3441665,4.1760864,9.461287,62.59611,-27.17112,3.4490824,8.66789,-0.36753994,-0.09525754,-0.04704261,1419262919
,ServiceLog,Anna,1419262938651,Raw,-0.30705637,3.8696284,9.039907,60.124184,-24.064249,-1.0274408,-43.661674,0.07024407,-0.03451217,0.06352438,1419262919
,ServiceLog,Anna,1419262939681,Raw,-1.4945804,4.789002,8.31207,55.993107,-28.538054,-6.9670053,-80.36725,-0.004382764,0.143424,-0.012430038,1419262919
,ServiceLog,Anna,1419262940706,Raw,-1.91596,5.018845,7.699154,54.160084,-31.982925,-10.933822,67.378654,-0.0011760519,-0.017437845,0.02384914,1419262919
,ServiceLog,Anna,1419262941791,Raw,-1.7244238,4.329315,8.158841,55.3364,-28.643757,-8.5203495,49.70426,0.028567996,-0.12817208,0.009539709,1419262919
,ServiceLog,Anna,1419262942816,Raw,-1.0348936,4.827309,8.465299,54.74928,-28.02394,-5.5648947,43.97857,-0.06945444,-0.029090773,0.0073087793,1419262919
,ServiceLog,Anna,1419262943894,Raw,-1.3796587,5.823297,6.8947024,65.41253,-40.599346,-4.4846935,58.75982,0.3960661,-0.7737106,-0.009735452,1419262919
,ServiceLog,Anna,1419262944961,Raw,-0.4985925,6.129755,7.852383,58.85124,-38.43475,-4.5749483,36.793373,0.026408438,0.50461364,0.2607818,1419262919
,ServiceLog,Anna,1419262946029,Raw,-0.3453636,6.2063694,7.6225395,43.346508,-42.350693,-3.1067538,43.139793,-0.01519866,-0.0098699415,0.14326182,1419262919
,ServiceLog,Anna,1419262947088,Raw,-0.038905777,6.282984,7.5842323,39.46052,-40.88014,0.3890474,28.937944,0.011287808,0.04135543,0.055108525,1419262919
