ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,session_id,race_id
1443,Нагатинская 3,Andrey,1435905435481,Raw,-1.1168685,3.0100968,9.329938,249.28082,-15.580338,-6.1192136,32.399998,-0.05589417,-0.11453723,0.05009095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905435555,Raw,-1.1168685,3.0100968,9.329938,249.28082,-15.580338,-6.1192136,32.399998,-0.05589417,-0.11453723,0.05009095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905436567,Raw,-0.9125633,3.5821514,9.275456,238.30116,-17.408075,-5.702427,23.22,0.1301143,0.040317107,0.008246681,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905437634,Raw,-1.1849703,3.4187074,9.643207,234.63672,-19.369291,-6.2948213,21.96,0.0290161,0.04428773,0.04917465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905438685,Raw,-1.0215261,3.2961242,9.697687,232.28616,-19.98647,-6.10005,22.439999,0.0125227375,0.035430185,0.03604105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905439722,Raw,-0.9125633,3.5549107,9.547864,230.85411,-20.100586,-5.89984,20.58,0.025961773,0.044898596,-0.028099801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905440775,Raw,-1.2258313,3.3642259,9.575105,217.53418,-20.216116,-6.8303065,10.0199995,-0.0030543262,-0.025961773,-0.025961773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905441818,Raw,-1.1032481,3.3506055,9.370799,176.09837,-20.141905,-6.6838264,-6.6,-0.02565634,-0.009468411,0.038789943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905442848,Raw,-0.9670447,3.5412905,10.051817,153.49571,-20.36062,-4.8830953,-16.26,-0.05467244,0.014049901,-0.029626964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905443877,Raw,-0.667397,3.4187074,9.983715,135.92876,-19.880058,-4.8316283,-21.66,0.12003502,-0.03604105,0.0018325958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905444911,Raw,-0.7627395,3.3097446,9.670447,134.62025,-19.707191,-4.985152,-24.42,0.14049901,-0.005497787,0.043676864,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905446034,Raw,-0.47671217,3.1190596,9.656827,133.41748,-18.842764,-5.0850015,-25.56,0.019547688,0.11881329,-0.19364429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905447084,Raw,-1.2258313,3.405087,10.119919,136.66513,-18.994593,-4.9773526,-24.96,-0.16218472,-0.08032878,-0.09010262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905448141,Raw,-0.313268,3.2961242,9.670447,139.3839,-17.92032,-2.8290944,-24.84,-0.062308256,0.06169739,-0.052534413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905449254,Raw,-0.6537767,3.0237172,9.724928,137.48839,-17.672369,-3.953577,-24.359999,-0.020158553,0.060170226,-0.027794369,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905450362,Raw,-0.6401563,3.1871614,9.030291,140.44823,-17.391993,-4.032859,-25.8,-0.11942416,0.0076358155,-0.22357668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
1444,Нагатинская 4,Andrey,1435905450556,Raw,-0.5992953,2.9556155,9.765789,138.89104,-17.44753,-3.532894,-24.359999,-0.1518,0.022602014,-0.27305678,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905451407,Raw,-0.7491191,3.4731886,9.370799,148.57764,-17.446363,-3.3696542,-31.019999,0.032070424,0.18203785,0.07238753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905452440,Raw,-0.6537767,2.9283748,10.065437,156.5624,-15.802297,-8.286593,-16.32,0.06841691,0.14660765,0.2648101,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905453473,Raw,-1.525479,2.3426998,10.787315,153.87253,-11.357256,-5.035181,-26.22,-0.18753563,-0.376293,-0.44409904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905454521,Raw,-0.040861044,2.8875136,8.934948,275.23663,-12.700566,-1.7331429,272.69998,-0.21135938,0.2510656,-0.6123924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905455675,Raw,-0.46309182,2.6014864,9.684067,297.0697,-14.232127,-4.2636924,376.31998,0.22235495,-0.35643986,-0.52381694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905456689,Raw,-0.7082581,1.8387469,9.724928,241.5375,-7.210135,-7.9884725,94.86,-0.0030543262,-0.110872045,-0.43249258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905457735,Raw,-1.3075534,1.0623871,10.664732,248.36215,-6.3597307,-8.880287,77.46,-0.058948494,-0.19456059,0.23732115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905458849,Raw,-2.002191,0.9670447,10.528529,245.77988,-4.9233317,-9.126578,60.84,-0.013744468,-0.015882496,0.23090707,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905459932,Raw,-2.152015,0.9125633,9.520623,305.0921,-4.6888175,-11.445913,50.76,-0.2687807,-0.09560041,0.116675265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905460979,Raw,-1.7025435,1.1849703,10.378705,307.6997,-4.413444,-9.569556,52.079998,-0.037873644,0.03940081,-0.04795292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905462011,Raw,-1.6753027,0.92618364,10.051817,305.0137,-5.8464193,-9.824518,57.84,0.07849618,-0.06811147,-0.0106901415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905463110,Raw,-1.7161638,0.9942854,10.119919,301.71545,-7.1443405,-9.955978,58.02,0.09865474,0.32895094,-0.19486602,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905464149,Raw,-2.315459,1.7978859,9.452521,277.7371,-13.049144,-8.69894,67.979996,0.17012598,-0.8698721,-1.1658363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905465259,Raw,-1.0760075,1.6344417,8.894087,274.9603,-10.546378,-5.6949363,140.16,-0.020463986,0.03848451,-0.04428773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905466294,Raw,-0.81722087,2.2882185,8.825985,278.71402,-12.694673,-4.911493,147.23999,-0.16157386,-0.106595986,-0.34330627,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905467335,Raw,-0.89894295,0.89894295,10.024576,345.2698,-11.313069,-5.0237474,9.66,0.3921755,-0.15515977,-1.9520199,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905468457,Raw,-0.47671217,2.0566726,9.41166,107.08104,-7.731805,-0.06532317,-42.6,0.3894266,0.058643065,-0.74281216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905469518,Raw,-0.626536,1.8115063,10.256122,147.97778,-11.513677,-0.8394841,-27.0,-0.17592919,0.07544186,-0.08155051,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905470550,Raw,-0.5992953,2.2882185,9.684067,160.31287,-13.381857,-1.4792461,-17.94,-0.009773844,-0.024740042,-0.12644911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905471566,Raw,0.23154591,2.2473574,9.697687,162.4451,-15.461376,1.9287295,-18.06,-0.16676621,-0.3390302,-0.15882497,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905472629,Raw,-0.29964766,3.2416427,9.438901,167.2453,-18.92709,-2.8757203,-10.5,0.06352998,0.14355333,-0.44776422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905473674,Raw,-1.1577295,3.050958,9.343558,179.1511,-22.071754,-5.147685,0.24,-0.32803464,-0.18173242,-0.33108896,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905474718,Raw,-1.4573772,3.636633,9.0983925,185.04823,-22.429811,-8.08877,7.7999997,-0.21746802,-0.35094208,0.06658431,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905475737,Raw,-0.14982383,2.8875136,9.779409,171.12566,-15.7143,1.0559767,-8.58,0.03756821,0.09743301,0.032375857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
,ServiceLog,Andrey,1435905476830,Raw,0.12258313,2.4789033,10.310603,171.64581,-14.312051,1.2470345,-9.12,-0.30573806,0.14874569,-0.12308934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,828403345,1435905435
