ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
1493,Южная 3,bishop,1425984796866,Raw,-0.0061372374,3.991749,8.919502,9.822921,-22.186218,-0.060909767,50.199997,0.002131594,-0.023448868,-0.034107372,1425984796
,ServiceLog,User1,1425984797778,Raw,0.062120818,3.8651125,8.8967495,10.101348,-22.280046,0.5120845,55.699997,0.12150646,0.057555705,-0.01279063,1425984796
,ServiceLog,User1,1425984798801,Raw,0.34458342,4.123475,8.295898,252.68045,-23.15623,-0.75195825,65.499985,-0.16094388,-0.015988022,-0.043700077,1425984796
,ServiceLog,User1,1425984799818,Raw,-0.25267455,3.9701939,9.080118,252.80783,-22.61122,-3.3830872,74.69998,-0.020251475,0.0,0.002131594,1425984796
,ServiceLog,User1,1425984800881,Raw,-0.61222684,3.729644,9.205707,255.1889,-22.429737,-3.3318782,81.999985,0.019185146,-0.006395315,-0.0010663297,1425984796
,ServiceLog,User1,1425984802062,Raw,-0.40281236,3.911516,8.990753,256.26587,-23.108837,-3.361579,84.999985,-0.12363885,-0.020251475,-0.05649044,1425984796
,ServiceLog,User1,1425984803091,Raw,-0.4700226,3.893254,9.139095,257.25006,-23.39192,-3.027856,96.999985,0.029843649,0.023448335,-0.008526909,1425984796
,ServiceLog,User1,1425984804118,Raw,-0.5176236,3.8871167,8.930579,258.6916,-23.439314,-3.0836508,100.89998,-0.0010663297,-0.0010663297,0.01705302,1425984796
,ServiceLog,User1,1425984805134,Raw,-0.39532793,3.8808298,8.908424,259.80145,-23.653538,-2.8274171,102.09999,0.022382537,0.0031973913,0.02131674,1425984796
,ServiceLog,User1,1425984806161,Raw,-0.5547464,3.8835242,8.922196,260.7074,-23.612513,-2.9849749,117.79999,-0.0021321268,-0.013856427,0.002131594,1425984796
,ServiceLog,User1,1425984807195,Raw,-0.3740721,3.9381607,8.971444,261.608,-23.623898,-2.6493993,126.09999,0.053291984,-0.004263721,0.02557993,1425984796
,ServiceLog,User1,1425984808221,Raw,-0.43574387,4.038452,8.97339,263.12103,-23.98612,-2.8308296,136.09999,0.002131594,0.001065797,-0.01811988,1425984796
,ServiceLog,User1,1425984809251,Raw,-0.3995192,3.906277,9.07937,263.6004,-23.516068,-2.8397892,150.59999,-0.014922224,0.050094593,-0.06075363,1425984796
1494,Южная 4,bishop,1425984810014,Raw,-0.3860472,3.8531373,8.941656,264.2423,-23.46849,-2.8500896,184.69998,-0.014922224,0.023448335,-0.019185679,1425984796
,ServiceLog,User1,1425984810276,Raw,-0.19339782,3.8540354,8.880283,264.82758,-23.20779,-2.4906573,181.79999,-0.19078752,-0.11404615,-0.06501735,1425984796
,ServiceLog,User1,1425984811296,Raw,-0.08128098,-1.5796651,10.436597,261.54675,7.517991,-2.5521543,170.49998,0.6288512,0.16094308,-1.1425915,1425984796
,ServiceLog,User1,1425984812319,Raw,0.941542,2.203867,9.78605,269.34875,-16.876217,6.1821465,95.0,0.6203245,-0.55424243,-0.19185333,1425984796
,ServiceLog,User1,1425984813344,Raw,0.4924759,5.393883,8.508606,259.21,-32.950356,4.7114353,80.3,0.018119348,-0.5030815,0.06821394,1425984796
,ServiceLog,User1,1425984814360,Raw,-0.2841092,6.7773066,6.630013,256.42224,-46.404945,-3.2249353,135.7,0.18119429,0.15454803,-0.023448868,1425984796
,ServiceLog,User1,1425984815378,Raw,0.41478744,7.047794,6.6940794,262.19394,-45.34167,0.7717583,140.29999,-0.32188722,-0.3272162,-0.1332313,1425984796
,ServiceLog,User1,1425984816407,Raw,-0.49442184,2.7830126,9.640103,270.096,-18.157469,1.1245738,323.1,1.5721282,0.11617721,0.27179158,1425984796
,ServiceLog,User1,1425984817427,Raw,0.3968248,4.3075924,8.875194,294.4129,-26.990137,1.2477279,56.600006,-0.15454857,0.14282346,-0.028778385,1425984796
,ServiceLog,User1,1425984818449,Raw,-0.06316864,4.3450146,8.649613,300.20587,-28.008741,0.73035806,95.100006,0.027712055,-0.035173167,0.054358315,1425984796
,ServiceLog,User1,1425984819478,Raw,0.58468413,5.674101,8.439001,295.29028,-28.416649,0.9493435,141.3,-0.6810787,0.026645726,-0.24301425,1425984796
,ServiceLog,User1,1425984820494,Raw,0.120200045,4.4411144,9.084608,288.33276,-27.74095,0.6498335,137.29999,0.13109916,-0.039436888,0.061818894,1425984796
