ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
1573,Люблино 3,User1,1435817900152,Raw,-0.12258313,2.4925237,10.392325,131.61224,-14.378467,-4.8033204,-72.479996,0.13805555,-0.013133603,0.005192355,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817901070,Raw,0.43585113,2.4789033,10.2152605,133.48024,-12.354978,-2.886883,-76.5,0.074830994,0.046120327,0.1853976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817902123,Raw,0.12258313,2.4380422,9.724928,131.72495,-12.787418,-0.7937848,-77.1,-0.016798794,0.062308256,0.043676864,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817903164,Raw,0.06810174,2.315459,10.010956,215.55063,-12.930697,0.002382686,33.0,-0.025045475,0.004581489,-0.09682214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817904233,Raw,0.027240695,2.4108016,10.119919,218.09328,-13.021993,0.2705641,38.1,0.03726278,-0.02076942,-0.0852157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817905395,Raw,0.05448139,2.669588,9.861132,215.73618,-14.532385,0.59585863,31.8,-0.0009162979,-0.009468411,-0.027488936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817906419,Raw,-0.5720546,2.4108016,9.602345,218.61378,-13.494621,-2.2556558,44.34,0.08827003,0.10140363,-0.006414085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817907520,Raw,-0.61291564,2.3563201,9.602345,222.99225,-14.608476,-3.7049427,48.539997,0.025961773,0.100792766,-0.26939157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817908551,Raw,-0.6946377,1.8387469,9.765789,220.46877,-13.1413,-2.2106237,42.96,-0.005192355,-0.07971791,-0.029321533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
,ServiceLog,User1,1435817909604,Raw,-0.38136974,2.4925237,9.929234,219.18837,-13.741298,-2.4196477,44.7,0.012217305,-0.07849618,-0.0290161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1435817900
