ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
22,Moskovskaya 2,anisnn,1436184774130,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184774905,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184775920,3G,HSPAP,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184776951,3G,HSPAP,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184777962,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436184631
,ServiceLog,anisnn,1436184779026,3G,HSPA,1,250,2,5241,111912,156,-79,1436184631
,ServiceLog,anisnn,1436184780075,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184781103,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184782115,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184782115,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184783152,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184783152,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184784170,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184784170,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184785204,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184785204,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184786219,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184786219,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184787277,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184787277,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184788293,3G,HSPA,1,250,2,5241,111912,156,-79,1436184631
,ServiceLog,anisnn,1436184788293,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184789330,3G,HSPA,1,250,2,5241,111912,156,-79,1436184631
,ServiceLog,anisnn,1436184789330,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184790350,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184790350,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184791384,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
,ServiceLog,anisnn,1436184791384,3G,HSPA,250-2-5241-111912,-1,-1,-1,-1,156,-79,1436184631
,ServiceLog,anisnn,1436184792399,3G,HSPA,1,250,2,5241,111912,156,-87,1436184631
