ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
33,Chkalovskaya 3,anisnn,1436181784899,2G,EDGE,1,250,2,5241,1334,-1,-63
,ServiceLog,anisnn,1436181785820,2G,EDGE,1,250,2,5241,1334,-1,-75
,ServiceLog,anisnn,1436181786854,2G,EDGE,1,250,2,5241,1334,-1,-75
,ServiceLog,anisnn,1436181787863,2G,EDGE,1,250,2,5241,1334,-1,-71
,ServiceLog,anisnn,1436181788897,2G,EDGE,1,250,2,5241,1334,-1,-71
,ServiceLog,anisnn,1436181789954,2G,EDGE,1,250,2,5241,1334,-1,-63
,ServiceLog,anisnn,1436181790983,2G,EDGE,1,250,2,5241,1334,-1,-63
,ServiceLog,anisnn,1436181792008,2G,EDGE,1,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181793032,2G,EDGE,1,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181795053,2G,EDGE,1,250,2,5241,-1,-1,-91
,ServiceLog,anisnn,1436181796263,3G,HSPA,1,250,2,5241,111253,5,-91
,ServiceLog,anisnn,1436181797305,3G,HSPA,1,250,2,5241,111253,5,-87
,ServiceLog,anisnn,1436181798340,3G,HSPA,1,250,2,5241,111253,5,-87
,ServiceLog,anisnn,1436181799356,3G,HSPA,1,250,2,5241,111253,5,-71
34,Chkalovskaya 4,anisnn,1436181799371,3G,HSPA,1,250,2,5241,111253,5,-71
,ServiceLog,anisnn,1436181800381,3G,HSPA,1,250,2,5241,111253,5,-71
,ServiceLog,anisnn,1436181801400,3G,HSPA,1,250,2,5241,111253,5,-71
,ServiceLog,anisnn,1436181802431,3G,HSPA,1,250,2,5241,111253,5,-71
,ServiceLog,anisnn,1436181803448,3G,HSPA,1,250,2,5241,111253,5,-77
,ServiceLog,anisnn,1436181804504,3G,HSPA,1,250,2,5241,111253,5,-77
,ServiceLog,anisnn,1436181805519,3G,HSPA,1,250,2,5241,111253,5,-89
,ServiceLog,anisnn,1436181806549,3G,HSPA,1,250,2,5241,111253,5,-89
,ServiceLog,anisnn,1436181807562,3G,HSPA,1,250,2,5241,111253,5,-89
,ServiceLog,anisnn,1436181808594,3G,HSPA,1,250,2,5241,111253,5,-89
,ServiceLog,anisnn,1436181809652,3G,HSPA,1,250,2,5241,111253,5,-103
,ServiceLog,anisnn,1436181810683,3G,HSPA,1,250,2,5241,111253,5,-103
,ServiceLog,anisnn,1436181811700,3G,HSPA,1,250,2,5241,111253,5,-97
,ServiceLog,anisnn,1436181812729,3G,HSPA,1,250,2,5241,111253,5,-97
,ServiceLog,anisnn,1436181813746,3G,HSPA,1,250,2,5241,111253,5,-95
,ServiceLog,anisnn,1436181814793,3G,HSPA,1,250,2,5241,111253,5,-95
,ServiceLog,anisnn,1436181815802,3G,HSPA,1,250,2,5241,111253,5,-95
,ServiceLog,anisnn,1436181816857,3G,HSPA,1,250,2,5241,111253,5,-95
,ServiceLog,anisnn,1436181817870,3G,HSPA,1,250,2,5241,111253,5,-99
,ServiceLog,anisnn,1436181818920,3G,HSPA,1,250,2,5241,111253,5,-99
,ServiceLog,anisnn,1436181819980,3G,HSPA,1,250,2,5241,111253,5,-105
,ServiceLog,anisnn,1436181821031,3G,HSPA,1,250,2,5241,111253,5,-105
,ServiceLog,anisnn,1436181822053,3G,HSPA,1,250,2,5241,111253,5,-105
,ServiceLog,anisnn,1436181823099,3G,HSPA,1,250,2,5241,111253,5,-105
,ServiceLog,anisnn,1436181824120,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181825175,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181826196,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181827235,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181828248,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181829286,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181830305,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181831334,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181832345,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181833381,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181834396,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181835451,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181836503,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181837552,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181838565,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181838565,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181838565,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181838565,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-111
,ServiceLog,anisnn,1436181839601,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181839601,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181839601,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181839601,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-111
,ServiceLog,anisnn,1436181840616,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181840616,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181840616,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181840616,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-111
,ServiceLog,anisnn,1436181841650,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181841650,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181841650,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-111
,ServiceLog,anisnn,1436181841650,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181842663,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181842663,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181842663,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181842663,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181843704,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181843704,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181843704,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181843704,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181844723,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181844723,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181844723,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181844723,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181845761,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181845761,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181845761,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181845761,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181846782,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181846782,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181846782,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181846782,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-107
,ServiceLog,anisnn,1436181847825,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181847825,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-107
,ServiceLog,anisnn,1436181847825,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181847825,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181848848,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181848848,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181848848,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-107
,ServiceLog,anisnn,1436181848848,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181849887,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181849887,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-105
,ServiceLog,anisnn,1436181849887,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-107
,ServiceLog,anisnn,1436181849887,3G,HSPA,250-2-5241-111253,-1,-1,-1,-1,-1,-113
,ServiceLog,anisnn,1436181850916,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181851969,3G,HSPA,1,250,2,5241,111253,5,-113
,ServiceLog,anisnn,1436181852985,3G,HSPA,1,250,2,5241,1335,5,-113
,ServiceLog,anisnn,1436181854055,3G,HSPA,1,250,2,5241,1335,5,-113
,ServiceLog,anisnn,1436181855197,2G,EDGE,1,250,2,5242,1335,-1,-63
,ServiceLog,anisnn,1436181856249,2G,EDGE,1,250,2,5242,1335,-1,-63
,ServiceLog,anisnn,1436181857299,2G,EDGE,1,-1,-1,-1,-1,-1,-97
,ServiceLog,anisnn,1436181858339,2G,EDGE,1,-1,-1,-1,-1,-1,-97
,ServiceLog,anisnn,1436181859357,2G,EDGE,1,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181860393,2G,EDGE,1,-1,-1,-1,-1,-1,-101
,ServiceLog,anisnn,1436181861411,2G,EDGE,1,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181862444,2G,EDGE,1,-1,-1,-1,-1,-1,-99
,ServiceLog,anisnn,1436181863461,2G,EDGE,1,-1,-1,-1,-1,-1,-93
,ServiceLog,anisnn,1436181864497,2G,EDGE,1,-1,-1,-1,-1,-1,-93
,ServiceLog,anisnn,1436181865548,2G,EDGE,1,-1,-1,-1,-1,-1,-87
