ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
93,Komsomolskaya 3,anisnn,1436182511853,3G,HSPA,1,250,2,5242,1356439,195,-81,1436182511
,ServiceLog,anisnn,1436182511954,3G,HSPA,1,250,2,5242,1356439,195,-81,1436182511
,ServiceLog,anisnn,1436182512966,3G,HSPA,1,250,2,5242,1356439,195,-91,1436182511
,ServiceLog,anisnn,1436182514005,3G,HSPA,1,250,2,5242,1356439,195,-91,1436182511
,ServiceLog,anisnn,1436182515017,3G,HSPA,1,250,2,5242,1356439,195,-95,1436182511
,ServiceLog,anisnn,1436182516057,3G,HSPA,1,250,2,5242,1356439,195,-95,1436182511
,ServiceLog,anisnn,1436182517066,3G,HSPA,1,250,2,5242,1356439,195,-95,1436182511
,ServiceLog,anisnn,1436182518099,3G,HSPA,1,250,2,5242,1356439,195,-95,1436182511
,ServiceLog,anisnn,1436182519146,3G,HSPA,1,250,2,5242,1356439,195,-89,1436182511
,ServiceLog,anisnn,1436182520181,3G,HSPA,1,250,2,5242,1356439,195,-89,1436182511
,ServiceLog,anisnn,1436182521198,3G,HSPA,1,250,2,5242,1356439,195,-93,1436182511
,ServiceLog,anisnn,1436182522237,3G,HSPA,1,250,2,5242,1356439,195,-93,1436182511
,ServiceLog,anisnn,1436182523249,3G,HSPA,1,250,2,5242,1356439,195,-93,1436182511
,ServiceLog,anisnn,1436182524280,3G,HSPA,1,250,2,5242,1356439,195,-93,1436182511
94,Komsomolskaya 4,anisnn,1436182524467,3G,HSPA,1,250,2,5242,1356439,195,-93,1436182511
,ServiceLog,anisnn,1436182525289,3G,HSPA,1,250,2,5242,1356439,195,-79,1436182511
,ServiceLog,anisnn,1436182526321,3G,HSPA,1,250,2,5242,1356439,195,-79,1436182511
,ServiceLog,anisnn,1436182527338,3G,HSPA,1,250,2,5242,1356439,195,-73,1436182511
,ServiceLog,anisnn,1436182528371,3G,HSPA,1,250,2,5242,1356439,195,-73,1436182511
,ServiceLog,anisnn,1436182529386,3G,HSPA,1,250,2,5242,1356439,195,-73,1436182511
,ServiceLog,anisnn,1436182530415,3G,HSPA,1,250,2,5242,1356439,195,-73,1436182511
,ServiceLog,anisnn,1436182531426,3G,HSPA,1,250,2,5242,1356439,195,-89,1436182511
,ServiceLog,anisnn,1436182532459,3G,HSPA,1,250,2,5242,1356439,195,-89,1436182511
,ServiceLog,anisnn,1436182533475,3G,HSPA,1,250,2,5242,1356439,195,-107,1436182511
,ServiceLog,anisnn,1436182534534,3G,HSPA,1,250,2,5242,1356439,195,-107,1436182511
,ServiceLog,anisnn,1436182535551,3G,HSPA,1,250,2,5242,1356439,195,-107,1436182511
,ServiceLog,anisnn,1436182536607,3G,HSPA,1,250,2,5242,1356439,195,-107,1436182511
,ServiceLog,anisnn,1436182537619,3G,HSPA,1,250,2,5242,1356439,195,-109,1436182511
,ServiceLog,anisnn,1436182538691,3G,HSPA,1,250,2,5242,1356439,195,-109,1436182511
,ServiceLog,anisnn,1436182539716,3G,HSPA,1,250,2,5242,1356439,195,-103,1436182511
,ServiceLog,anisnn,1436182540752,3G,HSPA,1,250,2,5242,1356439,195,-103,1436182511
,ServiceLog,anisnn,1436182541768,3G,HSPA,1,250,2,5242,1356439,195,-103,1436182511
,ServiceLog,anisnn,1436182542799,3G,HSPA,1,250,2,5242,1356439,195,-103,1436182511
,ServiceLog,anisnn,1436182543823,3G,HSPA,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182543823,3G,HSPA,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182544860,3G,HSPA,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182544860,3G,HSPA,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182545879,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182545879,3G,HSPAP,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182546909,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182546909,3G,HSPAP,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182547926,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182547926,3G,HSPAP,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182548961,3G,HSPA,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182548961,3G,HSPA,250-2-5242-1356439,-1,-1,-1,-1,291,-113,1436182511
,ServiceLog,anisnn,1436182549977,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182551013,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182552032,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182552032,3G,HSPAP,250-2-5242-1356439,-1,-1,-1,-1,291,-105,1436182511
,ServiceLog,anisnn,1436182553067,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182553067,3G,HSPAP,250-2-5242-1356439,-1,-1,-1,-1,291,-105,1436182511
,ServiceLog,anisnn,1436182554086,3G,HSPAP,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182555130,3G,HSPA,1,250,2,5242,1356439,195,-113,1436182511
,ServiceLog,anisnn,1436182556142,3G,HSPA,1,250,2,5243,1356444,291,-113,1436182511
,ServiceLog,anisnn,1436182557175,3G,HSPAP,1,250,2,5243,1356444,291,-113,1436182511
,ServiceLog,anisnn,1436182558188,3G,HSPAP,-1--1--1--1,-1,-1,-1,-1,195,-97,1436182511
,ServiceLog,anisnn,1436182558188,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436182511
,ServiceLog,anisnn,1436182559220,3G,HSPAP,-1--1--1--1,-1,-1,-1,-1,195,-97,1436182511
,ServiceLog,anisnn,1436182559220,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436182511
,ServiceLog,anisnn,1436182560243,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436182511
,ServiceLog,anisnn,1436182561309,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436182511
,ServiceLog,anisnn,1436182562355,unknown,unknown,1,-1,-1,-1,-1,-1,-1,1436182511
,ServiceLog,anisnn,1436182563414,3G,HSPA,1,250,2,5242,1361815,291,-99,1436182511
,ServiceLog,anisnn,1436182564462,3G,HSPA,1,250,2,5243,1361815,291,-113,1436182511
,ServiceLog,anisnn,1436182565492,3G,HSPA,1,250,2,5243,1361815,291,-113,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,1,250,2,5243,1361815,291,-91,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-63,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-83,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-83,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-89,1436182511
,ServiceLog,anisnn,1436182566502,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-89,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,1,250,2,5243,1361815,291,-91,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-63,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-83,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-83,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
,ServiceLog,anisnn,1436182567580,3G,HSPA,250-2-5243-1361815,-1,-1,-1,-1,-1,-87,1436182511
