ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
83,Avtozavodskaya 3,anisnn,1436184011159,Linear,0.0,0.0,0.0,86.0025,-26.987192,1.7688557,-7.7625694,0.069870695,-0.09760379,-0.11059229,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184011579,Linear,0.0,0.0,0.0,108.07327,-26.33392,1.6978973,-4.9534354,0.0038242992,0.008922655,-0.05519854,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184012593,Linear,0.0,0.0,0.0,157.52686,-25.959578,-3.4346633,7.141354,-0.031329427,0.07070799,-0.09887465,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184013625,Linear,0.0,0.0,0.0,182.0381,-26.84105,-3.0170424,6.7270885,-0.0036370791,-0.025157817,-0.002994192,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184014633,Linear,0.0,0.0,0.0,190.51364,-27.429,-2.732864,4.986357,-0.015354988,0.014256966,0.015115303,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184015680,Linear,0.0,0.0,0.0,191.97026,-27.357931,-2.4453902,4.1704216,-0.006828345,0.03129321,-0.01258823,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184016701,Linear,0.0,0.0,0.0,184.70586,-27.722012,0.8365864,2.8130028,-0.020686103,0.018526014,-0.05518549,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184017742,Linear,0.0,0.0,0.0,185.56241,-26.931662,0.17575818,3.7370396,-0.07288406,-0.002779275,-0.025358086,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184018762,Linear,0.0,0.0,0.0,187.70433,-27.796919,0.039812163,2.7613354,-0.03027801,-0.014489461,-0.033873543,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
84,Avtozavodskaya 4,anisnn,1436184019749,Linear,0.0,0.0,0.0,189.98788,-27.07895,1.0652546,4.9177346,-0.042010035,-0.08051215,-0.051963333,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184019804,Linear,0.0,0.0,0.0,189.98788,-27.07895,1.0652546,4.9177346,-0.042010035,-0.08051215,-0.051963333,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184020823,Linear,0.0,0.0,0.0,197.55186,-28.603077,0.27073124,6.1632233,0.18914755,-0.38303927,-0.30762014,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184021862,Linear,0.0,0.0,0.0,204.5771,-40.606636,0.04884221,0.9907376,0.15825967,0.11762703,-0.20110035,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184022887,Linear,0.0,0.0,0.0,172.87708,-40.74301,-2.579296,2.911013,0.31909597,0.10061449,-0.17018105,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184023935,Linear,0.0,0.0,0.0,165.8881,-38.085613,-7.4000506,4.3486075,-0.29662687,0.22525042,0.11637508,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184024959,Linear,0.0,0.0,0.0,161.68196,-30.70698,-8.408782,8.164863,0.27221954,-0.36596334,-0.023168169,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184025995,Linear,0.0,0.0,0.0,151.84232,-28.70191,-10.730051,9.474127,-0.1432336,0.2827827,-0.006123939,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184027035,Linear,0.0,0.0,0.0,147.1698,-25.219376,-9.629613,-2.4076924,0.029339246,-0.15717152,0.036486637,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184028067,Linear,0.0,0.0,0.0,133.02527,-23.652641,-8.697773,6.2063875,-0.051606733,-0.06664774,-0.08177742,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184029077,Linear,0.0,0.0,0.0,134.6375,-25.671675,-8.568424,3.2445402,0.057040915,-0.17848478,-0.07643805,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184030122,Linear,0.0,0.0,0.0,142.53386,-25.932682,-7.964028,1.2667624,-0.018574217,-0.034705516,0.040714674,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184031130,Linear,0.0,0.0,0.0,125.01304,-26.819479,-9.403178,-4.6879725,-0.0015579492,-0.06555078,0.06419017,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184032152,Linear,0.0,0.0,0.0,100.52254,-33.400845,-3.2808485,-15.575358,0.17954633,-0.47995436,0.088677935,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184033165,Linear,0.0,0.0,0.0,78.41524,-32.661865,3.550314,-30.266926,0.042122684,0.09849195,-0.11158512,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184034215,Linear,0.0,0.0,0.0,45.324276,-28.214457,-5.588534,-21.530256,-0.05482117,-0.014418088,-0.18188591,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184035278,Linear,0.0,0.0,0.0,37.357807,-32.4934,-3.6529837,-16.177204,-0.22206768,-0.01761388,-0.1371448,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184036315,Linear,0.0,0.0,0.0,48.75224,-34.13527,-3.5305007,-16.437647,-0.035655733,-0.050621364,-0.032735843,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436184037331,Linear,0.0,0.0,0.0,54.249866,-31.62396,-3.8990388,-10.949436,0.026120285,0.06124738,0.04823757,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
