ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
103,Kirovskaya 3,anisnn,1436183842002,Linear,0.0,0.0,0.0,354.76846,-40.17887,-5.1742163,-13.162508,0.03414705,-0.08885583,-0.06974659,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183842564,Linear,0.0,0.0,0.0,354.96295,-39.413708,-5.7048645,-9.276553,-0.10860318,0.09970369,-0.029259885,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183843593,Linear,0.0,0.0,0.0,357.12445,-36.79661,-4.7083006,-2.2362697,-0.03936099,0.08159446,0.0016325178,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183844652,Linear,0.0,0.0,0.0,359.45596,-36.5535,-4.3699355,-0.7078671,-0.06283435,0.01987224,-0.07714406,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183845665,Linear,0.0,0.0,0.0,1.4413854,-36.625862,-3.7343094,-2.6264234,-0.0031981901,-0.004597149,-0.036637373,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183846701,Linear,0.0,0.0,0.0,3.549573,-37.576763,-4.6438413,-3.4757073,-0.02454103,-0.017317206,-0.044041492,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183847710,Linear,0.0,0.0,0.0,5.328773,-37.297813,-5.078209,-2.0042062,-4.447479e-05,-0.056724,-0.030186398,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183848756,Linear,0.0,0.0,0.0,7.875942,-37.671455,-5.256368,-2.4597516,0.00950056,0.024307204,-0.018408835,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183849788,Linear,0.0,0.0,0.0,9.860321,-37.57531,-3.0828123,-4.109915,-0.004390221,0.030769896,-0.013023124,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183850815,Linear,0.0,0.0,0.0,12.044412,-38.19058,-4.3235497,-1.5415138,0.00087990845,0.06069211,-0.029987726,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183851828,Linear,0.0,0.0,0.0,14.729614,-36.527523,-4.107743,-4.2931447,-0.008716793,-0.046883885,-0.060867347,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
104,Kirovskaya 4,anisnn,1436183852226,Linear,0.0,0.0,0.0,16.102316,-36.45361,-3.8861058,-4.1175137,-0.037516482,-0.053212088,-0.08851122,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
,ServiceLog,anisnn,1436183852866,Linear,0.0,0.0,0.0,17.209045,-35.944904,-3.9063113,-6.8069243,-0.05562598,0.02348695,-0.062944874,56.33754948,43.91637278,82.0,49.0,0.0,-1.0,1436183842
