ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
132,Burnakovskaya 2,anisnn,1436185100701,Linear,0.0,0.0,0.0,163.42137,-25.372011,-5.075773,-22.201328,0.055170845,-0.16751789,-0.019744143,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185101485,Linear,0.0,0.0,0.0,162.80075,-24.777285,-6.234337,-24.565813,-0.014075872,0.061521683,0.03246047,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185102513,Linear,0.0,0.0,0.0,162.70839,-25.601044,-6.5973907,-23.40307,0.07114981,0.056187637,-0.03785364,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185103535,Linear,0.0,0.0,0.0,161.82452,-25.33027,-8.046599,-22.348513,-0.10675388,0.032759544,-0.015476694,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185104563,Linear,0.0,0.0,0.0,161.56477,-24.98327,-7.4493995,-23.34183,-0.026868366,0.007209177,0.009037703,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185105573,Linear,0.0,0.0,0.0,161.92305,-24.846558,-7.9700947,-22.416193,0.005089567,-0.019422434,-0.023985494,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185106601,Linear,0.0,0.0,0.0,162.14139,-24.403294,-7.7282705,-22.848438,0.00402883,-0.014104101,-0.019731093,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185107611,Linear,0.0,0.0,0.0,162.18874,-24.479126,-7.887434,-21.447638,0.011490474,-0.025829732,-0.002693521,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185108679,Linear,0.0,0.0,0.0,161.97333,-24.44222,-7.767239,-22.285534,-0.008763664,-0.013022858,0.0026527748,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185109696,Linear,0.0,0.0,0.0,162.07765,-24.294918,-7.6239996,-22.568111,-0.0045026066,-2.396845E-4,-0.0090651335,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185110756,Linear,0.0,0.0,0.0,162.23738,-23.978714,-7.235095,-23.57808,-0.0066331355,-0.0076965354,-0.0090651335,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
,ServiceLog,anisnn,1436185111778,Linear,0.0,0.0,0.0,163.07422,-24.113811,-6.119126,-23.262964,0.013606889,-0.101439804,-0.01758725,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
133,Burnakovskaya 3,anisnn,1436185111836,Linear,0.0,0.0,0.0,163.07422,-24.113811,-6.119126,-24.07278,0.013606889,-0.101439804,-0.01758725,56.33754948,43.91637278,82.0,49.0,0.0,-1.0
