ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
172,Площадь Мужества 2,natalie,1445579586173,23.10.2015 8:53:06,2G,GPRS,250-2-7803-22557,-1,-1,7803,2845,-1,-51,103961951,1445579429
172,Площадь Мужества 2,natalie,1445579586173,23.10.2015 8:53:06,2G,GPRS,1,250,2,7803,22557,-1,-53,103961951,1445579429
,ServiceLog,natalie,1445579587069,23.10.2015 8:53:07,2G,GPRS,1,250,2,7803,22557,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579587069,23.10.2015 8:53:07,2G,GPRS,250-2-7803-22557,-1,-1,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579588095,23.10.2015 8:53:08,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579588095,23.10.2015 8:53:08,2G,GPRS,250-2-7803-2845,-1,-1,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579589116,23.10.2015 8:53:09,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579589116,23.10.2015 8:53:09,2G,GPRS,250-2-7803-2845,-1,-1,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579590135,23.10.2015 8:53:10,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579590135,23.10.2015 8:53:10,2G,GPRS,250-2-7803-2845,-1,-1,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579591157,23.10.2015 8:53:11,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579591157,23.10.2015 8:53:11,2G,GPRS,250-2-7803-2845,-1,-1,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579592179,23.10.2015 8:53:12,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579593193,23.10.2015 8:53:13,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579594210,23.10.2015 8:53:14,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579595230,23.10.2015 8:53:15,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579596260,23.10.2015 8:53:16,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579597279,23.10.2015 8:53:17,2G,GPRS,1,250,2,7803,2845,-1,-59,103961951,1445579429
,ServiceLog,natalie,1445579597279,23.10.2015 8:53:17,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-69,103961951,1445579429
,ServiceLog,natalie,1445579597279,23.10.2015 8:53:17,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
,ServiceLog,natalie,1445579598308,23.10.2015 8:53:18,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579598308,23.10.2015 8:53:18,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-69,103961951,1445579429
