Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,14033,22 Окт 2015 г. 15:46:36,303,7803,250,2,Технологический институт (син) 3,2G,EDGE,-1,-73,1445517996906, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:37,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445517997557, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:38,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445517998583, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:39,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445517999619, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:40,,7803,250,2,ServiceLog,2G,EDGE,-1,-75,1445518000640, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:41,,7803,250,2,ServiceLog,2G,EDGE,-1,-75,1445518001668, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:42,,7803,250,2,ServiceLog,2G,EDGE,-1,-75,1445518002697, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:43,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518003731, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:44,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518004763, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:45,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518005794, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:45,304,7803,250,2,Технологический институт (син) 4,2G,EDGE,-1,-73,1445518005858, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:46,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518006825, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:47,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518007855, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:48,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518008874, julia,1445517994,552491703
1,14033,22 Окт 2015 г. 15:46:49,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445518009906, julia,1445517994,552491703
