ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
302,Технологический институт (син) 2,Stanislav,1427973221456,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
302,Технологический институт (син) 2,Stanislav,1427973221456,3G,HSPA,1,250,1,100,65569618,497,-85,1427973118
,ServiceLog,Stanislav,1427973221797,3G,HSPA,1,250,1,100,65569618,497,-85,1427973118
,ServiceLog,Stanislav,1427973221797,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973222807,3G,HSPA,1,250,1,100,65569618,497,-85,1427973118
,ServiceLog,Stanislav,1427973222807,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973223825,3G,HSPA,1,250,1,100,65569618,497,-85,1427973118
,ServiceLog,Stanislav,1427973223825,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973224839,3G,HSPA,1,250,1,100,65569618,497,-79,1427973118
,ServiceLog,Stanislav,1427973224839,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-79,1427973118
,ServiceLog,Stanislav,1427973225876,3G,HSPA,1,250,1,100,65569618,497,-79,1427973118
,ServiceLog,Stanislav,1427973225876,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-79,1427973118
,ServiceLog,Stanislav,1427973226910,3G,HSPA,1,250,1,100,65569618,497,-89,1427973118
,ServiceLog,Stanislav,1427973226910,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
,ServiceLog,Stanislav,1427973227936,3G,HSPA,1,250,1,100,65569618,497,-89,1427973118
,ServiceLog,Stanislav,1427973227936,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
,ServiceLog,Stanislav,1427973228973,3G,HSPA,1,250,1,100,65569618,497,-89,1427973118
,ServiceLog,Stanislav,1427973228973,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
,ServiceLog,Stanislav,1427973230145,3G,HSPA,1,250,1,100,65569618,497,-89,1427973118
,ServiceLog,Stanislav,1427973230145,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
,ServiceLog,Stanislav,1427973231167,3G,HSPA,1,250,1,100,65569618,497,-79,1427973118
,ServiceLog,Stanislav,1427973231167,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973232194,3G,HSPA,1,250,1,100,65569618,497,-79,1427973118
,ServiceLog,Stanislav,1427973232194,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973233212,3G,HSPA,1,250,1,100,65569618,497,-83,1427973118
,ServiceLog,Stanislav,1427973233212,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973234237,3G,HSPA,1,250,1,100,65569618,497,-83,1427973118
,ServiceLog,Stanislav,1427973234237,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973235257,3G,HSPA,1,250,1,100,65569618,497,-83,1427973118
,ServiceLog,Stanislav,1427973235257,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973236293,3G,HSPA,1,250,1,100,65569618,497,-83,1427973118
,ServiceLog,Stanislav,1427973236293,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-83,1427973118
,ServiceLog,Stanislav,1427973237321,3G,HSPA,1,250,1,100,65569618,497,-87,1427973118
,ServiceLog,Stanislav,1427973237321,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
,ServiceLog,Stanislav,1427973238354,3G,HSPA,1,250,1,100,65569618,497,-87,1427973118
,ServiceLog,Stanislav,1427973238354,3G,HSPA,250-1-100-65569618,-1,-1,-1,-1,497,-85,1427973118
