ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
313,Сенная площадь 3,Stanislav,1427367361993,3G,HSPA,1,250,1,100,65539908,503,-103,1427367361
313,Сенная площадь 3,Stanislav,1427367361993,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-95,1427367361
,ServiceLog,Stanislav,1427367362100,3G,HSPA,1,250,1,100,65539908,503,-103,1427367361
,ServiceLog,Stanislav,1427367362100,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-95,1427367361
,ServiceLog,Stanislav,1427367363122,3G,HSPA,1,250,1,100,65539908,503,-95,1427367361
,ServiceLog,Stanislav,1427367363122,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-93,1427367361
,ServiceLog,Stanislav,1427367364136,3G,HSPA,1,250,1,100,65539908,503,-95,1427367361
,ServiceLog,Stanislav,1427367364136,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-93,1427367361
,ServiceLog,Stanislav,1427367365148,3G,HSPA,1,250,1,100,65539908,503,-93,1427367361
,ServiceLog,Stanislav,1427367365148,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367366163,3G,HSPA,1,250,1,100,65539908,503,-93,1427367361
,ServiceLog,Stanislav,1427367366163,3G,HSPA,250-1-100-65539908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367367213,3G,HSPA,1,250,1,100,65569908,503,-93,1427367361
,ServiceLog,Stanislav,1427367367213,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367368247,3G,HSPA,1,250,1,100,65569908,503,-93,1427367361
,ServiceLog,Stanislav,1427367368247,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367369274,3G,HSPA,1,250,1,100,65569908,503,-105,1427367361
,ServiceLog,Stanislav,1427367369274,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367370301,3G,HSPA,1,250,1,100,65569908,503,-105,1427367361
,ServiceLog,Stanislav,1427367370301,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-99,1427367361
,ServiceLog,Stanislav,1427367371314,3G,HSPA,1,250,1,100,65569908,503,-95,1427367361
,ServiceLog,Stanislav,1427367371314,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-97,1427367361
314,Сенная площадь 4,Stanislav,1427367371631,3G,HSPA,1,250,1,100,65569908,503,-95,1427367361
314,Сенная площадь 4,Stanislav,1427367371631,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-97,1427367361
,ServiceLog,Stanislav,1427367372334,3G,HSPA,1,250,1,100,65569908,503,-95,1427367361
,ServiceLog,Stanislav,1427367372334,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-97,1427367361
,ServiceLog,Stanislav,1427367373344,3G,HSPA,1,250,1,100,65569908,503,-95,1427367361
,ServiceLog,Stanislav,1427367373344,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-97,1427367361
,ServiceLog,Stanislav,1427367374361,3G,HSPA,1,250,1,100,65569908,503,-95,1427367361
,ServiceLog,Stanislav,1427367374361,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-97,1427367361
,ServiceLog,Stanislav,1427367375375,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367375375,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367376392,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367376392,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367377399,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367377399,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367378463,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367378463,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367379472,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367379472,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367380490,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367380490,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367381520,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
,ServiceLog,Stanislav,1427367381520,3G,HSPA,250-1-100-65569908,-1,-1,-1,-1,503,-113,1427367361
,ServiceLog,Stanislav,1427367382546,3G,HSPA,1,250,1,100,65569908,503,-113,1427367361
