ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
492,Гостиный двор 2,natalie,1445533422137,22.10.2015 20:03:42,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-111,369760759,1445533055
492,Гостиный двор 2,natalie,1445533422137,22.10.2015 20:03:42,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
492,Гостиный двор 2,natalie,1445533422137,22.10.2015 20:03:42,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533422597,22.10.2015 20:03:42,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533422597,22.10.2015 20:03:42,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533422597,22.10.2015 20:03:42,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-111,369760759,1445533055
,ServiceLog,natalie,1445533423622,22.10.2015 20:03:43,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533423622,22.10.2015 20:03:43,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533423622,22.10.2015 20:03:43,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-111,369760759,1445533055
,ServiceLog,natalie,1445533424642,22.10.2015 20:03:44,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533424642,22.10.2015 20:03:44,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533424642,22.10.2015 20:03:44,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-111,369760759,1445533055
,ServiceLog,natalie,1445533425672,22.10.2015 20:03:45,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533425672,22.10.2015 20:03:45,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533425672,22.10.2015 20:03:45,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-107,369760759,1445533055
,ServiceLog,natalie,1445533426693,22.10.2015 20:03:46,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533426693,22.10.2015 20:03:46,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533426693,22.10.2015 20:03:46,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-107,369760759,1445533055
,ServiceLog,natalie,1445533427720,22.10.2015 20:03:47,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533427720,22.10.2015 20:03:47,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533427720,22.10.2015 20:03:47,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-107,369760759,1445533055
,ServiceLog,natalie,1445533428742,22.10.2015 20:03:48,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533428742,22.10.2015 20:03:48,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533428742,22.10.2015 20:03:48,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-105,369760759,1445533055
,ServiceLog,natalie,1445533429769,22.10.2015 20:03:49,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533429769,22.10.2015 20:03:49,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533429769,22.10.2015 20:03:49,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-105,369760759,1445533055
,ServiceLog,natalie,1445533430784,22.10.2015 20:03:50,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533430784,22.10.2015 20:03:50,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533430784,22.10.2015 20:03:50,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-105,369760759,1445533055
,ServiceLog,natalie,1445533431809,22.10.2015 20:03:51,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533431809,22.10.2015 20:03:51,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533431809,22.10.2015 20:03:51,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-105,369760759,1445533055
,ServiceLog,natalie,1445533432830,22.10.2015 20:03:52,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533432830,22.10.2015 20:03:52,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533432830,22.10.2015 20:03:52,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533433854,22.10.2015 20:03:53,2G,GPRS,1,250,2,7803,15413,-1,-63,369760759,1445533055
,ServiceLog,natalie,1445533433854,22.10.2015 20:03:53,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
