Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,3701,22 окт. 2015 г. 21:34:29,493,100,250,1,Гостиный двор 3,2G,EDGE,-1,-95,1445538869107,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:29,493,100,250,1,Гостиный двор 3,2G,EDGE,-1,-109,1445538869107,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:30,,100,250,1,ServiceLog,2G,EDGE,-1,-97,1445538870122,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:30,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538870122,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:31,,100,250,1,ServiceLog,2G,EDGE,-1,-97,1445538871218,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:31,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538871218,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:32,,100,250,1,ServiceLog,2G,EDGE,-1,-95,1445538872263,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:32,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538872263,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:33,,100,250,1,ServiceLog,2G,EDGE,-1,-95,1445538873784,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:33,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538873784,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:34,,100,250,1,ServiceLog,2G,EDGE,-1,-91,1445538874810,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:34,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538874810,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:35,,100,250,1,ServiceLog,2G,EDGE,-1,-91,1445538875823,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:35,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538875823,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:36,,100,250,1,ServiceLog,2G,EDGE,-1,-87,1445538876843,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:36,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538876843,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:37,,100,250,1,ServiceLog,2G,EDGE,-1,-87,1445538877864,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:37,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538877864,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:38,,100,250,1,ServiceLog,2G,EDGE,-1,-83,1445538878884,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:38,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538878884,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:39,,100,250,1,ServiceLog,2G,EDGE,-1,-83,1445538879901,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:39,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538879901,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:40,,100,250,1,ServiceLog,2G,EDGE,-1,-77,1445538880910,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:40,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538880910,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:41,,100,250,1,ServiceLog,2G,EDGE,-1,-77,1445538881930,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:41,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538881930,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:43,,100,250,1,ServiceLog,2G,EDGE,-1,-79,1445538883128,lena ,1445538869,119655405
250-1-100-3701,3702,22 окт. 2015 г. 21:34:43,,100,250,1,ServiceLog,2G,EDGE,-1,-109,1445538883128,lena ,1445538869,119655405
1,3701,22 окт. 2015 г. 21:34:43,494,100,250,1,Гостиный двор 4,2G,EDGE,-1,-79,1445538883690,lena ,1445538869,119655405
