ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
513,Василеостровская 3,alex,1417281084550,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281085074,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281086290,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281087536,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281088694,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281089831,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281091101,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281092468,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281093671,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281094871,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281096062,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281097295,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281098509,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281099778,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281100981,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281102112,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281103335,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281104554,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281105966,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281107177,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281108369,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281109563,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281110792,3G,HSDPA,1,250,2,7803,8291748,-1,-113
514,Василеостровская 4,alex,1417281111484,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281112022,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281113236,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281114381,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281115567,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281116815,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281118138,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281119309,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281120500,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281121722,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281122937,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281124137,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281125379,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281126583,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281127812,3G,HSDPA,1,250,2,7803,8291748,-1,-113
,ServiceLog,alex,1417281129048,3G,HSDPA,1,250,2,7803,8291749,-1,-113
,ServiceLog,alex,1417281130257,3G,HSDPA,1,250,2,7803,8291749,-1,-113
,ServiceLog,alex,1417281131518,3G,HSDPA,1,250,2,7803,8291749,-1,-113
,ServiceLog,alex,1417281132712,3G,HSDPA,1,250,2,7803,8291749,-1,-113
,ServiceLog,alex,1417281133952,3G,HSDPA,1,250,2,7803,8291749,-1,-113
,ServiceLog,alex,1417281135164,3G,HSDPA,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281136373,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281137592,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281138852,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281140069,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281141284,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281142517,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281143720,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281144964,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281146185,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281147400,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281148622,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281149840,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281151047,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281152214,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281153390,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281154636,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281155868,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281157062,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281158341,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281159676,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281160890,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281162102,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281163301,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281164528,2G,EDGE,1,250,2,7803,17501,-1,0
,ServiceLog,alex,1417281165711,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281166945,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281168160,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281169397,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281170619,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281172015,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281173291,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281174490,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281175741,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281176964,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281178143,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281179413,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281180622,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281181857,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281183085,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281184268,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281185488,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281186832,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281188040,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281189276,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281190501,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281191719,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281192951,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281194176,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281195350,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281196521,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281197717,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281198950,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281200388,2G,EDGE,1,250,2,7803,17500,-1,0
,ServiceLog,alex,1417281201618,2G,GPRS,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281202833,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281204070,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281205293,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281206514,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281207729,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281208957,3G,HSDPA,1,250,2,7803,8312380,-1,-113
,ServiceLog,alex,1417281210183,3G,HSDPA,1,250,2,7803,8312380,-1,-113
