ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
862,Обводный канал 2,Stanislav,1418224813541,3G,HSPA,1,250,1,100,65569597,507,-79
862,Обводный канал 2,Stanislav,1418224813541,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-89
862,Обводный канал 2,Stanislav,1418224813541,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-83
,ServiceLog,Stanislav,1418224813917,3G,HSPA,1,250,1,100,65569597,507,-71
,ServiceLog,Stanislav,1418224813917,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224813917,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-89
,ServiceLog,Stanislav,1418224814938,3G,HSPA,1,250,1,100,65569597,507,-71
,ServiceLog,Stanislav,1418224814938,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224814938,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-89
,ServiceLog,Stanislav,1418224815951,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-95
,ServiceLog,Stanislav,1418224815951,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224815951,3G,HSPA,1,250,1,100,65569597,507,-77
,ServiceLog,Stanislav,1418224816968,3G,HSPA,1,250,1,100,65569597,507,-77
,ServiceLog,Stanislav,1418224816968,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224816968,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-95
,ServiceLog,Stanislav,1418224817989,3G,HSPA,1,250,1,100,65569597,507,-77
,ServiceLog,Stanislav,1418224817989,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224817989,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-95
,ServiceLog,Stanislav,1418224819026,3G,HSPA,1,250,1,100,65569597,507,-77
,ServiceLog,Stanislav,1418224819026,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224819026,3G,HSPA,250-1-100-65569597,-1,-1,-1,-1,510,-95
,ServiceLog,Stanislav,1418224820046,3G,HSPA,1,250,1,100,65539597,507,-79
,ServiceLog,Stanislav,1418224820046,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-63
,ServiceLog,Stanislav,1418224821087,3G,HSPA,1,250,1,100,65539597,507,-79
,ServiceLog,Stanislav,1418224821087,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-63
,ServiceLog,Stanislav,1418224822121,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224822121,3G,HSPA,1,250,1,100,65539597,507,-67
,ServiceLog,Stanislav,1418224823167,3G,HSPA,1,250,1,100,65539597,507,-67
,ServiceLog,Stanislav,1418224823167,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224824186,3G,HSPA,1,250,1,100,65539597,507,-67
,ServiceLog,Stanislav,1418224824186,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224825225,3G,HSPA,1,250,1,100,65539597,507,-67
,ServiceLog,Stanislav,1418224825225,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-75
,ServiceLog,Stanislav,1418224826252,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-65
,ServiceLog,Stanislav,1418224826252,3G,HSPA,1,250,1,100,65539597,507,-69
,ServiceLog,Stanislav,1418224827302,3G,HSPA,1,250,1,100,65539597,507,-69
,ServiceLog,Stanislav,1418224827302,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-65
,ServiceLog,Stanislav,1418224828327,3G,HSPA,1,250,1,100,65539597,507,-75
,ServiceLog,Stanislav,1418224828327,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-81
,ServiceLog,Stanislav,1418224829356,3G,HSPA,1,250,1,100,65539597,507,-75
,ServiceLog,Stanislav,1418224829356,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-81
,ServiceLog,Stanislav,1418224830381,3G,HSPA,1,250,1,100,65539597,507,-75
,ServiceLog,Stanislav,1418224830381,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-81
,ServiceLog,Stanislav,1418224831423,3G,HSPA,1,250,1,100,65539597,507,-75
,ServiceLog,Stanislav,1418224831423,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-81
,ServiceLog,Stanislav,1418224832448,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-73
,ServiceLog,Stanislav,1418224832448,3G,HSPA,1,250,1,100,65539597,507,-69
,ServiceLog,Stanislav,1418224833482,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-73
,ServiceLog,Stanislav,1418224833482,3G,HSPA,1,250,1,100,65539597,507,-69
,ServiceLog,Stanislav,1418224834494,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-69
,ServiceLog,Stanislav,1418224834494,3G,HSPA,1,250,1,100,65539597,507,-75
863,Обводный канал 3,Stanislav,1418224835121,3G,HSPA,250-1-100-65539597,-1,-1,-1,-1,507,-69
863,Обводный канал 3,Stanislav,1418224835121,3G,HSPA,1,250,1,100,65539597,507,-75
