Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,14217,01.01.2013 3:29:34,883,7803,250,2,Садовая 3,2G,GPRS,-1,-57,1357000174811,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:34,883,7803,-1,-1,Садовая 3,2G,GPRS,-1,-77,1357000174811,gsmart,1445511516,691790069
250-2-7803-14217,14669,01.01.2013 3:29:34,883,7803,-1,-1,Садовая 3,2G,GPRS,-1,-105,1357000174811,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:35,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357000175728,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-77,1357000175728,gsmart,1445511516,691790069
250-2-7803-14217,14669,01.01.2013 3:29:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-105,1357000175728,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:36,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357000176772,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-77,1357000176772,gsmart,1445511516,691790069
250-2-7803-14217,14669,01.01.2013 3:29:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-105,1357000176772,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:37,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357000177825,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:37,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-77,1357000177825,gsmart,1445511516,691790069
250-2-7803-14217,14669,01.01.2013 3:29:37,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-105,1357000177825,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:38,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357000178862,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:38,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-77,1357000178862,gsmart,1445511516,691790069
250-2-7803-14217,14669,01.01.2013 3:29:38,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-105,1357000178862,gsmart,1445511516,691790069
