ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
883,Садовая 3,Stanislav,1418311197952,3G,HSPA,1,250,1,100,65569907,511,-79
883,Садовая 3,Stanislav,1418311197952,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-89
,ServiceLog,Stanislav,1418311198765,3G,HSPA,1,250,1,100,65569907,511,-79
,ServiceLog,Stanislav,1418311198765,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-89
,ServiceLog,Stanislav,1418311199776,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-91
,ServiceLog,Stanislav,1418311199776,3G,HSPA,1,250,1,100,65569907,511,-91
,ServiceLog,Stanislav,1418311200792,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-91
,ServiceLog,Stanislav,1418311200792,3G,HSPA,1,250,1,100,65569907,511,-91
,ServiceLog,Stanislav,1418311201800,3G,HSPA,1,250,1,100,65569907,511,-89
,ServiceLog,Stanislav,1418311201800,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-87
,ServiceLog,Stanislav,1418311202813,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-87
,ServiceLog,Stanislav,1418311202813,3G,HSPA,1,250,1,100,65569907,511,-89
,ServiceLog,Stanislav,1418311203826,3G,HSPA,1,250,1,100,65569907,511,-81
,ServiceLog,Stanislav,1418311203826,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
,ServiceLog,Stanislav,1418311204868,3G,HSPA,1,250,1,100,65569907,511,-81
,ServiceLog,Stanislav,1418311204868,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
,ServiceLog,Stanislav,1418311205885,3G,HSPA,1,250,1,100,65569907,511,-81
,ServiceLog,Stanislav,1418311205885,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
,ServiceLog,Stanislav,1418311206924,3G,HSPA,1,250,1,100,65569907,511,-81
,ServiceLog,Stanislav,1418311206924,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
,ServiceLog,Stanislav,1418311207947,3G,HSPA,1,250,1,100,65569907,511,-79
,ServiceLog,Stanislav,1418311207947,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
,ServiceLog,Stanislav,1418311208982,3G,HSPA,1,250,1,100,65569907,511,-79
,ServiceLog,Stanislav,1418311208982,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
884,Садовая 4,Stanislav,1418311209503,3G,HSPA,250-1-100-65569907,-1,-1,-1,-1,511,-79
