ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
912,Чкаловская 2, julia,1445599329148,23 Окт 2015 г. 14:22:09,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599329569,23 Окт 2015 г. 14:22:09,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599330598,23 Окт 2015 г. 14:22:10,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599331618,23 Окт 2015 г. 14:22:11,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599332645,23 Окт 2015 г. 14:22:12,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599333664,23 Окт 2015 г. 14:22:13,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599334689,23 Окт 2015 г. 14:22:14,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599335716,23 Окт 2015 г. 14:22:15,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599336734,23 Окт 2015 г. 14:22:16,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599337760,23 Окт 2015 г. 14:22:17,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599338781,23 Окт 2015 г. 14:22:18,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599339801,23 Окт 2015 г. 14:22:19,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599340819,23 Окт 2015 г. 14:22:20,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599341841,23 Окт 2015 г. 14:22:21,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599342860,23 Окт 2015 г. 14:22:22,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599343883,23 Окт 2015 г. 14:22:23,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599344902,23 Окт 2015 г. 14:22:24,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599345929,23 Окт 2015 г. 14:22:25,2G,EDGE,1,250,2,7803,17510,-1,-65,1445599242
,ServiceLog, julia,1445599346949,23 Окт 2015 г. 14:22:26,2G,EDGE,1,250,2,7803,17510,-1,-63,1445599242
,ServiceLog, julia,1445599347973,23 Окт 2015 г. 14:22:27,2G,EDGE,1,250,2,7803,17510,-1,-63,1445599242
,ServiceLog, julia,1445599349000,23 Окт 2015 г. 14:22:29,2G,EDGE,1,250,2,7803,17510,-1,-61,1445599242
,ServiceLog, julia,1445599350026,23 Окт 2015 г. 14:22:30,2G,EDGE,1,250,2,7803,17510,-1,-61,1445599242
,ServiceLog, julia,1445599351045,23 Окт 2015 г. 14:22:31,2G,EDGE,1,250,2,7803,17510,-1,-61,1445599242
,ServiceLog, julia,1445599352070,23 Окт 2015 г. 14:22:32,2G,EDGE,1,250,2,7803,17510,-1,-59,1445599242
,ServiceLog, julia,1445599353101,23 Окт 2015 г. 14:22:33,2G,EDGE,1,250,2,7803,17510,-1,-59,1445599242
,ServiceLog, julia,1445599354129,23 Окт 2015 г. 14:22:34,2G,EDGE,1,250,2,7803,17510,-1,-59,1445599242
913,Чкаловская 3, julia,1445599354871,23 Окт 2015 г. 14:22:34,2G,EDGE,1,250,2,7803,17510,-1,-59,1445599242
