ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
923,Крестовский остров 3, julia,1445599544044,23 Окт 2015 г. 14:25:44,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
,ServiceLog, julia,1445599544973,23 Окт 2015 г. 14:25:44,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
,ServiceLog, julia,1445599545997,23 Окт 2015 г. 14:25:45,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
,ServiceLog, julia,1445599547025,23 Окт 2015 г. 14:25:47,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
,ServiceLog, julia,1445599548051,23 Окт 2015 г. 14:25:48,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599549076,23 Окт 2015 г. 14:25:49,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599550102,23 Окт 2015 г. 14:25:50,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599551125,23 Окт 2015 г. 14:25:51,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599552150,23 Окт 2015 г. 14:25:52,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599553177,23 Окт 2015 г. 14:25:53,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599554207,23 Окт 2015 г. 14:25:54,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599555232,23 Окт 2015 г. 14:25:55,2G,EDGE,1,250,2,7803,17509,-1,-61,1445599544
,ServiceLog, julia,1445599556259,23 Окт 2015 г. 14:25:56,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
,ServiceLog, julia,1445599557286,23 Окт 2015 г. 14:25:57,2G,EDGE,1,250,2,7803,17509,-1,-59,1445599544
924,Крестовский остров 4, julia,1445599558301,23 Окт 2015 г. 14:25:58,2G,EDGE,1,250,2,7803,17509,-1,-57,1445599544
,ServiceLog, julia,1445599558312,23 Окт 2015 г. 14:25:58,2G,EDGE,1,250,2,7803,17509,-1,-57,1445599544
,ServiceLog, julia,1445599559339,23 Окт 2015 г. 14:25:59,2G,EDGE,1,250,2,7803,17509,-1,-57,1445599544
,ServiceLog, julia,1445599560374,23 Окт 2015 г. 14:26:00,2G,EDGE,1,250,2,7803,17509,-1,-57,1445599544
,ServiceLog, julia,1445599561407,23 Окт 2015 г. 14:26:01,2G,EDGE,1,250,2,7803,17509,-1,-57,1445599544
,ServiceLog, julia,1445599562442,23 Окт 2015 г. 14:26:02,2G,EDGE,1,250,2,7803,17509,-1,-55,1445599544
,ServiceLog, julia,1445599563467,23 Окт 2015 г. 14:26:03,2G,EDGE,1,250,2,7803,17509,-1,-55,1445599544
,ServiceLog, julia,1445599564492,23 Окт 2015 г. 14:26:04,2G,EDGE,1,250,2,7803,17509,-1,-55,1445599544
,ServiceLog, julia,1445599565522,23 Окт 2015 г. 14:26:05,2G,EDGE,1,250,2,7803,17509,-1,-55,1445599544
