ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
362,Пионерская 2,alex,1417273675810,3G,HSDPA,1,250,2,7803,8315308,-1,-113
,ServiceLog,alex,1417273676588,3G,HSDPA,1,250,2,7803,8315308,-1,-113
,ServiceLog,alex,1417273677814,3G,HSDPA,1,250,2,7803,8315308,-1,-113
,ServiceLog,alex,1417273679027,3G,HSDPA,1,250,2,7803,8315308,-1,-113
,ServiceLog,alex,1417273680376,3G,HSDPA,1,250,2,7803,8315308,-1,-113
,ServiceLog,alex,1417273681599,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273682883,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273684112,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273685306,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273686509,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273687746,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273688957,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273690163,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273691352,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273692582,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273693816,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273695038,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273696289,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273697518,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273698733,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273699940,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273701235,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273702460,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273703691,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273704918,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273706108,3G,HSDPA,1,250,2,7803,8291731,-1,-113
363,Пионерская 3,alex,1417273706360,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273707354,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273708575,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273709855,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273711113,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273712350,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273713592,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273714798,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273716026,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273717268,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273718490,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273719802,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273721017,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273722237,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273723532,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273724736,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273726016,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273727238,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273728466,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273729686,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273730934,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273732168,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273733380,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273735153,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273736462,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273737702,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273738937,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273740278,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273741497,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273742742,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273743931,3G,HSDPA,1,250,2,7803,8291731,-1,-113
,ServiceLog,alex,1417273745161,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273746409,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273747623,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273748841,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273750127,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273751379,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273752567,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273753837,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273755069,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273756278,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273757464,3G,HSDPA,1,250,2,7803,8291732,-1,-113
,ServiceLog,alex,1417273758715,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,alex,1417273759930,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,alex,1417273761226,unknown,unknown,1,-1,-1,-1,-1,-1,-1
,ServiceLog,alex,1417273762446,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273764161,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273765396,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273766573,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273767813,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273769051,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273770249,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273771461,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273772700,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273773935,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273775132,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273776506,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273777804,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417273779469,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273782110,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273784746,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273786987,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273788176,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273789383,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273790589,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273791787,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273792989,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273794208,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273795406,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273796726,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273797962,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273799146,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273800359,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273801565,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273802792,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273804004,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273805308,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273806529,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273807730,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273808933,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273810213,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273811403,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273812635,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273813866,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273815066,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273816273,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273817469,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273818701,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273819911,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273821138,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273822339,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273823611,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417273824805,2G,EDGE,1,250,2,7803,22238,-1,0
