ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
373,Удельная 3,alex,1417279656341,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279656827,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279657966,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279659228,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279660443,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279661730,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279662945,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279664157,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279665449,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279666617,3G,HSDPA,1,250,2,7803,8294990,-1,-113
374,Удельная 4,alex,1417279667581,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279667825,3G,HSDPA,1,250,2,7803,8294990,-1,-113
,ServiceLog,alex,1417279669104,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279670460,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279673145,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279675877,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279678292,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279679487,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279680659,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279681889,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279683060,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279684258,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279685515,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279686700,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279687902,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279689123,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279690334,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279691541,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279692746,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279693928,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279695149,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279696360,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279697536,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279698714,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279699893,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279701052,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279702238,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279703425,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279704671,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279705858,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279707098,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279708286,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279709533,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279710707,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279711867,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279713055,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279714240,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279715427,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279716592,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279717799,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279719036,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279720230,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279721407,3G,HSDPA,1,250,2,7803,8294988,-1,-113
,ServiceLog,alex,1417279722647,3G,HSDPA,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279723847,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279725071,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279726252,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279727428,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279728625,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279729807,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279730986,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279732145,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279733348,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279734547,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279735788,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279736950,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279738186,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279739375,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279740579,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279741743,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279742945,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279744212,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279745406,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279746563,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279747769,2G,EDGE,1,250,2,7803,22238,-1,0
,ServiceLog,alex,1417279749042,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417279750230,2G,EDGE,1,250,2,7803,22398,-1,0
,ServiceLog,alex,1417279751398,2G,EDGE,1,250,2,7803,22398,-1,0
