Accel_X,Accel_Y,Accel_Z,Audio,Azimuth,DateTime,GPS_Accuracy,GPS_Alt,GPS_Bearing,GPS_Lat,GPS_Lon,GPS_Speed,Gyro_X,Gyro_Y,Gyro_Z,ID,Magnetic_X,Magnetic_Y,Magnetic_Z,Name,Pitch,Roll,TimeStamp,Type,User,race_id,session_id
-8.920197,3.5368345,-1.8734628,66,224.4522,23 Окт 2015 г. 8:11:39,,,,,,,-0.027794369,-0.0070249503,-0.006414085,43,-38.52,7.02,3.24,Ленинский проспект 3,-159.35704,-75.90427,1445577099779,Raw, julia,1445577095,103961951
-8.911818,3.7217865,-2.8868086,77,204.02625,23 Окт 2015 г. 8:11:40,,,,,,,-0.048258353,0.005192355,-0.018020526,,-69.54,5.7,4.56,ServiceLog,-159.06908,-74.45965,1445577100103,Raw, julia,1445577095,103961951
-8.9998045,3.74094,-3.13401,80,203.85464,23 Окт 2015 г. 8:11:41,,,,,,,0.050701816,-0.011911872,-0.00580322,,-81.119995,11.219999,-0.42,ServiceLog,-158.7669,-73.32405,1445577101168,Raw, julia,1445577095,103961951
-8.668806,3.5033157,-2.942474,82,198.8173,23 Окт 2015 г. 8:11:42,,,,,,,-0.018020526,-0.0018325958,-0.030848695,,-78.659996,13.139999,-5.2799997,ServiceLog,-159.11516,-72.5947,1445577102230,Raw, julia,1445577095,103961951
-8.792706,3.7241807,-3.0065188,89,169.3022,23 Окт 2015 г. 8:11:43,,,,,,,-0.051923547,-0.049480084,-0.014660766,,-154.56,-0.42,-28.5,ServiceLog,-159.05267,-71.6752,1445577103298,Raw, julia,1445577095,103961951
-8.793902,3.8139634,-3.0711622,84,172.03586,23 Окт 2015 г. 8:11:44,,,,,,,-0.110872045,0.007941248,-0.02565634,,-170.09999,-1.14,-25.14,ServiceLog,-158.41313,-70.42709,1445577104359,Raw, julia,1445577095,103961951
-8.474875,3.3542767,-3.063381,87,178.37051,23 Окт 2015 г. 8:11:45,,,,,,,-0.06047566,-0.015577064,-0.03390302,,-175.08,7.2,-20.82,ServiceLog,-158.74118,-69.398186,1445577105426,Raw, julia,1445577095,103961951
-8.580819,3.6475663,-2.8287494,86,162.4511,23 Окт 2015 г. 8:11:46,,,,,,,-0.11209377,-0.050701816,-0.04184427,,-177.06,-5.3399997,-23.58,ServiceLog,-158.21939,-70.71544,1445577106500,Raw, julia,1445577095,103961951
-8.747216,4.021062,-2.819771,89,156.79054,23 Окт 2015 г. 8:11:47,,,,,,,-0.026267206,-0.00061086525,0.02443461,,-162.0,-12.9,-31.619999,ServiceLog,-157.71259,-70.37623,1445577107568,Raw, julia,1445577095,103961951
-8.664616,3.651756,-2.556409,88,163.6434,23 Окт 2015 г. 8:11:48,,,,,,,-0.0888809,0.01282817,-0.037873644,,-138.84,-11.4,-24.24,ServiceLog,-156.9767,-68.221,1445577108637,Raw, julia,1445577095,103961951
-9.473258,3.6134489,-2.4432828,89,163.37383,23 Окт 2015 г. 8:11:49,,,,,,,-0.076052725,-0.003970624,-0.016187929,,-123.24,-9.059999,-23.22,ServiceLog,-156.80174,-67.88233,1445577109699,Raw, julia,1445577095,103961951
-8.950723,3.2549171,-2.1523874,89,208.1735,23 Окт 2015 г. 8:11:50,,,,,,,-0.061086524,-0.009773844,-0.070249505,,-112.38,34.8,-8.099999,ServiceLog,-156.90065,-69.03805,1445577110745,Raw, julia,1445577095,103961951
-9.619903,3.9947255,-1.9853917,89,269.0102,23 Окт 2015 г. 8:11:51,,,,,,,-0.07574729,-0.053450707,-0.07360926,,-100.619995,189.06,100.92,ServiceLog,-156.136,-70.01042,1445577111812,Raw, julia,1445577095,103961951
-8.678981,4.0414124,-2.1990743,89,319.93805,23 Окт 2015 г. 8:11:52,,,,,,,-0.034513887,-0.025961773,-0.056199603,,13.44,143.76,-1.4399999,ServiceLog,-155.60959,-70.17432,1445577112870,Raw, julia,1445577095,103961951
-8.7771435,3.6260185,-2.0524294,86,311.30728,23 Окт 2015 г. 8:11:53,,,,,,,-0.04520403,0.0015271631,-0.00030543262,,10.2,124.2,32.88,ServiceLog,-155.99202,-70.91295,1445577113931,Raw, julia,1445577095,103961951
-8.948928,3.6128504,-2.094328,89,331.3854,23 Окт 2015 г. 8:11:54,,,,,,,-0.03726278,-0.054061573,-0.004276057,,7.5,130.8,-5.4,ServiceLog,-156.52061,-72.2658,1445577114997,Raw, julia,1445577095,103961951
-8.823232,3.7217865,-2.4995465,89,316.4536,23 Окт 2015 г. 8:11:56,,,,,,,0.03481932,-0.0021380284,-0.040927973,,-40.26,197.7,18.359999,ServiceLog,-157.4602,-72.93241,1445577116062,Raw, julia,1445577095,103961951
-9.331401,3.8498764,-2.167351,88,331.11856,23 Окт 2015 г. 8:11:57,,,,,,,-0.0033597588,0.040317107,-0.056505036,,156.54,159.3,46.379997,ServiceLog,-157.20279,-72.96496,1445577117123,Raw, julia,1445577095,103961951
-9.331401,3.8498764,-2.167351,88,331.11856,23 Окт 2015 г. 8:11:57,,,,,,,-0.0033597588,0.040317107,-0.056505036,44,156.54,159.3,46.379997,Ленинский проспект 4,-157.20279,-72.96496,1445577117382,Raw, julia,1445577095,103961951
-8.432379,3.281852,-1.7669208,90,167.99016,23 Окт 2015 г. 8:11:58,,,,,,,0.0693332,-0.004276057,0.020463986,,-28.019999,-44.94,4.74,ServiceLog,-156.63284,-75.17247,1445577118190,Raw, julia,1445577095,103961951
-9.81922,3.4225113,-1.8740613,89,165.08957,23 Окт 2015 г. 8:11:59,,,,,,,-0.014049901,0.01038471,-0.058948494,,-29.4,-47.7,4.08,ServiceLog,-157.45387,-74.61222,1445577119256,Raw, julia,1445577095,103961951
-9.803658,3.4865563,-1.5376761,88,146.88437,23 Окт 2015 г. 8:12:00,,,,,,,-0.07666359,0.00030543262,-0.058643065,,-42.84,-44.94,-13.08,ServiceLog,-157.06099,-74.4835,1445577120319,Raw, julia,1445577095,103961951
-9.069835,4.1138372,-1.4927847,88,152.94041,23 Окт 2015 г. 8:12:01,,,,,,,-0.04886922,-0.0106901415,-0.007941248,,-49.92,-43.2,-13.2,ServiceLog,-157.0879,-75.21506,1445577121392,Raw, julia,1445577095,103961951
-9.020754,3.5296519,-1.2054806,89,153.85237,23 Окт 2015 г. 8:12:02,,,,,,,-0.040927973,-0.08002335,-0.008552114,,-52.32,-43.079998,-14.58,ServiceLog,-157.33218,-76.70478,1445577122450,Raw, julia,1445577095,103961951
-9.760562,3.6828809,-1.365892,89,154.92084,23 Окт 2015 г. 8:12:03,,,,,,,-0.03390302,-0.09040806,-0.006414085,,-53.34,-43.379997,-13.2,ServiceLog,-157.55951,-77.80403,1445577123517,Raw, julia,1445577095,103961951
-9.142858,3.2148144,-1.2036849,88,157.37495,23 Окт 2015 г. 8:12:04,,,,,,,-0.031154128,-0.040011674,-0.057726767,,-51.3,-43.8,-11.94,ServiceLog,-157.77396,-79.50109,1445577124573,Raw, julia,1445577095,103961951
-8.74542,4.459201,-1.3437457,88,155.83147,23 Окт 2015 г. 8:12:05,,,,,,,-0.016798794,-0.02565634,0.014049901,,-49.92,-46.02,-15.66,ServiceLog,-157.87912,-81.32166,1445577125639,Raw, julia,1445577095,103961951
-9.078215,4.4400473,-1.3976152,89,171.4458,23 Окт 2015 г. 8:12:06,,,,,,,-0.02443461,0.015882496,0.037873644,,-22.02,-52.079998,5.22,ServiceLog,-157.3669,-81.199936,1445577126706,Raw, julia,1445577095,103961951
-8.724471,3.0137014,-1.0462662,89,173.8239,23 Окт 2015 г. 8:12:07,,,,,,,-0.03726278,-0.045814894,-0.011301007,,-22.199999,-52.5,6.2999997,ServiceLog,-158.87592,-81.604034,1445577127771,Raw, julia,1445577095,103961951
-8.945336,2.236783,-1.2605472,89,168.20894,23 Окт 2015 г. 8:12:08,,,,,,,-0.0693332,0.043982297,-0.112399206,,4.92,-23.46,15.54,ServiceLog,-160.45235,-80.57852,1445577128832,Raw, julia,1445577095,103961951
-8.086416,3.004723,-1.2030864,87,209.68529,23 Окт 2015 г. 8:12:09,,,,,,,-0.15363261,-0.055588737,-0.053450707,,7.74,-20.4,17.64,ServiceLog,-157.18654,-82.86885,1445577129879,Raw, julia,1445577095,103961951
-7.914034,5.1624975,-0.9684546,89,207.41551,23 Окт 2015 г. 8:12:10,,,,,,,-0.11789699,0.008552114,-0.19272798,,13.92,-21.66,15.24,ServiceLog,-160.0096,-83.921486,1445577130916,Raw, julia,1445577095,103961951
-10.036493,4.2658687,-1.2737153,89,214.9335,23 Окт 2015 г. 8:12:11,,,,,,,-0.049785517,-0.0143553335,0.04642576,,16.619999,-21.3,17.52,ServiceLog,-158.05792,-82.351006,1445577131975,Raw, julia,1445577095,103961951
-9.788095,3.2800562,-1.2162545,89,224.19475,23 Окт 2015 г. 8:12:13,,,,,,,-0.01038471,-0.0711658,0.006414085,,16.92,-18.24,18.24,ServiceLog,-159.96297,-83.719246,1445577133049,Raw, julia,1445577095,103961951
-9.445126,2.9071593,-1.1528081,89,216.94548,23 Окт 2015 г. 8:12:14,,,,,,,-0.07819075,-0.16432275,0.018020526,,12.179999,-19.92,18.66,ServiceLog,-161.02551,-84.664955,1445577134110,Raw, julia,1445577095,103961951
-9.940725,3.0609868,-1.3970166,88,226.95923,23 Окт 2015 г. 8:12:15,,,,,,,0.0018325958,-0.086437434,-0.05009095,,12.0,-16.8,18.72,ServiceLog,-161.72067,-85.39183,1445577135176,Raw, julia,1445577095,103961951
