ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
63,Кировский завод 3,Stanislav,1435667744890,Raw,0.0392266,1.4513842,10.434276,40.8125,-8.25,0.59375,-13.0,10.125,-14.9375,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667745766,Raw,-0.2745862,1.372931,10.355823,63.484375,-8.84375,-1.703125,-18.5,6.625,-9.5,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667746784,Raw,1.0983448,0.2745862,10.1989155,357.65625,-0.359375,4.984375,6.125,37.3125,-51.8125,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667747797,Raw,0.0392266,0.74530536,10.591182,349.78125,-3.75,0.140625,9.9375,45.4375,-61.0,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667748827,Raw,0.19613299,0.4314926,10.277369,345.6875,-4.625,2.9375,9.4375,45.6875,-61.5,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667749844,Raw,1.0198916,0.4314926,10.551955,346.60938,-0.8125,2.515625,7.5,45.375,-64.3125,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667750863,Raw,0.4707192,0.5491724,11.41494,346.625,-2.15625,1.734375,12.0,50.3125,-83.0625,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667751877,Raw,0.3138128,0.6668522,10.434276,346.51563,-3.78125,1.03125,9.1875,48.8125,-83.5,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667752895,Raw,0.4707192,0.5491724,10.748088,358.98438,-2.90625,2.46875,-5.25,27.625,-55.1875,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667753908,Raw,-0.1569064,0.78453195,10.630408,43.671875,-4.171875,-0.8125,-15.25,11.5625,-41.3125,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667754928,Raw,0.2353596,0.70607877,10.159689,52.578125,-3.921875,1.3125,-17.5625,9.4375,-37.6875,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667755940,Raw,-0.2353596,0.39226598,10.551955,58.40625,-4.0625,-0.59375,-17.6875,6.5,-32.5625,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667756960,Raw,-0.2745862,0.6668522,10.9442215,67.28125,-3.328125,-0.140625,-19.0625,4.6875,-29.5625,,,,,,,,,,1435667744
64,Кировский завод 4,Stanislav,1435667757112,Raw,-0.35303938,0.5099458,10.159689,75.234375,-2.859375,-1.9375,-22.125,1.3125,-29.3125,,,,,,,,,,1435667744
,ServiceLog,Stanislav,1435667757975,Raw,-0.19613299,1.0198916,10.002783,77.0,-5.0625,0.0,-26.0,4.375,-44.6875,,,,,,,,,,1435667744
