ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
82,Балтийская 2,Stanislav,1435667343411,Raw,-0.8237586,3.6873002,9.68897,176.40625,-21.9375,-4.65625,-2.75,-25.25,20.875,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667343955,Raw,-0.4314926,3.4911673,9.68897,176.34375,-19.78125,-2.34375,-3.375,-28.375,24.0625,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667344974,Raw,-0.9414384,2.6674087,10.669635,176.07813,-13.921875,-4.875,-4.375,-31.1875,22.75,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667345984,Raw,-0.6668522,2.9812214,10.473502,175.35938,-14.84375,-3.53125,-7.3125,-33.8125,20.875,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667347004,Raw,-0.588399,2.7066352,9.728196,173.625,-15.0,-3.5,-8.625,-35.1875,21.625,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667348017,Raw,-0.9022118,2.5497289,10.316595,172.60938,-14.59375,-4.5625,-8.375,-36.625,22.1875,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667349047,Raw,-0.70607877,2.5497289,10.120462,172.0,-14.625,-4.515625,-8.5,-37.4375,22.875,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667350057,Raw,-0.8237586,2.6281822,10.120462,171.51563,-14.734375,-3.75,-7.875,-36.375,19.75,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667351079,Raw,-0.6668522,2.6674087,10.120462,171.09375,-14.59375,-3.421875,-7.0,-31.3125,14.5625,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667352089,Raw,-0.5491724,2.5105023,10.355823,170.34375,-14.734375,-3.0,-5.75,-25.625,7.375,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667353107,Raw,-0.6276256,2.4712758,10.1989155,169.75,-14.359375,-3.421875,-4.9375,-23.625,4.0,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667354117,Raw,-0.5099458,2.3143694,10.159689,169.59375,-12.71875,-3.4375,-5.125,-26.5625,5.0,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667355133,Raw,-0.5099458,2.353596,10.316595,169.71875,-12.78125,-2.71875,-5.625,-29.3125,6.75,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667356141,Raw,-0.5099458,2.2359161,10.316595,169.64063,-12.203125,-2.75,-5.5625,-28.4375,7.5,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667357157,Raw,-0.3138128,3.216581,9.80665,169.39063,-18.15625,-1.734375,-6.0625,-27.4375,8.625,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667358171,Raw,-0.70607877,2.9027684,10.081236,169.15625,-16.0625,-3.15625,-6.375,-26.0,12.125,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667359186,Raw,-0.5491724,2.941995,10.042009,168.59375,-16.328125,-2.734375,-6.5,-24.625,9.1875,,,,,,,,,,1435667235
,ServiceLog,Stanislav,1435667360198,Raw,-0.74530536,3.0596747,10.159689,168.48438,-16.09375,-3.546875,-5.6875,-24.9375,9.25,,,,,,,,,,1435667235
83,Балтийская 3,Stanislav,1435667360435,Raw,-0.5099458,2.7850885,10.120462,168.04688,-15.65625,-3.53125,-10.25,-24.0625,17.6875,,,,,,,,,,1435667235
