ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
252,Московская 2,Stanislav,1419941970549,Raw,0.1176798,7.60996,6.3939357,142.5625,-47.125,0.359375,-20.5,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941970597,Raw,0.1176798,7.60996,6.3939357,142.5625,-47.125,0.359375,-20.5,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941971603,Raw,0.1569064,7.60996,6.943108,137.45313,-47.75,1.734375,-19.375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941972613,Raw,0.1569064,7.806093,7.021561,137.82813,-45.90625,2.234375,-19.8125,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941973621,Raw,0.2353596,7.335374,6.943108,133.96875,-43.90625,1.734375,-17.75,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941974637,Raw,0.6276256,7.5707335,6.943108,140.59375,-47.046875,3.21875,-13.6875,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941975657,Raw,0.6276256,7.5707335,7.100014,140.48438,-46.21875,3.609375,-13.75,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941976686,Raw,0.6276256,7.0607877,7.2176943,138.51563,-44.28125,3.546875,-13.75,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941977708,Raw,0.2745862,5.2563643,9.649743,151.60938,-28.515625,1.421875,-26.75,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941978743,Raw,0.3138128,5.295591,8.159133,156.73438,-32.921875,1.84375,-38.25,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941979791,Raw,0.5099458,7.6884136,5.491724,161.76563,-55.71875,2.65625,-34.1875,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941980815,Raw,0.3138128,6.1193495,9.335931,162.07813,-42.359375,-1.203125,-35.0,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941981835,Raw,1.8436501,3.1773546,7.923773,157.85938,-29.671875,8.28125,-32.6875,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941982870,Raw,-0.0,7.6884136,10.551955,154.89063,-22.75,-0.703125,-40.5625,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941983903,Raw,1.2944778,7.139241,7.256921,158.57813,-44.125,7.234375,-47.0625,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941984916,Raw,-0.19613299,6.1193495,8.276813,158.82813,-34.359375,-0.359375,-44.0,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941985923,Raw,-0.1569064,5.5309505,9.061344,159.1875,-33.421875,-1.0625,-44.375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941986934,Raw,-0.1569064,6.3939357,8.394492,159.64063,-37.375,-0.59375,-43.375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941987940,Raw,-0.35303938,6.864655,7.7668667,160.10938,-41.46875,-1.875,-43.4375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941988950,Raw,-0.0392266,7.139241,7.60996,160.42188,-43.203125,-0.140625,-44.375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941989956,Raw,-0.2353596,6.825428,7.2176943,160.375,-43.421875,-1.34375,-43.0625,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941990967,Raw,-0.1176798,6.7862015,8.041452,160.3125,-40.15625,-0.59375,-43.5625,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941991976,Raw,-0.19613299,6.864655,7.923773,160.48438,-40.9375,-1.484375,-48.0625,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941992986,Raw,-0.0784532,6.6292953,8.041452,160.65625,-39.046875,-0.140625,-48.9375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941993992,Raw,-0.2353596,6.9038815,7.923773,160.90625,-40.890625,-1.03125,-50.0,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941995003,Raw,-0.2745862,6.864655,8.002226,161.3125,-41.34375,-1.84375,-53.5,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941996010,Raw,-0.2353596,6.9038815,7.7668667,161.57813,-40.9375,-0.8125,-54.1875,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941997028,Raw,-0.1569064,7.021561,7.806093,162.03125,-41.828125,-1.484375,-52.25,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941998053,Raw,-0.2353596,7.1784678,7.60996,162.5,-43.34375,-1.0625,-54.375,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419941999073,Raw,-0.2745862,7.100014,7.60996,162.98438,-43.640625,-1.875,-56.3125,0.0,0.0,0.0,1419941834
,ServiceLog,Stanislav,1419942000090,Raw,-0.4707192,7.0607877,7.963,157.39063,-42.75,-4.234375,-65.875,0.0,0.0,0.0,1419941834
253,Московская 3,Stanislav,1419942000165,Raw,-1.176798,7.021561,7.021561,157.39063,-42.75,-4.234375,-65.875,0.0,0.0,0.0,1419941834
