ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z
283,Московские ворота 3,Stanislav,1419504704663,Raw,0.3138128,5.8055367,8.747532,315.1875,-32.1875,0.140625,57.9375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504704792,Raw,0.4314926,6.00167,8.943665,315.1875,-32.1875,0.140625,57.9375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504705801,Raw,0.98066497,5.570177,8.904438,314.67188,-31.84375,5.265625,74.5625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504706817,Raw,0.2745862,5.1386843,9.296704,314.25,-28.90625,1.484375,79.875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504707826,Raw,0.2353596,4.8248715,9.179024,313.92188,-27.734375,1.28125,85.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504708838,Raw,0.2745862,5.3348174,9.100571,315.125,-30.328125,1.484375,76.875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504709847,Raw,0.2353596,4.9425516,9.296704,320.23438,-27.953125,1.265625,65.0625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504710861,Raw,0.2745862,4.785645,9.45361,321.95313,-26.8125,1.484375,68.0625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504711872,Raw,0.35303938,5.0994577,9.414384,323.09375,-29.234375,1.84375,68.5,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504712911,Raw,0.5099458,6.1193495,9.100571,324.20313,-30.546875,1.484375,54.75,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504713959,Raw,0.4314926,6.668522,8.904438,325.85938,-31.46875,1.8125,41.3125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504714976,Raw,-0.19613299,6.1978025,8.904438,326.59375,-33.90625,0.359375,37.1875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504715997,Raw,0.1176798,5.6094036,8.590625,326.98438,-33.125,0.609375,36.0,0.0,0.0,0.0
284,Московские ворота 4,Stanislav,1419504716276,Raw,0.1176798,5.8447633,8.904438,327.23438,-33.3125,0.59375,34.5,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504717024,Raw,0.35303938,6.4723887,8.237586,339.1875,-38.140625,1.875,17.6875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504718030,Raw,-0.35303938,6.864655,7.4138274,333.76563,-42.765625,-1.9375,68.0625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504719045,Raw,0.4707192,6.0408964,8.825985,312.5625,-34.328125,2.484375,67.4375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504720054,Raw,0.9022118,7.256921,8.943665,312.28125,-35.21875,4.34375,63.8125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504721070,Raw,5.962443,7.453054,-2.824315,299.46875,-119.046875,20.34375,53.125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504722076,Raw,3.6480737,9.100571,-1.7651969,266.07813,-115.125,22.640625,48.5,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504723091,Raw,3.2950344,9.45361,-2.353596,266.57813,-113.09375,18.625,51.8125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504724112,Raw,3.0596747,9.022118,-2.5497289,266.92188,-113.78125,18.03125,52.125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504725154,Raw,3.2950344,9.257478,-2.432049,267.48438,-113.921875,19.0,53.875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504726179,Raw,3.2558076,9.492837,-2.5105023,267.5625,-113.609375,18.5625,50.3125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504727222,Raw,3.3734875,9.57129,-2.3928225,268.46875,-112.734375,18.125,48.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504728245,Raw,3.6480737,9.5320635,-2.6674087,269.1875,-115.3125,20.203125,51.625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504729285,Raw,3.0989013,9.492837,-2.353596,269.14063,-112.984375,17.6875,51.8125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504730308,Raw,3.1381278,9.375157,-2.5105023,269.0625,-114.5625,18.921875,55.1875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504731349,Raw,3.2950344,9.57129,-2.353596,268.84375,-113.375,19.0625,58.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504732381,Raw,3.8834333,10.002783,-1.8044236,268.4375,-113.375,18.734375,60.9375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504733427,Raw,3.726527,9.061344,-1.372931,262.42188,-115.625,23.03125,61.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504734452,Raw,3.1773546,9.375157,-2.1574628,259.14063,-112.421875,18.328125,62.8125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504735503,Raw,3.2558076,9.414384,-2.1574628,260.46875,-112.703125,18.125,63.0,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504736533,Raw,3.216581,9.218251,-2.2751427,261.375,-113.140625,18.71875,64.375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504737593,Raw,3.412714,9.610517,-2.432049,261.60938,-111.578125,18.203125,63.5625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504738621,Raw,3.1773546,9.061344,-2.1574628,261.96875,-113.296875,18.59375,66.5625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419504739670,Raw,3.3734875,9.57129,-2.1182363,261.90625,-112.5625,18.953125,64.5,0.0,0.0,0.0
