ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
283,Московские ворота 3,Stanislav,1432748035101,Raw,1.2552512,6.590069,8.355266,336.15625,-37.921875,6.734375,4.0625,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748035972,Raw,1.9613299,6.354709,8.316039,343.09375,-35.5625,10.78125,-1.75,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748037004,Raw,1.7651969,6.2762556,8.472945,343.8125,-35.90625,9.46875,-2.875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748038021,Raw,1.3337044,6.1193495,8.394492,344.79688,-36.5625,9.21875,-4.375,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748039067,Raw,1.2944778,6.1978025,8.472945,354.96875,-36.625,7.125,-14.625,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748040091,Raw,1.3337044,6.3154826,8.355266,351.32813,-36.140625,8.078125,-5.1875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748041111,Raw,1.8044236,6.354709,8.080679,346.375,-37.5,9.921875,-5.9375,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748042120,Raw,1.4513842,6.4723887,8.080679,346.0625,-38.25,7.9375,-8.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748043138,Raw,1.2944778,6.354709,8.159133,345.875,-37.546875,7.125,-3.1875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748044174,Raw,1.0983448,6.158576,8.119906,334.51563,-37.765625,5.203125,6.0625,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
284,Московские ворота 4,Stanislav,1432748044871,Raw,1.2944778,5.962443,8.080679,323.0,-34.59375,5.625,7.125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748045202,Raw,1.4121575,6.746975,8.590625,317.59375,-35.296875,7.828125,8.0625,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748046224,Raw,1.3337044,7.021561,7.4922805,318.0625,-43.15625,8.34375,15.125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748047240,Raw,-0.98066497,5.7270837,8.002226,327.64063,-32.65625,-2.484375,13.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748048253,Raw,1.2160245,7.139241,8.237586,340.9375,-35.140625,4.59375,5.1875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748049275,Raw,0.19613299,4.2364726,9.022118,323.8125,-39.46875,4.453125,9.125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748050287,Raw,4.0403395,1.6475172,9.375157,185.25,-9.078125,23.390625,-10.0625,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748051305,Raw,4.118793,1.7651969,9.492837,183.76563,-8.984375,22.875,-8.1875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748052335,Raw,3.9226599,1.5690639,9.375157,183.07813,-7.9375,22.6875,-6.125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748053392,Raw,4.4326057,1.7259704,9.845877,182.71875,-8.28125,22.296875,-2.6875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748054427,Raw,4.118793,1.4906107,9.80665,182.71875,-7.9375,22.546875,0.1875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748055603,Raw,3.9226599,1.5690639,9.218251,182.78125,-8.90625,22.71875,-0.875,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
,ServiceLog,Stanislav,1432748056630,Raw,4.393379,1.6082906,10.434276,182.14063,-8.078125,22.578125,-7.3125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1432748035
