ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z
282,Московские ворота 2,Stanislav,1419941527203,Raw,-0.1176798,7.72764,6.9038815,359.125,-46.796875,-0.140625,-0.0625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941527482,Raw,0.1176798,7.453054,7.2961473,359.25,-47.4375,0.8125,-0.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941528492,Raw,0.3138128,7.3746004,7.4138274,359.1875,-44.203125,0.84375,1.25,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941529505,Raw,0.6668522,7.100014,7.531507,358.5625,-41.9375,3.640625,3.375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941530513,Raw,0.74530536,7.256921,7.6884136,357.01563,-42.9375,3.46875,3.0,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941531528,Raw,0.6276256,6.943108,7.453054,356.5,-43.515625,3.078125,2.625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941532551,Raw,0.5491724,7.1784678,7.1784678,356.20313,-44.484375,2.34375,2.625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941533597,Raw,0.6276256,7.2961473,7.72764,355.8125,-42.9375,3.578125,3.5,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941534628,Raw,0.74530536,7.335374,7.60996,354.6875,-43.4375,3.21875,4.875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941535650,Raw,0.5099458,7.0607877,7.5707335,353.1875,-43.0,2.734375,5.0625,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941536672,Raw,0.6668522,7.256921,7.5707335,351.64063,-43.953125,3.859375,6.125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941537705,Raw,0.5491724,7.100014,7.60996,350.48438,-43.109375,2.796875,5.3125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941538730,Raw,0.4707192,7.0607877,7.5707335,349.79688,-43.4375,2.0625,4.9375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941539751,Raw,0.4707192,7.100014,7.72764,349.75,-42.515625,2.515625,4.4375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941540768,Raw,0.4707192,7.139241,7.531507,349.67188,-43.46875,2.546875,4.75,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941541793,Raw,0.5099458,7.021561,7.60996,349.26563,-42.640625,2.796875,5.0,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941542802,Raw,0.70607877,7.0607877,7.4922805,348.90625,-43.65625,3.828125,5.375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941543828,Raw,0.588399,7.100014,7.6491866,348.67188,-42.765625,3.46875,4.875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941544848,Raw,0.6668522,7.021561,7.6491866,348.71875,-43.09375,3.46875,4.6875,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941545882,Raw,0.6668522,7.100014,7.6491866,349.04688,-43.25,3.578125,4.5,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941546906,Raw,0.588399,7.100014,7.5707335,349.17188,-42.78125,3.46875,5.125,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941547932,Raw,0.6668522,7.100014,7.6491866,348.92188,-43.625,4.09375,4.9375,0.0,0.0,0.0
,ServiceLog,Stanislav,1419941548955,Raw,0.588399,6.943108,7.60996,348.25,-42.28125,3.25,9.125,0.0,0.0,0.0
283,Московские ворота 3,Stanislav,1419941549112,Raw,0.5491724,6.5116153,8.002226,348.25,-42.28125,3.25,9.125,0.0,0.0,0.0
