ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
313,Сенная площадь 3,Stanislav,1435578592779,Raw,-0.19613299,4.2364726,9.68897,2.28125,-22.390625,-0.59375,3.375,54.875,64.5,,,,,,,,,
,ServiceLog,Stanislav,1435578593277,Raw,-0.70607877,4.1580195,9.68897,346.21875,-23.171875,-3.78125,6.25,64.6875,74.125,,,,,,,,,
,ServiceLog,Stanislav,1435578594292,Raw,-0.5099458,3.8442068,9.767424,340.29688,-21.140625,-2.71875,9.125,76.5625,85.0625,,,,,,,,,
,ServiceLog,Stanislav,1435578595310,Raw,-0.588399,3.8442068,9.610517,340.375,-22.046875,-3.546875,11.25,83.375,80.75,,,,,,,,,
,ServiceLog,Stanislav,1435578596327,Raw,-0.70607877,3.334261,9.885103,263.96875,-19.21875,-3.421875,65.1875,-9.375,18.125,,,,,,,,,
,ServiceLog,Stanislav,1435578597334,Raw,-0.588399,3.5696206,10.238142,246.32813,-19.953125,-5.09375,70.25,-19.875,76.8125,,,,,,,,,
,ServiceLog,Stanislav,1435578598362,Raw,-0.588399,3.5303938,9.845877,234.79688,-20.3125,-2.015625,68.625,-27.8125,93.3125,,,,,,,,,
,ServiceLog,Stanislav,1435578599370,Raw,-0.6668522,3.8834333,9.68897,239.26563,-20.25,-2.71875,70.875,-12.9375,87.8125,,,,,,,,,
,ServiceLog,Stanislav,1435578600385,Raw,-0.6668522,3.9226599,9.80665,239.9375,-20.40625,-3.1875,68.625,-15.6875,82.8125,,,,,,,,,
,ServiceLog,Stanislav,1435578601395,Raw,-0.5491724,3.334261,9.414384,239.0625,-22.515625,-0.5625,64.6875,-20.875,58.4375,,,,,,,,,
314,Сенная площадь 4,Stanislav,1435578601694,Raw,-0.35303938,4.0795665,10.002783,239.26563,-22.140625,-1.8125,63.5,-19.0,51.875,,,,,,,,,
,ServiceLog,Stanislav,1435578602411,Raw,-0.70607877,4.7464185,9.100571,239.57813,-26.796875,-2.796875,61.375,-15.8125,49.4375,,,,,,,,,
,ServiceLog,Stanislav,1435578603421,Raw,0.2353596,4.275699,9.257478,260.42188,-24.0625,0.140625,42.5,-22.5,-41.375,,,,,,,,,
,ServiceLog,Stanislav,1435578604433,Raw,-0.0392266,4.589512,9.375157,272.6875,-26.9375,0.84375,51.25,-20.4375,-55.75,,,,,,,,,
