Accel_X,Accel_Y,Accel_Z,Audio,Azimuth,DateTime,GPS_Accuracy,GPS_Alt,GPS_Bearing,GPS_Lat,GPS_Lon,GPS_Speed,Gyro_X,Gyro_Y,Gyro_Z,ID,Magnetic_X,Magnetic_Y,Magnetic_Z,Name,Pitch,Roll,TimeStamp,Type,User,race_id,session_id
9.333405,-0.83006287,-3.5355225,53,278.34033,22 окт. 2015 г. 21:40:48,,,,,,,0.014907837,0.0033111572,0.009002686,473,-36.12478,5.241295,43.678574,Площадь Александра Невского (зел) 3,173.12167,72.11988,1445539249553,Raw,lena ,1445539248,119655405
9.324097,-0.7001953,-3.4979706,56,289.3066,22 окт. 2015 г. 21:40:49,,,,,,,0.0042266846,-0.0020141602,-0.002746582,,-15.173126,-6.641487,37.87184,ServiceLog,169.42432,69.58344,1445539249894,Raw,lena ,1445539248,119655405
9.292969,-0.73994446,-3.5528564,59,293.19382,22 окт. 2015 г. 21:40:50,,,,,,,-0.0050201416,0.00010681152,-0.0013122559,,-17.169739,-5.6975403,37.045197,ServiceLog,168.95708,68.89276,1445539250952,Raw,lena ,1445539248,119655405
9.313187,-0.57077026,-3.4911804,65,293.30032,22 окт. 2015 г. 21:40:52,,,,,,,-0.00074768066,0.020050049,0.0015258789,,-18.077255,-6.824402,38.375572,ServiceLog,170.0175,68.72259,1445539252085,Raw,lena ,1445539248,119655405
9.344696,-0.48757935,-3.1822815,64,296.62738,22 окт. 2015 г. 21:40:53,,,,,,,0.0028076172,-0.0013122559,0.0018920898,,-12.779594,-10.523323,38.65309,ServiceLog,170.06206,70.35122,1445539253111,Raw,lena ,1445539248,119655405
9.599213,-0.38612366,-3.0520172,67,299.54422,22 окт. 2015 г. 21:40:54,,,,,,,-0.006439209,-0.0034484863,0.00045776367,,-4.1427383,-15.124229,35.794357,ServiceLog,171.75328,71.399216,1445539254140,Raw,lena ,1445539248,119655405
9.357147,-0.28503418,-2.9480896,59,300.19678,22 окт. 2015 г. 21:40:55,,,,,,,-0.0057373047,-0.01234436,-0.008071899,,-1.720787,-15.729431,33.556465,ServiceLog,173.58704,71.993706,1445539255159,Raw,lena ,1445539248,119655405
9.530991,-0.2087555,-3.0222015,62,299.89786,22 окт. 2015 г. 21:40:56,,,,,,,0.009216309,-0.0037994385,-0.005935669,,1.0839691,-15.957169,34.654526,ServiceLog,175.04938,72.11236,1445539256172,Raw,lena ,1445539248,119655405
9.568771,-0.1681366,-2.857376,68,301.1414,22 окт. 2015 г. 21:40:57,,,,,,,-0.0039520264,0.009002686,0.0043792725,,3.6009064,-19.449715,37.18386,ServiceLog,175.71764,73.05041,1445539257183,Raw,lena ,1445539248,119655405
9.453949,-0.3105011,-2.9477081,73,303.43903,22 окт. 2015 г. 21:40:58,,,,,,,-0.0032348633,-0.01020813,-0.0009613037,,8.962273,-21.567062,35.272125,ServiceLog,175.73212,72.63809,1445539258197,Raw,lena ,1445539248,119655405
