ID,Name,User,TimeStamp,DateTime,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,Audio,race_id
672,Площадь Александра Невского (ор) 2, julia,1445602089286,23 Окт 2015 г. 15:08:09,Raw,-1.3862427,7.511808,6.1195793,37.95764,-69.91394,-8.064953,-36.719997,8.94,-65.88,-0.08093964,-0.0067195175,-0.03726278,,,,,,,85,1445601950
,ServiceLog, julia,1445602089834,23 Окт 2015 г. 15:08:09,Raw,-1.4395138,7.20954,6.5511346,40.37714,-68.005066,-6.885401,-38.16,7.7999997,-64.619995,-0.11575896,-0.23976462,-0.060170226,,,,,,,86,1445601950
,ServiceLog, julia,1445602090860,23 Окт 2015 г. 15:08:10,Raw,-2.042254,6.14831,6.3206925,36.410282,-60.785107,-3.452971,-40.44,10.26,-64.439995,-0.34238997,-0.054061573,0.026572637,,,,,,,87,1445601950
,ServiceLog, julia,1445602091885,23 Окт 2015 г. 15:08:11,Raw,1.0121487,4.663306,11.631032,63.21888,-37.041443,-15.662445,-36.96,-7.02,-61.62,-0.7281514,-0.691194,0.09468412,,,,,,,84,1445601950
,ServiceLog, julia,1445602092913,23 Окт 2015 г. 15:08:12,Raw,6.791153,4.3742065,10.490194,113.68671,-32.5636,-7.9070163,-13.86,-31.679998,-30.42,-0.03359759,-0.6114761,-0.33292156,,,,,,,86,1445601950
,ServiceLog, julia,1445602093937,23 Окт 2015 г. 15:08:13,Raw,5.427655,6.2608376,10.635044,206.60663,-30.653767,17.080864,1.8,-19.8,-25.439999,1.2177598,0.16982053,0.56016344,,,,,,,87,1445601950
,ServiceLog, julia,1445602094960,23 Окт 2015 г. 15:08:14,Raw,4.0252514,4.0162735,6.4846954,295.05432,-25.615644,21.326143,8.04,8.5199995,-50.039997,0.051923547,1.0629056,0.643852,,,,,,,85,1445601950
,ServiceLog, julia,1445602095985,23 Окт 2015 г. 15:08:15,Raw,1.6938977,3.6379895,5.639542,352.5836,-24.018377,7.1502705,-4.3199997,28.08,-56.76,-0.042455133,0.15821409,0.08124508,,,,,,,85,1445601950
,ServiceLog, julia,1445602097020,23 Окт 2015 г. 15:08:17,Raw,5.048773,5.158906,7.7308774,349.718,-33.294727,24.006264,-16.98,31.619999,-52.5,-0.05681047,0.34238997,0.13775012,,,,,,,83,1445601950
,ServiceLog, julia,1445602098067,23 Окт 2015 г. 15:08:18,Raw,0.6428431,2.6330233,8.137293,336.52936,-21.939775,8.973462,22.439999,49.559998,-61.559998,-0.30818152,0.4981606,-0.09743301,,,,,,,85,1445601950
,ServiceLog, julia,1445602099096,23 Окт 2015 г. 15:08:19,Raw,3.9228995,-3.3225534,7.955932,7.054299,-15.420014,4.0043473,-4.56,57.18,-67.02,-0.106901415,0.34483343,-2.6288586,,,,,,,83,1445601950
,ServiceLog, julia,1445602100131,23 Окт 2015 г. 15:08:20,Raw,-7.107786,-7.8452005,7.270592,4.5372195,-3.6362932,-8.009282,18.9,28.68,-75.84,1.5308284,-0.7272351,0.105374254,,,,,,,86,1445601950
,ServiceLog, julia,1445602101196,23 Окт 2015 г. 15:08:21,Raw,-5.604826,-3.6750996,6.342839,108.85913,11.977297,-24.527697,19.32,14.4,-76.14,0.8741482,-0.8912524,0.5757405,,,,,,,85,1445601950
,ServiceLog, julia,1445602102273,23 Окт 2015 г. 15:08:22,Raw,-3.6553473,-3.4368765,0.20709845,173.53004,59.02536,-28.232542,40.92,27.72,-51.48,-0.11026118,0.97249746,-0.59589905,,,,,,,85,1445601950
,ServiceLog, julia,1445602103342,23 Окт 2015 г. 15:08:23,Raw,-1.673547,-7.2568254,-0.55246204,145.40208,48.323036,-81.47262,39.899998,34.739998,-44.1,0.38148534,1.5925257,-0.51068336,,,,,,,85,1445601950
,ServiceLog, julia,1445602104410,23 Окт 2015 г. 15:08:24,Raw,4.2078094,-8.704121,-7.890092,156.06581,56.716614,-28.772728,21.119999,58.68,-18.359999,2.1343632,1.1316279,0.5662721,,,,,,,86,1445601950
,ServiceLog, julia,1445602105476,23 Окт 2015 г. 15:08:25,Raw,7.4208283,-19.39064,-12.3038025,211.52744,147.88734,2.378267,27.72,63.0,-19.14,0.39278635,0.68325275,0.1853976,,,,,,,84,1445601950
,ServiceLog, julia,1445602106543,23 Окт 2015 г. 15:08:26,Raw,-2.1865046,-4.5358152,15.280394,278.8493,117.890144,14.343474,37.38,57.899998,-20.4,-2.6367998,0.9095783,-0.6545421,,,,,,,87,1445601950
,ServiceLog, julia,1445602107607,23 Окт 2015 г. 15:08:27,Raw,6.5696893,-1.8142064,3.2782607,271.89413,76.27605,13.669935,42.239998,51.239998,-20.52,0.61208695,0.13958271,0.5338962,,,,,,,87,1445601950
