ID,Name,User,TimeStamp,DateTime,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,Audio,race_id
903,Спортивная 3, julia,1445600817220,23 Окт 2015 г. 14:46:57,Raw,0.65900403,5.5707088,7.8649526,236.68922,-35.130634,4.296371,9.179999,5.1,16.26,-0.040927973,-0.003970624,0.0067195175,,,,,,,64,1445600817
,ServiceLog, julia,1445600817281,23 Окт 2015 г. 14:46:57,Raw,0.65900403,5.5707088,7.8649526,236.68922,-35.130634,4.296371,11.4,3.12,18.0,-0.040927973,-0.003970624,0.0067195175,,,,,,,69,1445600817
,ServiceLog, julia,1445600818308,23 Окт 2015 г. 14:46:58,Raw,1.4640543,5.1140146,8.210316,226.9126,-33.38214,6.235848,14.46,-4.3199997,13.08,0.029932396,-0.015271631,-0.025961773,,,,,,,68,1445600817
,ServiceLog, julia,1445600819335,23 Окт 2015 г. 14:46:59,Raw,1.6184803,4.911705,7.9756846,219.3436,-34.223694,7.139305,13.74,-2.52,19.98,-0.034208454,0.024740042,-0.053145275,,,,,,,70,1445600817
,ServiceLog, julia,1445600820360,23 Окт 2015 г. 14:47:00,Raw,2.1374235,5.0104656,8.076839,220.25397,-33.554764,7.9299707,15.059999,-3.12,17.64,-0.06414085,-0.009468411,0.018020526,,,,,,,77,1445600817
,ServiceLog, julia,1445600821383,23 Окт 2015 г. 14:47:01,Raw,1.4867992,5.385158,7.4986396,237.00452,-33.623486,8.0715475,11.94,13.559999,21.119999,0.00580322,-0.0030543262,-0.032070424,,,,,,,84,1445600817
,ServiceLog, julia,1445600822406,23 Окт 2015 г. 14:47:02,Raw,2.0709844,5.0906715,8.288726,285.9071,-32.14129,9.039217,17.76,-6.72,-24.84,-0.04184427,0.013133603,-0.03268129,,,,,,,81,1445600817
,ServiceLog, julia,1445600823430,23 Окт 2015 г. 14:47:03,Raw,2.0386627,5.071518,8.203134,22.130074,-30.505056,8.892086,-18.42,16.98,-63.18,-0.033292156,0.01038471,-0.035124753,,,,,,,80,1445600817
,ServiceLog, julia,1445600824453,23 Окт 2015 г. 14:47:04,Raw,1.4903905,5.071518,7.4603324,309.66873,-30.684711,9.774992,26.64,-2.28,-74.82,0.0009162979,-0.018325957,-0.042760566,,,,,,,79,1445600817
,ServiceLog, julia,1445600825481,23 Окт 2015 г. 14:47:05,Raw,2.0907366,4.6136265,8.245032,295.9997,-29.60453,9.67678,31.98,-13.799999,-75.479996,-0.058948494,-0.0015271631,-0.008552114,,,,,,,81,1445600817
,ServiceLog, julia,1445600826504,23 Окт 2015 г. 14:47:06,Raw,1.270124,4.8578353,8.001422,299.37424,-29.63573,9.164003,34.14,-16.8,-85.2,-0.027488936,-0.008552114,-0.061391957,,,,,,,85,1445600817
,ServiceLog, julia,1445600827530,23 Окт 2015 г. 14:47:07,Raw,2.1631613,5.3845596,8.091205,297.89755,-29.64022,9.949466,28.8,-13.44,-73.02,-0.037873644,-0.0067195175,-0.01863139,,,,,,,84,1445600817
,ServiceLog, julia,1445600828556,23 Окт 2015 г. 14:47:08,Raw,1.377863,5.445013,8.069058,305.08087,-29.295403,10.026321,49.86,7.02,-89.7,-0.034208454,-0.004886922,-0.03970624,,,,,,,88,1445600817
,ServiceLog, julia,1445600829581,23 Окт 2015 г. 14:47:09,Raw,1.5568297,5.099051,8.265383,305.09427,-28.986288,10.314431,219.65999,159.84,-85.02,-0.046120327,-0.01282817,0.0018325958,,,,,,,87,1445600817
,ServiceLog, julia,1445600830609,23 Окт 2015 г. 14:47:10,Raw,1.2491747,4.9045224,8.139089,19.018349,-26.860943,10.448539,-35.76,132.48,88.32,-0.06841691,-0.01160644,-0.044898596,,,,,,,89,1445600817
,ServiceLog, julia,1445600831633,23 Окт 2015 г. 14:47:11,Raw,1.0253168,5.058948,8.075044,346.22754,-26.08722,9.740998,-2.9399998,0.24,-46.26,-0.07513642,0.01160644,-0.06047566,,,,,,,87,1445600817
,ServiceLog, julia,1445600832659,23 Окт 2015 г. 14:47:12,Raw,1.1683705,5.2474914,7.8475947,314.20605,-25.669655,10.663674,-3.4199998,-18.0,-50.879997,-0.050701816,-0.01038471,-0.009468411,,,,,,,87,1445600817
,ServiceLog, julia,1445600833683,23 Окт 2015 г. 14:47:13,Raw,1.163582,5.191228,8.272566,356.3421,-25.006386,9.367525,-6.06,-12.42,-40.44,-0.058643065,0.013744468,-0.04062254,,,,,,,88,1445600817
,ServiceLog, julia,1445600834708,23 Окт 2015 г. 14:47:14,Raw,1.3090298,5.767632,7.740454,333.62137,-23.757376,9.636542,-4.62,-12.3,-35.7,-0.016798794,0.02076942,0.058337633,,,,,,,89,1445600817
904,Спортивная 4, julia,1445600835564,23 Окт 2015 г. 14:47:15,Raw,0.9247604,5.4258595,8.096592,32.390285,-28.501305,9.238274,-10.559999,8.28,-13.62,0.037873644,0.0012217305,-0.041233405,,,,,,,89,1445600817
,ServiceLog, julia,1445600835734,23 Окт 2015 г. 14:47:15,Raw,0.5255273,5.465364,8.230667,26.062742,-28.681686,9.1175585,-10.38,15.12,-8.46,-0.02107485,0.007330383,-0.009162978,,,,,,,89,1445600817
