ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,race_id
933,Старая деревня 3,Stanislav,1418310444383,Raw,0.6276256,7.2176943,7.5707335,145.59375,-45.0,3.53125,-51.125,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310444533,Raw,0.6276256,7.2176943,7.5707335,145.92188,-43.515625,3.4375,-54.5,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310445548,Raw,0.6668522,7.021561,7.72764,147.21875,-42.140625,3.578125,-56.6875,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310446557,Raw,0.98066497,7.2176943,7.7668667,148.46875,-41.53125,4.421875,-54.6875,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310447575,Raw,0.70607877,7.139241,7.72764,149.45313,-42.625,3.78125,-58.125,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310448595,Raw,1.2160245,6.6292953,7.531507,149.64063,-41.0,6.890625,-57.5625,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310449626,Raw,1.0983448,7.100014,7.806093,150.51563,-42.0,5.890625,-62.0625,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310450651,Raw,0.70607877,7.021561,7.8453197,151.09375,-41.734375,3.78125,-61.1875,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310451680,Raw,0.98066497,6.746975,8.002226,151.53125,-39.9375,5.296875,-59.75,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310452708,Raw,0.78453195,6.7077484,7.453054,151.625,-41.828125,4.421875,-64.1875,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310453721,Raw,0.6668522,6.864655,7.806093,151.75,-41.234375,3.609375,-66.4375,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310454731,Raw,0.588399,6.7077484,7.923773,151.90625,-40.1875,3.21875,-65.75,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310455745,Raw,0.4314926,6.9823346,7.8453197,152.03125,-41.578125,2.125,-66.375,0.0,0.0,0.0,1418310444
,ServiceLog,Stanislav,1418310456770,Raw,0.1569064,6.943108,8.041452,151.59375,-41.390625,1.671875,-70.125,0.0,0.0,0.0,1418310444
934,Старая деревня 4,Stanislav,1418310456824,Raw,0.1569064,6.943108,8.041452,151.45313,-40.796875,0.8125,-73.375,0.0,0.0,0.0,1418310444
