ID,Name,User,TimeStamp,DateTime,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,Audio,race_id
942,Комендантский проспект 2, julia,1445599916641,23 Окт 2015 г. 14:31:56,Raw,0.50996494,4.671686,8.070854,356.6229,-41.31839,12.027467,1.5,9.9,4.74,0.10048734,-0.0143553335,-0.065973446,,,,,,,87,1445599734
,ServiceLog, julia,1445599916662,23 Окт 2015 г. 14:31:56,Raw,0.50996494,4.671686,8.070854,356.6229,-41.31839,12.027467,2.22,9.84,4.62,0.10048734,-0.0143553335,-0.065973446,,,,,,,87,1445599734
,ServiceLog, julia,1445599917690,23 Окт 2015 г. 14:31:57,Raw,0.64583594,4.459201,8.725668,332.27823,-40.138447,10.775148,3.8999999,10.5,2.82,-0.06658431,-0.007941248,-0.017104227,,,,,,,87,1445599734
,ServiceLog, julia,1445599918714,23 Окт 2015 г. 14:31:58,Raw,0.9187749,3.4566288,7.5213847,336.31635,-40.127728,11.124772,4.5,12.9,1.26,0.011301007,-0.14110987,-0.1695151,,,,,,,78,1445599734
,ServiceLog, julia,1445599919740,23 Окт 2015 г. 14:31:59,Raw,2.0895395,2.0021513,9.139266,342.86432,-38.011894,12.791453,5.58,17.58,-0.65999997,-0.1432479,0.47036624,-0.22449298,,,,,,,86,1445599734
,ServiceLog, julia,1445599920770,23 Окт 2015 г. 14:32:00,Raw,0.091578215,3.2986114,9.777321,327.83252,-52.287804,10.883417,3.8999999,12.3,5.94,0.00580322,-0.50976706,-0.4392121,,,,,,,83,1445599734
,ServiceLog, julia,1445599921795,23 Окт 2015 г. 14:32:01,Raw,0.23642741,3.5913026,8.473679,344.8073,-42.09927,9.094081,3.8999999,18.48,6.8999996,0.16126843,0.0852157,0.0027488936,,,,,,,74,1445599734
,ServiceLog, julia,1445599922818,23 Окт 2015 г. 14:32:02,Raw,0.37948096,4.5316253,9.8042555,38.939224,-39.61948,15.550994,1.92,12.9,14.58,0.31856623,0.018325957,0.39064834,,,,,,,87,1445599734
,ServiceLog, julia,1445599923842,23 Окт 2015 г. 14:32:03,Raw,0.8583213,2.7659016,8.917204,110.57549,-37.172543,9.230898,-3.72,17.58,26.699999,-0.16493362,-0.25473082,-0.54275376,,,,,,,80,1445599734
,ServiceLog, julia,1445599924865,23 Окт 2015 г. 14:32:04,Raw,-0.6596026,1.6998832,11.4915695,61.604935,-25.11997,1.8971277,-7.68,24.779999,27.539999,-0.86009824,0.29932398,0.17654006,,,,,,,81,1445599734
,ServiceLog, julia,1445599925896,23 Окт 2015 г. 14:32:05,Raw,-0.35793316,5.0822916,10.50875,14.19669,-22.346575,0.8202945,-4.02,33.239998,29.039999,-0.13347405,0.08032878,0.028405234,,,,,,,81,1445599734
,ServiceLog, julia,1445599926940,23 Окт 2015 г. 14:32:06,Raw,-7.699154,-6.121375,3.5500026,338.1965,169.47485,-72.87273,-34.8,46.379997,41.46,-1.2134838,1.754405,-0.4251622,,,,,,,82,1445599734
,ServiceLog, julia,1445599928001,23 Окт 2015 г. 14:32:08,Raw,-11.990761,-5.081693,4.23654,350.40057,158.03362,-78.343315,-31.199999,54.66,20.279999,-1.4266758,1.2547172,-0.31215215,,,,,,,80,1445599734
,ServiceLog, julia,1445599929077,23 Окт 2015 г. 14:32:09,Raw,-4.7309427,-7.789535,-1.1611878,44.514782,166.91112,-48.11891,-18.779999,71.159996,25.619999,-0.22999077,-0.93676186,-0.0018325958,,,,,,,80,1445599734
,ServiceLog, julia,1445599930147,23 Окт 2015 г. 14:32:10,Raw,-2.4229321,-9.325416,0.1412579,3.5260828,61.51549,-15.460935,-17.699999,73.14,41.879997,0.6123924,-2.0943515,-0.61300325,,,,,,,85,1445599734
,ServiceLog, julia,1445599931215,23 Окт 2015 г. 14:32:11,Raw,-3.8552632,-9.729437,1.1827357,10.255107,72.69638,-12.982218,-20.82,68.28,43.8,0.48808134,-1.1887437,-0.37812558,,,,,,,82,1445599734
,ServiceLog, julia,1445599932281,23 Окт 2015 г. 14:32:12,Raw,-2.7581203,-8.707113,-1.0348936,17.607847,78.45298,-8.152399,-25.08,66.479996,44.64,0.59864795,-1.2461652,-0.31337386,,,,,,,82,1445599734
,ServiceLog, julia,1445599933352,23 Окт 2015 г. 14:32:13,Raw,1.1558008,-9.135675,-5.6736593,37.27909,111.72659,-19.07349,-33.059998,69.18,38.1,-0.28985557,1.3897184,0.07666359,,,,,,,79,1445599734
,ServiceLog, julia,1445599934416,23 Окт 2015 г. 14:32:14,Raw,-2.4654293,-9.252393,-0.4417302,57.146152,113.46449,-15.917724,-31.56,67.979996,27.119999,0.11209377,-0.02076942,-0.07819075,,,,,,,77,1445599734
