ID;Name;User;TimeStamp;Type;X;Y;Z
523;Приморская 3;alex;1417272230376;Raw;-1.3120226;1.2258313;9.337387
524;Приморская 4;alex;1417272263956;Raw;-1.2737153;0.8523358;9.80665
511;Василеостровская 1;alex;1417272376284;Raw;-0.5554548;0.32561144;9.337387
512;Василеостровская 2;alex;1417272392979;Raw;-0.34476504;0.8523358;9.404425
513;Василеостровская 3;alex;1417272430088;Raw;-0.1340753;0.7278373;9.548077
514;Василеостровская 4;alex;1417272452795;Raw;-0.45010993;0.51714754;9.643845
491;Гостиный двор 1;alex;1417272650352;Raw;-0.51714754;0.22026655;9.816227
492;Гостиный двор 2;alex;1417272673122;Raw;-1.1587936;0.047884032;9.624691
323;Невский проспект 3;alex;1417273012763;Raw;-0.06703765;2.2409728;9.423578
324;Невский проспект 4;alex;1417273026184;Raw;-1.3599066;2.0111294;8.695741
331;Горьковская 1;alex;1417273155100;Raw;-0.22026655;1.4652514;9.80665
332;Горьковская 2;alex;1417273174690;Raw;-1.9536686;1.4556746;9.174581
333;Горьковская 3;alex;1417273197378;Raw;0.24899697;0.78529817;9.940725
334;Горьковская 4;alex;1417273219609;Raw;-1.3120226;1.0821792;9.624691
341;Петроградская 1;alex;1417273270131;Raw;-0.94810385;1.7717092;9.337387
342;Петроградская 2;alex;1417273287893;Raw;-1.5610195;1.4173675;9.346964
343;Петроградская 3;alex;1417273323609;Raw;-0.39264908;1.532289;8.42759
344;Петроградская 4;alex;1417273334194;Raw;-1.2162545;1.0821792;9.739613
351;Чёрная речка 1;alex;1417273482323;Raw;-0.29688102;0.80445176;9.442732
352;Чёрная речка 2;alex;1417273502616;Raw;-0.62249243;0.78529817;9.279925
353;Чёрная речка 3;alex;1417273531444;Raw;0.37349546;0.019153614;10.208876
354;Чёрная речка 4;alex;1417273542484;Raw;-0.6895301;0.6799533;9.423578
361;Пионерская 1;alex;1417273657856;Raw;-0.92895025;-0.19153613;9.500193
362;Пионерская 2;alex;1417273675810;Raw;-1.6280571;0.18195933;9.864111
363;Пионерская 3;alex;1417273706360;Raw;0.41180268;0.23942018;10.04607
364;Пионерская 4;alex;1417273727815;Raw;-1.0247183;0.58418524;10.5919485
371;Удельная 1;alex;1417273830705;Raw;-1.2641385;0.2873042;9.634268
372;Удельная 2;alex;1417273848430;Raw;-1.2162545;0.2873042;9.481039
373;Удельная 3;alex;1417279656341;Raw;-0.8810662;1.2449849;9.825804
374;Удельная 4;alex;1417279667581;Raw;-1.4269443;1.2737153;9.80665
361;Пионерская 1;alex;1417279775563;Raw;-1.8483237;2.6527755;8.523358
362;Пионерская 2;alex;1417279798241;Raw;-2.5570073;1.5227122;8.868123
363;Пионерская 3;alex;1417279826723;Raw;-0.7661445;1.6184803;9.3661175
364;Пионерская 4;alex;1417279836773;Raw;-0.9959879;1.9249382;9.414001
351;Чёрная речка 1;alex;1417279954348;Raw;-1.7717092;1.5897499;8.418014
352;Чёрная речка 2;alex;1417279975730;Raw;-0.1436521;1.733402;9.279925
353;Чёрная речка 3;alex;1417280005371;Raw;-0.19153613;2.0398598;9.452309
354;Чёрная речка 4;alex;1417280034622;Raw;-1.3790601;1.8195933;7.4603324
341;Петроградская 1;alex;1417280160908;Raw;-0.641646;1.6184803;9.433155
342;Петроградская 2;alex;1417280183733;Raw;-1.541866;1.5514427;8.887277
343;Петроградская 3;alex;1417280215327;Raw;-0.6703765;1.8291701;9.519346
331;Петроградская 4;alex;1417280231948;Raw;-1.5035586;2.3463178;9.212888
331;Горьковская 1;alex;1417280294023;Raw;-1.4748282;2.2601264;9.595961
332;Горьковская 2;alex;1417280315673;Raw;-1.3311762;2.1068976;9.059659
333;Горьковская 3;alex;1417280340321;Raw;-0.4309563;1.3503298;9.481039
334;Горьковская 4;alex;1417280351438;Raw;-1.6759412;1.3694834;8.542512
321;Невский проспект 1;alex;1417280498092;Raw;-1.091756;1.4556746;9.911995
322;Невский проспект 2;alex;1417280517627;Raw;-0.8714894;1.13964;9.423578
493;Гостиный двор 3;alex;1417280832083;Raw;-1.292869;1.4173675;9.433155
494;Гостиный двор 4;alex;1417280863288;Raw;-1.8291701;1.7429788;9.423578
511;Василеостровская 1;alex;1417281033445;Raw;-0.94810385;1.0821792;9.308656
512;Василеостровская 2;alex;1417281051365;Raw;-0.60333884;2.4899697;9.107543
513;Василеостровская 3;alex;1417281084550;Raw;-1.043872;1.1492168;9.653421
514;Василеостровская 4;alex;1417281111484;Raw;-1.0342951;1.0630256;10.409989
521;Приморская 1;alex;1417281218919;Raw;-0.51714754;1.8483237;7.7572136
522;Приморская 2;alex;1417281237961;Raw;-0.63206923;1.541866;9.634268
