ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
142,Wierzbno 2,alexkar,1436214822821,unknown,unknown,1,260,1,11047,6771,0,-51
,ServiceLog,alexkar,1436214823786,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214824849,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214825931,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214826976,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214827998,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214829055,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214830113,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214831132,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214832180,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214833230,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214834273,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214835324,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214836376,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214837425,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214838469,unknown,unknown,1,260,1,11047,6771,0,-87
,ServiceLog,alexkar,1436214839524,unknown,unknown,1,260,1,11047,6771,0,-87
143,Wierzbno 3,alexkar,1436214839974,unknown,unknown,1,260,1,11047,6771,0,-87
