ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
162,Służew 2,alexkar,1436213239001,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213239974,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213241018,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213242072,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213243120,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213244143,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213245194,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213246395,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213247444,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213248489,unknown,unknown,1,-1,-1,-1,-1,0,-109,1436213143
,ServiceLog,alexkar,1436213249534,unknown,unknown,1,260,1,11047,6791,0,-65,1436213143
,ServiceLog,alexkar,1436213250562,unknown,unknown,1,260,1,11047,6791,0,-65,1436213143
,ServiceLog,alexkar,1436213251606,unknown,unknown,1,260,1,11047,6791,0,-65,1436213143
,ServiceLog,alexkar,1436213252661,unknown,unknown,1,260,1,11047,6791,0,-87,1436213143
,ServiceLog,alexkar,1436213253723,unknown,unknown,1,260,1,11047,6791,0,-87,1436213143
,ServiceLog,alexkar,1436213254786,unknown,unknown,1,260,1,11047,6791,0,-87,1436213143
163,Służew 3,alexkar,1436213255159,unknown,unknown,1,260,1,11047,6791,0,-87,1436213143
