ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power
213,Kabaty 3,alexkar,1436214126450,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214127185,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214128240,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214129268,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214130316,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214131358,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214132411,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214133460,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214134506,unknown,unknown,1,260,1,11047,6842,0,-85
,ServiceLog,alexkar,1436214135582,unknown,unknown,1,260,1,11047,6842,0,-91
,ServiceLog,alexkar,1436214136633,unknown,unknown,1,260,1,11047,6842,0,-91
,ServiceLog,alexkar,1436214137685,unknown,unknown,1,260,1,11047,6842,0,-91
214,Kabaty 4,alexkar,1436214137704,unknown,unknown,1,260,1,11047,6842,0,-91
,ServiceLog,alexkar,1436214138714,unknown,unknown,1,260,1,11047,6842,0,-87
,ServiceLog,alexkar,1436214139769,unknown,unknown,1,260,1,11047,6842,0,-87
,ServiceLog,alexkar,1436214140791,unknown,unknown,1,260,1,11047,6842,0,-87
,ServiceLog,alexkar,1436214141837,unknown,unknown,1,260,1,11047,6842,0,-75
,ServiceLog,alexkar,1436214142872,unknown,unknown,1,260,1,11047,6842,0,-75
,ServiceLog,alexkar,1436214143921,unknown,unknown,1,260,1,11047,6842,0,-75
,ServiceLog,alexkar,1436214144996,unknown,unknown,1,260,1,11047,6842,0,-81
,ServiceLog,alexkar,1436214146042,unknown,unknown,1,260,1,11047,6842,0,-81
,ServiceLog,alexkar,1436214147061,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214148092,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214149115,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214150160,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214151227,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214152250,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214153291,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214154316,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214155365,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214156403,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214157441,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214158490,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214159538,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214160598,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214161650,unknown,unknown,1,260,1,11047,6842,0,-109
,ServiceLog,alexkar,1436214162909,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214163964,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214164984,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214166035,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214167060,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214168085,unknown,unknown,1,-1,-1,-1,-1,0,-109
,ServiceLog,alexkar,1436214169112,unknown,unknown,1,-1,-1,-1,-1,0,-109
