ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
283,Dworzec Wileński 3,alexkar,1436352342512,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352342957,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352343998,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352345050,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352346097,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352347157,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352348184,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352349206,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352350284,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352351331,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352352377,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
284,Dworzec Wileński 4,alexkar,1436352353361,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352353427,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352354453,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352355491,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352356530,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352357556,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352358579,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352359598,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352360647,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352361661,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352362684,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352363741,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352364796,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352365856,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352366896,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352367944,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352368988,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352370042,unknown,unknown,1,260,3,58080,42209630,66,-55,1436352342
,ServiceLog,alexkar,1436352371102,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352372154,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352373172,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352374214,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352375298,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352376347,unknown,unknown,1,260,3,58080,42209630,66,-63,1436352342
,ServiceLog,alexkar,1436352377398,unknown,unknown,1,260,3,58080,42209630,66,-69,1436352342
,ServiceLog,alexkar,1436352378467,unknown,unknown,1,260,3,58080,42209630,66,-69,1436352342
,ServiceLog,alexkar,1436352379531,unknown,unknown,1,260,3,58080,42209630,66,-69,1436352342
,ServiceLog,alexkar,1436352380575,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352381636,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352382659,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352383678,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352384703,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352385739,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352386782,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352387834,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
,ServiceLog,alexkar,1436352388885,unknown,unknown,1,260,3,58080,42209630,66,-71,1436352342
