ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing
273,Stadion Narodowy 3,alexkar,1436352025856,Raw,1.8579005,7.086837,6.3111157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352026002,Raw,1.8866309,7.2592196,5.9759274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352027025,Raw,1.0726024,6.5218053,7.240066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352028073,Raw,1.9249382,5.1140146,6.8091097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352029100,Raw,0.7182605,6.8569937,8.7053175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352030141,Raw,-0.22026655,5.9184666,7.7093296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352031181,Raw,-0.81402856,6.579266,6.933608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352032240,Raw,-0.10534488,6.1770406,7.1251445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352033303,Raw,-2.1260512,6.9527617,6.7229185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352034330,Raw,-0.32561144,6.540959,8.743625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352035391,Raw,0.18195933,5.7843914,7.8625584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352036445,Raw,-0.641646,6.090849,7.3645644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352037514,Raw,-1.043872,6.789956,7.8625584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352038555,Raw,1.2545617,6.6750345,8.341399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352039603,Raw,-0.095768064,6.167464,7.1251445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352040661,Raw,0.06703765,6.1387334,7.920019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352041674,Raw,0.5363012,6.5984197,7.086837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
274,Stadion Narodowy 4,alexkar,1436352041869,Raw,0.9959879,6.7803793,7.431602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352042693,Raw,-1.2737153,6.703765,6.751649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
,ServiceLog,alexkar,1436352043737,Raw,0.25857377,6.157887,7.335834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24639216,21.04313201,123.0999984741211,46.0,4.0,19.1
