ID;Name;User;TimeStamp;Type;Accel_X;Accel_Y;Accel_Z
;ServiceLog;md;1418109555590;Raw;0.0;0.0;0.0
;ServiceLog;md;1418109556664;Raw;-1.253072;1.9885708;9.452521
;ServiceLog;md;1418109557719;Raw;-0.10896278;1.2258313;9.493382
;ServiceLog;md;1418109558764;Raw;-0.29964766;3.214402;9.643207
;ServiceLog;md;1418109559803;Raw;-0.95342433;2.7921712;10.7192135
;ServiceLog;md;1418109560846;Raw;-1.293933;2.4108016;8.962189
;ServiceLog;md;1418109561885;Raw;0.44947147;0.6810174;8.349273
;ServiceLog;md;1418109562914;Raw;3.6774938;-2.2882185;9.493382
;ServiceLog;md;1418109563944;Raw;3.6774938;-1.6753027;9.261836
;ServiceLog;md;1418109564977;Raw;0.06810174;1.9885708;9.302697
;ServiceLog;md;1418109566007;Raw;0.027240695;4.0861044;8.458236
;ServiceLog;md;1418109567040;Raw;0.10896278;3.8954194;8.771504
;ServiceLog;md;1418109568071;Raw;-0.44947147;4.2086873;8.3765135
;ServiceLog;md;1418109569101;Raw;-0.38136974;4.2904096;8.499097
;ServiceLog;md;1418109570145;Raw;-0.25878662;4.0861044;8.539958
;ServiceLog;md;1418109571188;Raw;0.29964766;4.2495484;8.60806
;ServiceLog;md;1418109572309;Raw;-0.44947147;3.8681788;8.771504
;ServiceLog;md;1418109573338;Raw;-0.44947147;3.9771416;8.839605
;ServiceLog;md;1418109574367;Raw;0.7218784;4.4810944;7.6546354
;ServiceLog;md;1418109575398;Raw;-0.29964766;3.6774938;8.798744
;ServiceLog;md;1418109576428;Raw;0.027240695;4.1269655;8.417375
;ServiceLog;md;1418109577449;Raw;-0.0;4.2495484;8.539958
;ServiceLog;md;1418109578479;Raw;-0.027240695;4.3176503;8.417375
;ServiceLog;md;1418109579686;Raw;-0.44947147;4.4810944;8.308413
;ServiceLog;md;1418109580723;Raw;-0.14982383;4.508335;8.308413
;ServiceLog;md;1418109581853;Raw;-0.027240695;4.1269655;8.499097
;ServiceLog;md;1418109582887;Raw;-0.8036005;4.399372;8.267551
;ServiceLog;md;1418109583945;Raw;-0.7218784;4.399372;8.3765135
;ServiceLog;md;1418109585102;Raw;-0.10896278;4.508335;8.308413
;ServiceLog;md;1418109586141;Raw;-0.06810174;4.630918;8.648921
;ServiceLog;md;1418109587173;Raw;-0.10896278;4.930566;8.158588
;ServiceLog;md;1418109588206;Raw;-0.027240695;5.434519;7.763598
;ServiceLog;md;1418109589238;Raw;-0.027240695;5.09401;8.117727
;ServiceLog;md;1418109590457;Raw;-0.10896278;5.012288;8.267551
;ServiceLog;md;1418109591486;Raw;-0.0;4.903325;7.84532
;ServiceLog;md;1418109592522;Raw;-0.06810174;4.69902;8.267551
;ServiceLog;md;1418109593556;Raw;0.40861043;3.13268;9.220976
;ServiceLog;md;1418109594588;Raw;0.19068487;3.636633;8.539958
;ServiceLog;md;1418109595625;Raw;-1.8659877;6.619489;5.7341666
;ServiceLog;md;1418109596658;Raw;-0.87170225;5.284695;7.3822284
;ServiceLog;md;1418109597713;Raw;-0.5720546;5.284695;7.273266
;ServiceLog;md;1418109598745;Raw;-0.38136974;5.202973;8.076866
;ServiceLog;md;1418109599776;Raw;0.027240695;5.1621118;8.158588
;ServiceLog;md;1418109600803;Raw;1.0215261;3.636633;9.452521
;ServiceLog;md;1418109601819;Raw;0.29964766;3.8681788;9.724928
;ServiceLog;md;1418109603000;Raw;0.4903325;3.8681788;7.3549876
;ServiceLog;md;1418109604031;Raw;1.0215261;4.4810944;9.220976
;ServiceLog;md;1418109605073;Raw;0.8036005;3.7864566;9.80665
;ServiceLog;md;1418109606105;Raw;0.87170225;3.405087;8.458236
;ServiceLog;md;1418109607137;Raw;0.40861043;3.3233647;7.1234417
;ServiceLog;md;1418109608169;Raw;0.7218784;3.4731886;8.839605
;ServiceLog;md;1418109609199;Raw;-0.0;3.214402;7.6137743
;ServiceLog;md;1418109610648;Raw;0.5720546;3.7455957;8.580819
;ServiceLog;md;1418109611678;Raw;0.87170225;3.9362805;8.798744
;ServiceLog;md;1418109612709;Raw;0.6810174;3.5140498;8.417375
;ServiceLog;md;1418109613742;Raw;0.44947147;3.5549107;7.7363577
;ServiceLog;md;1418109614773;Raw;0.5720546;3.7864566;9.384419
;ServiceLog;md;1418109615806;Raw;0.6401563;3.8273177;8.798744
;ServiceLog;md;1418109616836;Raw;0.6401563;3.2825038;7.763598
;ServiceLog;md;1418109617869;Raw;0.8036005;3.2825038;9.997335
;ServiceLog;md;1418109618898;Raw;0.38136974;3.173541;7.3822284
;ServiceLog;md;1418109619929;Raw;0.8036005;3.7047346;7.6137743
;ServiceLog;md;1418109620972;Raw;0.53119355;4.0180025;9.833891
;ServiceLog;md;1418109622003;Raw;0.6810174;3.8681788;8.458236
;ServiceLog;md;1418109623033;Raw;0.4903325;3.8681788;8.036005
;ServiceLog;md;1418109624062;Raw;0.9942854;3.7047346;9.261836
;ServiceLog;md;1418109625092;Raw;1.0215261;3.636633;8.580819
;ServiceLog;md;1418109626123;Raw;0.6401563;3.7047346;8.308413
;ServiceLog;md;1418109627166;Raw;1.1441092;3.7047346;9.302697
;ServiceLog;md;1418109628327;Raw;0.8036005;3.9362805;9.384419
;ServiceLog;md;1418109629341;Raw;0.4903325;3.5957718;9.343558
;ServiceLog;md;1418109630364;Raw;0.10896278;3.214402;9.302697
;ServiceLog;md;1418109631379;Raw;0.7627395;3.636633;8.989429
;ServiceLog;md;1418109632396;Raw;0.7627395;3.9771416;8.036005
;ServiceLog;md;1418109633412;Raw;0.6810174;3.445948;7.995144
;ServiceLog;md;1418109634438;Raw;0.87170225;3.5140498;8.539958
;ServiceLog;md;1418109635465;Raw;0.61291564;3.7864566;9.071152
;ServiceLog;md;1418109636510;Raw;0.9942854;3.9362805;8.839605
;ServiceLog;md;1418109637524;Raw;1.7570249;3.445948;8.267551
;ServiceLog;md;1418109638539;Raw;2.4516625;3.091819;8.771504
;ServiceLog;md;1418109639562;Raw;2.1792557;3.5140498;8.921328
;ServiceLog;md;1418109640606;Raw;5.8976107;3.091819;2.0566726
;ServiceLog;md;1418109641642;Raw;7.7363577;-6.701211;1.0215261
;ServiceLog;md;1418109642693;Raw;7.4230895;-6.932757;0.4903325
;ServiceLog;md;1418109643746;Raw;8.22669;-6.2789803;-0.6401563
;ServiceLog;md;1418109644781;Raw;8.308413;-6.891896;-0.027240695
;ServiceLog;md;1418109645816;Raw;7.995144;-6.578628;-0.29964766
;ServiceLog;md;1418109646854;Raw;8.22669;-6.810174;-0.10896278
;ServiceLog;md;1418109647904;Raw;8.117727;-7.273266;0.19068487
;ServiceLog;md;1418109648940;Raw;7.804459;-7.1506824;0.8308412
;ServiceLog;md;1418109649977;Raw;7.804459;-7.273266;-0.027240695
;ServiceLog;md;1418109651012;Raw;7.9270425;-7.5456724;0.06810174
;ServiceLog;md;1418109652520;Raw;8.349273;-6.701211;-0.027240695
;ServiceLog;md;1418109653555;Raw;7.4639506;-6.537767;-0.7218784
;ServiceLog;md;1418109654593;Raw;7.6546354;-6.701211;0.19068487
;ServiceLog;md;1418109655629;Raw;7.572913;-6.537767;0.14982383
;ServiceLog;md;1418109656667;Raw;7.5456724;-6.891896;-0.14982383
;ServiceLog;md;1418109657701;Raw;8.417375;-7.273266;0.40861043
;ServiceLog;md;1418109658742;Raw;7.572913;-6.891896;0.5720546
;ServiceLog;md;1418109659782;Raw;7.8861814;-7.2324047;0.14982383
;ServiceLog;md;1418109660816;Raw;7.6546354;-6.742072;0.5720546
;ServiceLog;md;1418109661856;Raw;7.7363577;-7.1506824;0.21792556
;ServiceLog;md;1418109662891;Raw;7.6954966;-6.578628;-0.40861043
;ServiceLog;md;1418109663926;Raw;7.804459;-6.769313;-0.25878662
;ServiceLog;md;1418109664965;Raw;7.6954966;-6.510526;-0.25878662
;ServiceLog;md;1418109666007;Raw;7.995144;-7.1234417;0.5720546
;ServiceLog;md;1418109670839;Raw;7.572913;-7.082581;0.40861043
;ServiceLog;md;1418109672589;Raw;7.5456724;-6.810174;-0.8036005
;ServiceLog;md;1418109673616;Raw;7.763598;-6.932757;0.25878662
;ServiceLog;md;1418109674634;Raw;7.3822284;-6.769313;-0.38136974
;ServiceLog;md;1418109675656;Raw;8.22669;-7.763598;0.4903325
;ServiceLog;md;1418109676678;Raw;7.6137743;-7.1234417;0.38136974
