ID;Name;User;TimeStamp;Type;Accel_X;Accel_Y;Accel_Z;move;stop;inter;race_id
653;Молодежная 3;md;1418109579757;Raw;-0.44947147;4.4810944;8.308413;;;;1418109579
654;Молодежная 4;md;1418109591817;Raw;-0.06810174;4.8216033;8.036005;;;;1418109579
2101;Кунцевская (АПК) 1;md;1418109727679;Raw;0.6401563;4.0588636;8.499097;;;;1418109579
2102;Кунцевская (АПК) 2;md;1418109746453;Raw;0.40861043;4.862464;8.076866;;;;1418109579
2103;Кунцевская (АПК) 3;md;1418109767428;Raw;0.5720546;5.5434813;7.572913;;;;1418109767
2104;Кунцевская (АПК) 4;md;1418109778581;Raw;0.027240695;3.445948;8.962189;;;;1418109767
2161;Славянский бульвар 1;md;1418109890241;Raw;-0.6810174;3.636633;8.648921;;;;1418109767
2162;Славянский бульвар 2;md;1418109906500;Raw;-0.19068487;3.9771416;8.730643;;;;1418109767
2163;Славянский бульвар 3;md;1418109927210;Raw;-0.10896278;3.173541;9.220976;;;;1418109927
2164;Славянский бульвар 4;md;1418109939316;Raw;-0.14982383;3.0237172;8.839605;;;;1418109927
1651;Парк Победы 1;md;1418110102757;Raw;0.9125633;4.5491962;7.84532;;;;1418109927
1652;Парк Победы 2;md;1418110118655;Raw;0.3405087;3.7047346;8.771504;;;;1418109927
1653;Парк Победы 3;md;1418110135864;Raw;-0.25878662;3.0645783;8.989429;;;;1418110135
1654;Парк Победы 4;md;1418110147284;Raw;-0.19068487;2.5197644;9.152874;;;;1418110135
421;Киевская (АПК) 1;md;1418110317569;Raw;-0.38136974;3.9771416;8.499097;;;;1418110135
422;Киевская (АПК) 2;md;1418110333443;Raw;-3.8954194;5.706926;5.012288;;;;1418110135
773;Киевская (КЛЦ) 3;md;1418110510287;Raw;-0.06810174;4.399372;8.308413;;;;1418110510
774;Киевская (КЛЦ) 4;md;1418110522433;Raw;-0.06810174;4.2495484;8.185829;;;;1418110510
781;Краснопресненская 1;md;1418110624106;Raw;0.10896278;7.04172;6.3879433;;;;1418110510
782;Краснопресненская 2;md;1418110638814;Raw;0.9942854;7.1234417;6.510526;;;;1418110510
783;Краснопресненская 3;md;1418110666246;Raw;1.56634;7.2324047;5.6252036;;;;1418110666
784;Краснопресненская 4;md;1418110676678;Raw;1.7161638;7.3141265;5.434519;;;;1418110666
671;Белорусская (КЛЦ) 1;md;1418110768654;Raw;-0.6810174;1.253072;9.193735;;;;1418110666
672;Белорусская (КЛЦ) 2;md;1418110784936;Raw;0.5720546;3.405087;9.343558;;;;1418110666
673;Белорусская (КЛЦ) 3;md;1418110813387;Raw;0.10896278;3.6774938;8.798744;;;;1418110813
674;Белорусская (КЛЦ) 4;md;1418110824823;Raw;0.027240695;2.4516625;9.302697;;;;1418110813
681;Новослободская 1;md;1418110896639;Raw;-1.56634;2.5197644;8.921328;;;;1418110813
682;Новослободская 2;md;1418110910745;Raw;-0.8036005;3.445948;8.648921;;;;1418110813
1373;Менделеевская 3;md;1418111059149;Raw;0.06810174;4.971427;7.995144;;;;1418111059
1374;Менделеевская 4;md;1418111074802;Raw;0.38136974;5.012288;8.689782;;;;1418111059
1361;Савеловская 1;md;1418111154946;Raw;0.29964766;4.2904096;8.22669;;;;1418111059
1362;Савеловская 2;md;1418111166976;Raw;0.8036005;3.3642259;8.267551;;;;1418111059
1363;Савеловская 3;md;1418111190764;Raw;0.7627395;5.09401;7.6137743;;;;1418111190
1364;Савеловская 4;md;1418111203930;Raw;2.1792557;5.09401;7.9679036;;;;1418111190
1351;Дмитровская 1;md;1418111290908;Raw;2.1383946;3.636633;7.8861814;;;;1418111190
1352;Дмитровская 2;md;1418111303341;Raw;0.027240695;3.8954194;11.481953;;;;1418111190
1353;Дмитровская 3;md;1418111322205;Raw;0.40861043;3.7455957;8.730643;;;;1418111322
1354;Дмитровская 4;md;1418111335197;Raw;-0.14982383;4.2495484;7.8861814;;;;1418111322
1341;Тимирязевская 1;md;1418111391927;Raw;1.1032481;5.3119354;7.9270425;;;;1418111322
1342;Тимирязевская 2;md;1418111406355;Raw;1.4165162;5.3527966;7.9679036;;;;1418111322
1343;Тимирязевская 3;md;1418111429522;Raw;2.2201166;6.006573;6.891896;;;;1418111429
1344;Тимирязевская 4;md;1418111441269;Raw;1.607201;5.5843425;7.273266;;;;1418111429
1331;Петровско-Разумовская 1;md;1418111571577;Raw;2.7513103;4.862464;7.804459;;;;1418111429
1332;Петровско-Разумовская 2;md;1418111586934;Raw;2.0975335;6.537767;6.578628;;;;1418111429
