,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,1220,1303,7741,250,2,Бибирево 3,2G,EDGE,-1,-67,1435845443131,Andrey,42159481,0.0,131$,$130,37.602639999999994,55.88356
1,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845443913,Andrey,42159481,0.00018745992221959107,131$,$130,37.60264488276897,55.88355683469526
2,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845444967,Andrey,42159481,0.0010333327449644776,131$,$130,37.60266691522009,55.88354255193111
3,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-69,1435845445997,Andrey,42159481,0.002517950611682558,131$,$130,37.60270558506465,55.88351748379199
4,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-69,1435845447028,Andrey,42159481,0.004655385853097335,131$,$130,37.60276125884468,55.88348139264192
5,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-69,1435845448082,Andrey,42159481,0.007514164573628843,131$,$130,37.602835721459776,55.883433121367105
6,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-69,1435845449139,Andrey,42159481,0.011065083292876688,131$,$130,37.6029282122468,55.88337316303208
7,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845450181,Andrey,42159481,0.015236074320485935,131$,$130,37.603036854058494,55.88330273447058
8,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845451227,Andrey,42159481,0.02009258659050881,131$,$130,37.60316335164336,55.883220730495395
9,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845452256,Andrey,42159481,0.025524697309048775,131$,$130,37.60330484184218,55.88312900712591
10,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-63,1435845453307,Andrey,42159481,0.031743078323551666,131$,$130,37.60346681202498,55.88302400700085
11,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-63,1435845454377,Andrey,42159481,0.03876957289852978,131$,$130,37.60364983114332,55.88290536117765
12,1,1220,1304,7741,250,2,Бибирево 4,2G,EDGE,-1,-59,1435845454743,Andrey,42159481,0.03876957289852978,131$,$130,37.60364983114332,55.88290536117765
13,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-59,1435845455424,Andrey,42159481,0.04361775568209919,131$,$130,37.603776111770046,55.88282349701097
14,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-59,1435845456475,Andrey,42159481,0.05110004579336709,131$,$130,37.603971002995635,55.88269715419039
15,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845457594,Andrey,42159481,0.05906644452002976,131$,$130,37.604178503799304,55.88256263646227
16,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845458686,Andrey,42159481,0.06684062320010421,131$,$130,37.60438099784703,55.88243136404294
17,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845459694,Andrey,42159481,0.07401678735216422,131$,$130,37.60456791540915,55.882310189121206
18,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845460712,Andrey,42159481,0.08126414354828763,131$,$130,37.60475668731058,55.882187811684425
19,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845461752,Andrey,42159481,0.08866812461764366,131$,$130,37.604949538820385,55.88206278911233
20,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-57,1435845462799,Andrey,42159481,0.09612193825075666,131$,$130,37.605143688319096,55.8819369246679
21,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-59,1435845463809,Andrey,42159481,0.10331234149057021,131$,$130,37.60533097676675,55.88181550776159
22,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-59,1435845464844,Andrey,42159481,0.11068072568921845,131$,$130,37.60552290108481,55.88169108508083
23,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-61,1435845465858,Andrey,42159481,0.11789960540718694,131$,$130,37.60565935480157,55.88154965428392
24,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-61,1435845466869,Andrey,42159481,0.1250971273422012,131$,$130,37.605790260678226,55.88140669329639
25,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-63,1435845467889,Andrey,42159481,0.13235872262607817,131$,$130,37.60592233189735,55.88126245911657
26,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845468900,Andrey,42159481,0.13955624625844465,131$,$130,37.60605323780487,55.88111949703766
27,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-67,1435845469910,Andrey,42159481,0.14674664949825825,131$,$130,37.606184014209326,55.88097667586308
28,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-73,1435845470925,Andrey,42159481,0.1539726479114274,131$,$130,37.60631543800567,55.88083314714116
29,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-79,1435845471933,Andrey,42159481,0.16114881376083964,131$,$130,37.606445955465716,55.88069060770941
30,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-87,1435845472952,Andrey,42159481,0.16840328865216375,131$,$130,37.60657789718176,55.88054651230137
31,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-95,1435845473986,Andrey,42159481,0.1757645541556113,131$,$130,37.6067117811661,55.880400295168
32,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845474993,Andrey,42159481,0.1829335996124706,131$,$130,37.60684216912306,55.88025789558036
33,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845476006,Andrey,42159481,0.19014536063523843,131$,$130,37.606973333975,55.88011464700142
34,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845477035,Andrey,42159481,0.19747102926797816,131$,$130,37.60710657053658,55.879969135312805
35,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845478047,Andrey,42159481,0.20467566989819308,131$,$130,37.60723760588544,55.87982602710338
36,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845479059,Andrey,42159481,0.21188031222576023,131$,$130,37.607368641265175,55.879682918332676
37,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845480068,Andrey,42159481,0.21906359677037313,131$,$130,37.607499288197424,55.8795402332752
38,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845481077,Andrey,42159481,0.22624687961763382,131$,$130,37.6076299350988,55.879397547727024
39,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845482090,Andrey,42159481,0.23345864064040164,131$,$130,37.60776109995074,55.87925429597344
40,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845483114,Andrey,42159481,0.24074871409978574,131$,$130,37.60789368912042,55.87910948811333
41,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845484131,Andrey,42159481,0.24798895160070852,131$,$130,37.60802537189205,55.878965669645346
42,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845485201,Andrey,42159481,0.2556065071049025,131$,$130,37.608163917184484,55.87881435564129
43,1,1220,,7741,250,2,ServiceLog,2G,EDGE,-1,-99,1435845486214,Andrey,42159481,0.26281826812767034,131$,$130,37.60829508203642,55.87867110173577
44,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845487277,Andrey,42159481,0.2703859893707553,131$,$130,37.60843272096167,55.878520776493495
45,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845488299,Andrey,42159481,0.27766182374238585,131$,$130,37.60856505115607,55.87837624874426
46,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845489308,Andrey,42159481,0.2848451082869987,131$,$130,37.60869569808831,55.878233558884325
47,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845490366,Andrey,42159481,0.2923772326593758,131$,$130,37.6088326895908,55.87808393905357
48,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845491376,Andrey,42159481,0.2995676358991894,131$,$130,37.60896346599526,55.87794110671111
49,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845492391,Andrey,42159481,0.30679363600971077,131$,$130,37.60909488982247,55.87779756673229
50,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845493433,Andrey,42159481,0.31421185446946814,131$,$130,37.609229809646195,55.877650207903955
51,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-99,1435845494447,Andrey,42159481,0.3214307341874367,131$,$130,37.60933457071335,55.87750009460352
52,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845495459,Andrey,42159481,0.3286353765150038,131$,$130,37.6094390867177,55.87735026705579
53,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845496485,Andrey,42159481,0.33593968566743704,131$,$130,37.60954504856457,55.877198366249225
54,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845497497,Andrey,42159481,0.3431443279950042,131$,$130,37.60964956456891,55.877048537537114
55,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845498510,Andrey,42159481,0.35035608901777204,131$,$130,37.60975418384244,55.876898560204616
56,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845499522,Andrey,42159481,0.3575607313453392,131$,$130,37.60985869984679,55.87674873033555
57,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845500535,Andrey,42159481,0.36477249236810705,131$,$130,37.60996331912032,55.87659875184494
58,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-97,1435845501545,Andrey,42159481,0.3719628956079206,131$,$130,37.61006762856166,55.87644921694205
59,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-101,1435845502564,Andrey,42159481,0.3792173704992447,131$,$130,37.61017286747496,55.87629834899224
60,1,57896,,26627,250,99,ServiceLog,2G,GPRS,-1,-101,1435845503592,Andrey,42159481,0.3865359204367837,131$,$130,37.61027903590946,55.8761461479094
