,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,-1,1353,-1,-1,-1,Дмитровская 3,unknown,unknown,-1,-1,1435846161876,vlad,887662994,0.0,136$,$135,37.58121,55.80740999999999
1,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846162112,vlad,887662994,2.2673933223223502e-05,136$,$135,37.58121020039776,55.8074096777986
2,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846163381,vlad,887662994,0.0009220950668825759,136$,$135,37.58121814970164,55.80739689683194
3,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846164413,vlad,887662994,0.0026202554231381874,136$,$135,37.581233158458055,55.807372765598664
4,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846165445,vlad,887662994,0.005185560791883446,136$,$135,37.58125583125409,55.80733631201509
5,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846166482,vlad,887662994,0.008636753702424138,136$,$135,37.58128633374082,55.807287269710464
6,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846167520,vlad,887662994,0.012968108966231554,136$,$135,37.58132461531761,55.807225719993745
7,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846168536,vlad,887662994,0.01805722885296761,136$,$135,37.5813695942034,55.8071534021147
8,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846169574,vlad,887662994,0.02412450666805879,136$,$135,37.58142321828812,55.80706718415043
9,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846170620,vlad,887662994,0.03112597228421944,136$,$135,37.581485098953024,55.80696769084048
10,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846171680,vlad,887662994,0.03912994614569001,136$,$135,37.5815558400309,55.80685395122126
11,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846172694,vlad,887662994,0.047642724945987466,136$,$135,37.58163107805123,55.806732980918866
12,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846173731,vlad,887662994,0.057214453065913586,136$,$135,37.58171567532454,55.80659696203547
13,1,-1,1354,-1,-1,-1,Дмитровская 4,unknown,unknown,-1,-1,1435846173865,vlad,887662994,0.057214453065913586,136$,$135,37.58171567532454,55.80659696203547
14,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846174763,vlad,887662994,0.06598026056462805,136$,$135,37.58179314967436,55.80647239525675
15,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846175794,vlad,887662994,0.07604434366690867,136$,$135,37.58188209850139,55.80632937880087
16,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846176827,vlad,887662994,0.08612795063802367,136$,$135,37.58197121988513,55.80618608437254
17,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846177839,vlad,887662994,0.09600656745930754,136$,$135,37.58205852951582,55.806045702472325
18,1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435846178871,vlad,887662994,0.10608041365966425,136$,$135,37.58214756463149,55.8059025457078
