,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,250-2-7763-160,-1,1513,-1,-1,-1,Чкаловская 3,2G,EDGE,-1,-109,1435913196824,Anna,851719308,0.0,219$,$151,37.65669,55.757279999999994
1,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-75,1435913197061,Anna,851719308,2.0732671639362108e-05,219$,$151,37.65668969743164,55.75728024205629
2,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913197061,Anna,851719308,2.0732671639362108e-05,219$,$151,37.65668969743164,55.75728024205629
3,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-79,1435913198071,Anna,851719308,0.0005739721284877281,219$,$151,37.656681623568645,55.757286701189166
4,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913198071,Anna,851719308,0.0005739721284877281,219$,$151,37.656681623568645,55.757286701189166
5,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913199150,Anna,851719308,0.001996996235310704,219$,$151,37.65666085624713,55.75730331515074
6,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-79,1435913199150,Anna,851719308,0.001996996235310704,219$,$151,37.65666085624713,55.75730331515074
7,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-85,1435913200168,Anna,851719308,0.004127530673534373,219$,$151,37.65662976366516,55.75732818935935
8,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913200168,Anna,851719308,0.004127530673534373,219$,$151,37.65662976366516,55.75732818935935
9,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913201240,Anna,851719308,0.007198067255212458,219$,$151,37.656584952884984,55.757364038161704
10,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-85,1435913201240,Anna,851719308,0.007198067255212458,219$,$151,37.656584952884984,55.757364038161704
11,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913202251,Anna,851719308,0.010871197758272319,219$,$151,37.65653134797291,55.75740692226127
12,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-85,1435913202251,Anna,851719308,0.010871197758272319,219$,$151,37.65653134797291,55.75740692226127
13,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-85,1435913203281,Anna,851719308,0.015389316116510406,219$,$151,37.65646541148163,55.75745967159861
14,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913203281,Anna,851719308,0.015389316116510406,219$,$151,37.65646541148163,55.75745967159861
15,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-87,1435913204291,Anna,851719308,0.02058022171217926,219$,$151,37.65638965647161,55.75752027568438
16,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913204291,Anna,851719308,0.02058022171217926,219$,$151,37.65638965647161,55.75752027568438
17,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913205372,Anna,851719308,0.02697036242274973,219$,$151,37.65629640007064,55.75759488077152
18,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-87,1435913205372,Anna,851719308,0.02697036242274973,219$,$151,37.65629640007064,55.75759488077152
19,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913206385,Anna,851719308,0.0337415004921498,219$,$151,37.65619758347248,55.757673933858676
20,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71,1435913206385,Anna,851719308,0.0337415004921498,219$,$151,37.65619758347248,55.757673933858676
21,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71,1435913207417,Anna,851719308,0.04141862758824881,219$,$151,37.65608554505656,55.757763564180614
22,250-2-7763-160,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-109,1435913207417,Anna,851719308,0.04141862758824881,219$,$151,37.65608554505656,55.757763564180614
23,250-2-7763-160,-1,1514,-1,-1,-1,Чкаловская 4,2G,EDGE,-1,-109,1435913208030,Anna,851719308,0.04141862758824881,219$,$151,37.65608554505656,55.757763564180614
24,1,160,1514,7763,250,2,Чкаловская 4,2G,EDGE,-1,-71,1435913208030,Anna,851719308,0.04141862758824881,219$,$151,37.65608554505656,55.757763564180614
