,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,RSSI,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,42601,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-89,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
1,250-1-821-42601,3103,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-101,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
2,250-1-821-42601,42603,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-99,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
3,250-1-821-42601,54662,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-93,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
4,250-1-821-42601,54665,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-97,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
5,250-1-821-42601,3106,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,-101,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
6,250-1-821-42601,42601,2103,821,250,1,Кунцевская (АПК) 3,2G,EDGE,-1,0,1417508954541,md,133172706,0.0,216$,$210,37.446039999999996,55.73066999999999
7,250-1-821-42601,3106,,821,250,1,ServiceLog,2G,EDGE,-1,-101,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
8,250-1-821-42601,54665,,821,250,1,ServiceLog,2G,EDGE,-1,-97,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
9,250-1-821-42601,54662,,821,250,1,ServiceLog,2G,EDGE,-1,-93,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
10,1,42601,,821,250,1,ServiceLog,2G,EDGE,-1,-89,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
11,250-1-821-42601,42603,,821,250,1,ServiceLog,2G,EDGE,-1,-99,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
12,250-1-821-42601,3103,,821,250,1,ServiceLog,2G,EDGE,-1,-101,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
13,250-1-821-42601,42601,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508955539,md,133172706,0.0003078904509522186,216$,$210,37.44604759386853,55.73067121501955
14,250-1-821-42604,42603,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
15,250-1-821-42604,54662,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
16,250-1-821-42604,54665,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
17,250-1-821-42604,3106,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
18,250-1-821-42604,3103,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
19,1,42604,,821,250,1,ServiceLog,2G,EDGE,-1,-89,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
20,250-1-821-42604,42601,,821,250,1,ServiceLog,2G,EDGE,-1,0,1417508956566,md,133172706,0.0012676083957380983,216$,$210,37.44607126453407,55.73067500232768
